population,policy,active_groups,quantile,complete_seconds,update_seconds,two_rerefine_seconds,two_cached_rerefine_seconds
1024,fixed,2,0.5,0.050278674811124746,0.00955591211095445,0.00893419282510875,0.0025029606185853
1024,fixed,2,0.95,0.058499655872583343,0.010297480225563,0.010432624211534805,0.0025339893531053747
1024,fixed,4,0.5,0.05653680022805925,0.0157359163276851,0.008787944912910399,0.0025021256878972
1024,fixed,4,0.95,0.06653619357384734,0.0183547876775264,0.009684367850422825,0.00253837797790761
1024,fixed,8,0.5,0.06832803599536416,0.02758506173267955,0.00863790139555925,0.002674039453268
1024,fixed,8,0.95,0.07657398600131268,0.02962289182469241,0.00969616845250128,0.0028033893089741
1024,fixed_coarse,0,0.5,0.04052577121183275,0.04052577121183275,,
1024,fixed_coarse,0,0.95,0.047975195571780156,0.047975195571780156,,
1024,random,2,0.5,0.050075322389602606,0.00944599788635965,0.008948802947998,0.002511775586754
1024,random,2,0.95,0.059403391182422584,0.010607343027368099,0.010098985629156145,0.0026030334644019
1024,random,4,0.5,0.05649542529135935,0.01560208341106765,0.008792635053396149,0.0025077462196350002
1024,random,4,0.95,0.06650537303648886,0.017395587172359183,0.010860867239534784,0.00257732030004257
1024,random,8,0.5,0.06854070862755174,0.027739385142922353,0.0086297714151442,0.0025145653635263
1024,random,8,0.95,0.07908667358569797,0.03114003264345223,0.00985636771656568,0.002572985785081915
1024,uncertainty,2,0.5,0.05005946429446335,0.00942038372159,0.0089297429658472,0.00250698626041405
1024,uncertainty,2,0.95,0.0582750522065907,0.010093217436224215,0.010623549064621254,0.0025622955523431053
1024,uncertainty,4,0.5,0.056646659038960906,0.015787996351718847,0.008803703822195499,0.0024988958612084
1024,uncertainty,4,0.95,0.06707485974766308,0.01896724547259508,0.01008211891166864,0.00261765215545888
1024,uncertainty,8,0.5,0.0689218654297292,0.0276312762871384,0.0086420117877423,0.0025114105083047502
1024,uncertainty,8,0.95,0.07907005236484108,0.03034054324962194,0.00943197598680849,0.002611561771482205
1024,uniform_fine_stream,0,0.5,0.048418169375508954,0.048418169375508954,,
1024,uniform_fine_stream,0,0.95,0.0557860786095261,0.0557860786095261,,
2048,fixed,2,0.5,0.05101338401436805,0.01007169159129255,0.00913224555552005,0.00251589529216285
2048,fixed,2,0.95,0.0539788598194718,0.01051374515518541,0.00980948572978369,0.0025410953909158
2048,fixed,4,0.5,0.057735064998269,0.0165244387462735,0.0089666876010596,0.00251583661884065
2048,fixed,4,0.95,0.06320694317109878,0.020512510975822768,0.00932625886052846,0.0025729815009981
2048,fixed,8,0.5,0.07021111855283374,0.0291611072607338,0.0089771631173789,0.0026837140321731
