population,policy,active_groups,horizon_steps,level,absolute_mean_difference
1024,fixed,2,2,group,0.41964924968604594
1024,fixed,2,2,household,0.17340738912978007
1024,fixed,2,2,regional,6.024785022732823
1024,fixed,2,12,group,0.7725145538547611
1024,fixed,2,12,household,0.06654716625855317
1024,fixed,2,12,regional,12.277476912017146
1024,fixed,4,2,group,0.3673127320100441
1024,fixed,4,2,household,0.16855035779926747
1024,fixed,4,2,regional,5.058188229042251
1024,fixed,4,12,group,0.5926294836563445
1024,fixed,4,12,household,0.06307629974267252
1024,fixed,4,12,regional,9.151554032720242
1024,fixed,8,2,group,0.2374598736273305
1024,fixed,8,2,household,0.10583434651833959
1024,fixed,8,2,regional,2.9799976933529364
1024,fixed,8,12,group,0.3643053209127855
1024,fixed,8,12,household,0.04005623504903224
1024,fixed,8,12,regional,5.825266243476891
1024,fixed_coarse,0,2,group,0.49675274074885417
1024,fixed_coarse,0,2,household,0.2186691370063319
1024,fixed_coarse,0,2,regional,7.413315839793636
1024,fixed_coarse,0,12,group,1.0377229071521779
1024,fixed_coarse,0,12,household,0.08511310117205939
1024,fixed_coarse,0,12,regional,17.42598697368867
1024,random,2,2,group,0.42141068489301864
1024,random,2,2,household,0.20851933106853182
1024,random,2,2,regional,5.586251347005433
1024,random,2,12,group,0.8897757648926381
1024,random,2,12,household,0.08450549278657765
1024,random,2,12,regional,14.230417550118208
1024,random,4,2,group,0.3148998148489927
1024,random,4,2,household,0.14558743921692596
1024,random,4,2,regional,3.8777303825183576
1024,random,4,12,group,0.6158287485439287
1024,random,4,12,household,0.06368772719603091
1024,random,4,12,regional,9.168817567532678
1024,random,8,2,group,0.22661570984485802
1024,random,8,2,household,0.10267792763015335
1024,random,8,2,regional,2.682932008198953
1024,random,8,12,group,0.36789418839192506
1024,random,8,12,household,0.04037405895767244
1024,random,8,12,regional,5.99854712249562
1024,uncertainty,2,2,group,0.38036667412384173
1024,uncertainty,2,2,household,0.22681964803012383
1024,uncertainty,2,2,regional,4.224907267939022
1024,uncertainty,2,12,group,0.5774745142128002
1024,uncertainty,2,12,household,0.10602998824207908
1024,uncertainty,2,12,regional,10.468355601552966
1024,uncertainty,4,2,group,0.4204005397343026
1024,uncertainty,4,2,household,0.1749840885584828
1024,uncertainty,4,2,regional,3.8950795867518324
1024,uncertainty,4,12,group,0.6285710137813462
1024,uncertainty,4,12,household,0.06044900883571086
1024,uncertainty,4,12,regional,8.773057019850848
1024,uncertainty,8,2,group,0.32963281708106124
1024,uncertainty,8,2,household,0.16032045172453946
1024,uncertainty,8,2,regional,2.6295864232750987
1024,uncertainty,8,12,group,0.38000455560254487
1024,uncertainty,8,12,household,0.04935637123571408
1024,uncertainty,8,12,regional,5.5743801539581295
1024,uniform_fine_stream,16,2,group,0.0
1024,uniform_fine_stream,16,2,household,0.0
1024,uniform_fine_stream,16,2,regional,0.0
1024,uniform_fine_stream,16,12,group,0.0
1024,uniform_fine_stream,16,12,household,0.0
1024,uniform_fine_stream,16,12,regional,0.0
2048,fixed,2,2,group,0.7458992384420227
2048,fixed,2,2,household,0.17328510803686958
2048,fixed,2,2,regional,10.553154897621951
2048,fixed,2,12,group,1.1901994234878481
2048,fixed,2,12,household,0.05459034211082771
2048,fixed,2,12,regional,17.390144025014564
2048,fixed,4,2,group,0.5647469545582078
2048,fixed,4,2,household,0.15519640891450345
2048,fixed,4,2,regional,7.421723141858682
2048,fixed,4,12,group,0.9535910630050988
2048,fixed,4,12,household,0.054360649989367266
2048,fixed,4,12,regional,13.913769057401122
2048,fixed,8,2,group,0.3913126424629557
2048,fixed,8,2,household,0.10228281878353424
2048,fixed,8,2,regional,4.61998069233277
2048,fixed,8,12,group,0.7661100038862589
2048,fixed,8,12,household,0.043205474678853086
2048,fixed,8,12,regional,10.210183856768058
2048,fixed_coarse,0,2,group,0.8603319235889006
2048,fixed_coarse,0,2,household,0.20928242410007744
2048,fixed_coarse,0,2,regional,13.67785110260592
2048,fixed_coarse,0,12,group,1.9741321859729615
2048,fixed_coarse,0,12,household,0.08633666781855975
2048,fixed_coarse,0,12,regional,30.577889104174364
2048,random,2,2,group,0.6552830089837962
2048,random,2,2,household,0.1662734938062116
2048,random,2,2,regional,8.629837640520556
2048,random,2,12,group,1.3184525800821447
2048,random,2,12,household,0.06561194749043352
2048,random,2,12,regional,19.03600369025052
2048,random,4,2,group,0.5228716795238454
2048,random,4,2,household,0.15196334806539863
2048,random,4,2,regional,5.9143018101591
2048,random,4,12,group,0.9578711951650071
2048,random,4,12,household,0.05082111976564463
2048,random,4,12,regional,13.08062658990802
2048,random,8,2,group,0.3318716121676052
2048,random,8,2,household,0.09002724790601278
2048,random,8,2,regional,4.168959474323931
2048,random,8,12,group,0.7115075249166802
2048,random,8,12,household,0.0407368462560931
2048,random,8,12,regional,9.915726141376464
2048,uncertainty,2,2,group,0.9202692562824397
2048,uncertainty,2,2,household,0.20135218806888322
2048,uncertainty,2,2,regional,11.140457704307376
2048,uncertainty,2,12,group,1.6419364631100624
2048,uncertainty,2,12,household,0.08216941213504331
2048,uncertainty,2,12,regional,21.576724103699227
2048,uncertainty,4,2,group,0.6255535562618558
2048,uncertainty,4,2,household,0.1947218912415497
2048,uncertainty,4,2,regional,7.287091663558444
2048,uncertainty,4,12,group,1.1880570578007823
2048,uncertainty,4,12,household,0.06179357752671227
2048,uncertainty,4,12,regional,15.036212848724226
2048,uncertainty,8,2,group,0.49428150846948204
2048,uncertainty,8,2,household,0.16961602385303262
2048,uncertainty,8,2,regional,4.799686702575422
2048,uncertainty,8,12,group,0.8045174573680351
2048,uncertainty,8,12,household,0.05282819449890701
2048,uncertainty,8,12,regional,10.303474472964783
2048,uniform_fine_stream,16,2,group,0.0
2048,uniform_fine_stream,16,2,household,0.0
2048,uniform_fine_stream,16,2,regional,0.0
2048,uniform_fine_stream,16,12,group,0.0
2048,uniform_fine_stream,16,12,household,0.0
