population,origin,policy,active_groups,acquired_groups,update_seconds,state_bytes,retained_bytes,coarse_setup_seconds,source_access_rows,gpu_peak_bytes,complete_seconds,recomputed_group_factors,reused_group_factors,factor_denominator,separator_factorizations,selected_groups,gpu_event_span_ms,representation_seconds,representation_detail_bytes,released_detail_bytes,cuda_resident_bytes,cuda_after_eviction_bytes,gpu_reserved_bytes,coarsen_seconds,two_rerefine_seconds,two_cached_rerefine_seconds,source_file_bytes,acquired_households,access_budget_cells,active_state_dimension,total_state_dimension,host_peak_rss_bytes
1024,0,uniform_fine_stream,0,16,0.07521111983805895,21600000,21600000,0.0,24480,61671936.0,0.07521111983805895,16,0,17,1,,,,,,,,,,,,,,,,,
1024,0,fixed_coarse,0,0,0.20337405428290367,21600000,21600000,0.20337405428290367,0,,0.20337405428290367,16,0,17,1,,,,,,,,,,,,,,,,,
1024,0,fixed,2,2,0.009941274300217628,24012544,21600000,0.20337405428290367,3024,45431296.0,0.2133153285831213,2,14,17,1,0 1,9.906975746154785,0.04227425903081894,602624.0,2412544.0,36820992.0,34408448.0,67108864.0,6.545986980199814e-05,0.008918123319745064,0.0022402480244636536,82314.0,128.0,3072.0,3456.0,24960.0,1424617472.0
1024,0,fixed,4,4,0.015447909943759441,26425088,21600000,0.20337405428290367,6096,49021440.0,0.2188219642266631,4,12,17,1,0 1 2 3,15.421504020690918,0.0046567851677536964,602624.0,4825088.0,41644032.0,36818944.0,67108864.0,5.8649107813835144e-05,0.00855137687176466,0.002233179286122322,164487.0,256.0,6144.0,6528.0,24960.0,1425010688.0
1024,0,fixed,8,8,0.027578341774642467,31250176,21600000,0.20337405428290367,12240,56259072.0,0.23095239605754614,8,8,17,1,0 1 2 3 4 5 6 7,27.552671432495117,0.004597156308591366,602624.0,9650176.0,52207616.0,42557440.0,69206016.0,8.75992700457573e-05,0.008452778682112694,0.0022315680980682373,329402.0,512.0,12288.0,12672.0,24960.0,1425010688.0
1024,0,random,2,2,0.009224430657923222,24012544,21600000,0.20337405428290367,3072,45431296.0,0.2125984849408269,2,14,17,1,10 6,9.198528289794922,0.004589015617966652,602624.0,2412544.0,36820992.0,34408448.0,67108864.0,4.6739354729652405e-05,0.008697724901139736,0.002247747965157032,82265.0,128.0,3072.0,3456.0,24960.0,1425010688.0
1024,0,random,4,4,0.01546717993915081,26425088,21600000,0.20337405428290367,6144,49021440.0,0.21884123422205448,4,12,17,1,10 6 7 12,15.441535949707031,0.004587586037814617,602624.0,4825088.0,41644032.0,36818944.0,67108864.0,6.090942770242691e-05,0.008532357402145863,0.0022212686017155647,164868.0,256.0,6144.0,6528.0,24960.0,1425010688.0
1024,0,random,8,8,0.027205965481698513,31250176,21600000,0.20337405428290367,12264,56259072.0,0.23058001976460218,8,8,17,1,10 6 7 12 13 4 5 1,27.18003273010254,0.004578276537358761,602624.0,9650176.0,52207616.0,42557440.0,69206016.0,8.906889706850052e-05,0.008341029286384583,0.002221139147877693,330070.0,512.0,12288.0,12672.0,24960.0,1425010688.0
1024,0,uncertainty,2,2,0.009114841930568218,24012544,21600000,0.20337405428290367,3072,45431296.0,0.2124888962134719,2,14,17,1,8 12,9.087712287902832,0.004585916176438332,602624.0,2412544.0,36820992.0,34408448.0,67108864.0,4.762876778841019e-05,0.008635545149445534,0.002240917645394802,82016.0,128.0,3072.0,3456.0,24960.0,1425010688.0
1024,0,uncertainty,4,4,0.015344500541687012,26425088,21600000,0.20337405428290367,6120,49021440.0,0.21871855482459068,4,12,17,1,8 12 6 1,15.319007873535156,0.004583545029163361,602624.0,4825088.0,41644032.0,36818944.0,67108864.0,6.0150399804115295e-05,0.008541636168956757,0.002226787619292736,164552.0,256.0,6144.0,6528.0,24960.0,1425010688.0
