origin,profile,basis,global_delta,block_delta,row_delta,delta,spectral_delta_audit,output_bound_kwh,polynomial_output_error_kwh,degree,conclusive,fallback_count_batch,initial_relative_residual
0,0,identity,10.130511591055233,4.9510381373573455,5.134503156643407,4.9510381373573455,0.8678727787230657,inf,52.58139122329606,12,False,0,0.3604740667741939
0,1,identity,50.38398941189875,18.137201863343222,20.215996543828673,18.137201863343222,1.3453810049753516,inf,0.0,12,False,0,0.0
0,2,identity,16.171834035760742,7.435563733350314,7.744561620963976,7.435563733350314,0.8998265938305771,inf,87.17177355839972,12,False,0,0.5326724732198079
0,3,identity,15.691391781790225,7.253855559715601,7.556584949929381,7.253855559715601,0.8992228992785689,inf,83.96673977089642,12,False,0,0.5017592530415111
0,4,identity,14.467574358136552,6.77576930147952,7.055362442111225,6.77576930147952,,inf,77.77784046071076,12,False,0,0.45625064254521486
0,5,identity,13.1677228919892,6.249344478904529,6.499378083412838,6.249344478904529,,inf,59.90621035941347,12,False,0,0.4250072902875881
0,6,identity,15.585970919353235,7.211706065091306,7.510786647353946,7.211706065091306,,inf,95.31914793161566,12,False,0,0.5365572241605813
0,7,identity,19.042798646585375,8.497711524065913,8.85353556780555,8.497711524065913,,inf,102.3522104678396,12,False,0,0.5846468287724053
0,8,identity,19.645883828728802,8.71418460956541,9.077992066303217,8.71418460956541,,inf,89.55892246789082,12,False,0,0.5856166901108553
0,9,identity,17.26627904449651,7.849559464368964,8.178507779887596,7.849559464368964,,inf,112.24643442646422,12,False,0,0.55411028321802
0,10,identity,18.66182451342462,8.360304424356213,8.709501228507984,8.360304424356213,,inf,108.28572688712642,12,False,0,0.5361784492449958
0,11,identity,17.295370443694868,7.859017252759092,8.18955517026381,7.859017252759092,,inf,101.63641706274653,12,False,0,0.5414066855168231
0,12,identity,19.308614718596605,8.59285965759411,8.949975203822937,8.59285965759411,,inf,119.20698332397404,12,False,0,0.5962507791822002
0,13,identity,15.729986607068138,7.268605907933707,7.5717657883166485,7.268605907933707,,inf,86.48326208637539,12,False,0,0.4905405537232903
0,14,identity,14.919281961752532,6.952154959605407,7.2395231881391595,6.952154959605407,,inf,74.22580495493358,12,False,0,0.4570634805884114
