method,burn_steps,calibration_alarm_steps,calibration_steps,later_alarm_steps,later_steps,units
M0,0,4,96,36,384,per update any-channel across all groups/acquired households
M0,1,3,95,28,376,per update any-channel across all groups/acquired households
M0,8,2,88,21,320,per update any-channel across all groups/acquired households
M1,0,3,96,15,384,per update any-channel across all groups/acquired households
M1,1,2,95,9,376,per update any-channel across all groups/acquired households
M1,8,2,88,7,320,per update any-channel across all groups/acquired households
M2,0,3,96,25,384,per update any-channel across all groups/acquired households
M2,1,2,95,17,376,per update any-channel across all groups/acquired households
M2,8,2,88,12,320,per update any-channel across all groups/acquired households
M3,0,3,96,30,384,per update any-channel across all groups/acquired households
M3,1,2,95,22,376,per update any-channel across all groups/acquired households
M3,8,2,88,17,320,per update any-channel across all groups/acquired households
M3_fixed,0,3,96,30,384,per update any-channel across all groups/acquired households
M3_fixed,1,2,95,22,376,per update any-channel across all groups/acquired households
M3_fixed,8,2,88,17,320,per update any-channel across all groups/acquired households
M4,0,3,96,41,384,per update any-channel across all groups/acquired households
M4,1,2,95,33,376,per update any-channel across all groups/acquired households
M4,8,2,88,20,320,per update any-channel across all groups/acquired households
