episode,method,max_metric_difference
fresh_b00_none_0.0,M0,0.0
fresh_b00_none_0.0,M2,0.0
fresh_b00_none_0.0,M3,0.0
fresh_b00_none_0.0,M4,0.0
fresh_b02_none_0.0,M0,0.0
fresh_b02_none_0.0,M2,0.0
fresh_b02_none_0.0,M3,0.0
fresh_b02_none_0.0,M4,0.0
fresh_b04_none_0.0,M0,0.0
fresh_b04_none_0.0,M2,0.0
fresh_b04_none_0.0,M3,0.0
fresh_b04_none_0.0,M4,0.0
fresh_b06_none_0.0,M0,0.0
fresh_b06_none_0.0,M2,0.0
fresh_b06_none_0.0,M3,0.0
fresh_b06_none_0.0,M4,0.0
original_b00_localized_3.0,M0,0.0
original_b00_cancel_exact_3.0,M0,0.0
original_b00_delayed_3.0,M0,0.0
original_b00_none_0.0,M0,0.0
