episode,step,method,complete_seconds,cuda_event_ms,provider_summary_seconds,provider_summary_scan_rows,summary_bytes,fine_attempts,fine_valid,fine_bytes,window_cache_bytes,retained_old_fine_cells,expired_fine_cells,source_rereads,groups_rebuilt,separator_rebuilt,detail_bytes,state_bytes,after_eviction_bytes,gpu_peak_bytes,host_peak_bytes,payload_transfer_bytes
calibration_final,4,M4,0.07647678256034851,76.41804504394531,2.035032957792282e-05,4194,717,4194,4168,67232,805248,16670,0,0,16,1,0,2365440,2365440,181306880,1446518784,1022214
calibration_final,5,M0,0.07202505506575108,71.95945739746094,2.0589679479599e-05,4194,717,0,0,0,805248,0,0,0,16,1,0,2365440,2365440,181306880,1446518784,1022214
calibration_final,5,M1,0.07025989331305027,70.19999694824219,2.0589679479599e-05,4194,717,41,41,720,805248,205,0,0,16,1,0,2365440,2365440,181306880,1446518784,1022214
calibration_final,5,M2,0.07116791512817144,71.10588836669922,2.0589679479599e-05,4194,717,209,208,3472,805248,1037,0,0,16,1,0,2365440,2365440,181306880,1446518784,1022214
calibration_final,5,M3,0.07059075031429529,70.52534484863281,2.0589679479599e-05,4194,717,209,208,3472,805248,1041,0,0,16,1,0,2365440,2365440,181306880,1446518784,1022214
calibration_final,5,M3_fixed,0.070350781083107,70.29078674316406,2.0589679479599e-05,4194,717,209,208,3472,805248,1041,0,0,16,1,38651904,41017344,2365440,181371392,1446518784,1022214
calibration_final,5,M4,0.0703902319073677,70.3309097290039,2.0589679479599e-05,4194,717,4194,4168,67232,805248,20838,0,0,16,1,0,2365440,2365440,181371392,1446518784,1022214
calibration_final,6,M0,0.07062730938196182,70.55267333984375,2.0979903638362885e-05,4194,717,0,0,0,805248,0,0,0,16,1,0,2365440,2365440,181371392,1446912000,1022214
calibration_final,6,M1,0.07066254876554012,70.5986557006836,2.0979903638362885e-05,4194,717,41,40,720,805248,246,0,0,16,1,0,2365440,2365440,181371392,1446912000,1022214
calibration_final,6,M2,0.07088057789951563,70.8141098022461,2.0979903638362885e-05,4194,717,209,205,3472,805248,1245,0,0,16,1,0,2365440,2365440,181371392,1446912000,1022214
calibration_final,6,M3,0.07060600072145462,70.54051208496094,2.0979903638362885e-05,4194,717,209,205,3472,805248,1249,0,0,16,1,0,2365440,2365440,181371392,1446912000,1022214
calibration_final,6,M3_fixed,0.06957460939884186,69.51350402832031,2.0979903638362885e-05,4194,717,209,205,3472,805248,1249,0,0,16,1,38651904,41017344,2365440,181389824,1446912000,1022214
calibration_final,6,M4,0.07038248237222433,70.32275390625,2.0979903638362885e-05,4194,717,4194,4168,67232,805248,25006,0,0,16,1,0,2365440,2365440,181389824,1446912000,1022214
calibration_final,7,M0,0.06974709872156382,69.68281555175781,2.0639970898628235e-05,4194,717,0,0,0,805248,0,0,0,16,1,0,2365440,2365440,181389824,1446912000,1022214
calibration_final,7,M1,0.07061903923749924,70.55427551269531,2.0639970898628235e-05,4194,717,41,41,720,805248,286,0,0,16,1,0,2365440,2365440,181389824,1446912000,1022214
calibration_final,7,M2,0.07037671282887459,70.30582427978516,2.0639970898628235e-05,4194,717,209,208,3472,805248,1450,0,0,16,1,0,2365440,2365440,181389824,1446912000,1022214
calibration_final,7,M3,0.0706852488219738,70.62230682373047,2.0639970898628235e-05,4194,717,209,209,3472,805248,1454,0,0,16,1,0,2365440,2365440,181389824,1446912000,1022214
calibration_final,7,M3_fixed,0.06985448766499758,69.79484558105469,2.0639970898628235e-05,4194,717,209,209,3472,805248,1454,0,0,16,1,38651904,41017344,2365440,181389824,1446912000,1022214
calibration_final,7,M4,0.07025202363729477,70.19245147705078,2.0639970898628235e-05,4194,717,4194,4167,67232,805248,29174,0,0,16,1,0,2365440,2365440,181389824,1446912000,1022214
calibration_final,8,M0,0.07273680996149778,72.6646728515625,2.4559907615184784e-05,4194,717,0,0,0,805248,0,0,0,16,1,0,2365440,2365440,181389824,1446912000,1022214
calibration_final,8,M1,0.07118390500545502,71.11186981201172,2.4559907615184784e-05,4194,717,41,41,720,805248,327,0,0,16,1,0,2365440,2365440,181389824,1446912000,1022214
calibration_final,8,M2,0.07090277783572674,70.83353424072266,2.4559907615184784e-05,4194,717,209,208,3472,805248,1658,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,8,M3,0.07041304185986519,70.34819030761719,2.4559907615184784e-05,4194,717,209,204,3472,805248,1663,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,8,M3_fixed,0.07004315592348576,69.97955322265625,2.4559907615184784e-05,4194,717,209,204,3472,805248,1663,0,0,16,1,38651904,41017344,2365440,181389824,1447305216,1022214
calibration_final,8,M4,0.07048222050070763,70.41590118408203,2.4559907615184784e-05,4194,717,4194,4168,67232,805248,33341,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,9,M0,0.07032679114490747,70.25762939453125,2.03792005777359e-05,4194,717,0,0,0,805248,0,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,9,M1,0.07035749219357967,70.29183959960938,2.03792005777359e-05,4194,717,41,41,720,805248,368,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,9,M2,0.07076018769294024,70.70066833496094,2.03792005777359e-05,4194,717,209,207,3472,805248,1866,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,9,M3,0.07230272237211466,72.24336242675781,2.03792005777359e-05,4194,717,209,208,3472,805248,1867,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
