step,method,macro,fine,trigger
0,M0,9.557092259840726,0.0,0.0
0,M1,9.557092259840726,13.785517659768491,11.785517659768491
0,M2,9.557092259840726,13.785517659768491,11.785517659768491
0,M3,9.557092259840726,13.785517659768491,11.785517659768491
0,M3_fixed,9.557092259840726,13.785517659768491,11.785517659768491
0,M4,9.557092259840726,16.726640147397656,11.785517659768491
1,M0,4.45611380438447,0.0,11.785517659768491
1,M1,4.45611380438447,3.475625221947259,9.428414127814793
1,M2,4.45611380438447,3.475625221947259,9.428414127814793
1,M3,4.45611380438447,3.475625221947259,9.428414127814793
1,M3_fixed,4.45611380438447,3.475625221947259,9.428414127814793
1,M4,4.45611380438447,13.956049471857527,9.428414127814793
2,M0,1.7083401402188096,0.0,9.428414127814793
2,M1,1.7083401402188096,2.208982765136076,7.542731302251835
2,M2,1.7083401402188096,4.580630519846017,7.542731302251835
2,M3,1.7083401402188096,6.188193155590353,7.542731302251835
2,M3_fixed,1.7083401402188096,6.188193155590353,7.542731302251835
2,M4,1.7083401402188096,13.67627020170125,7.542731302251835
3,M0,1.321864554726886,0.0,7.542731302251835
3,M1,1.321864554726886,3.5969254668317676,6.034185041801468
3,M2,1.321864554726886,12.03307337414176,6.034185041801468
3,M3,1.321864554726886,4.9327319746524365,6.034185041801468
3,M3_fixed,1.321864554726886,4.9327319746524365,6.034185041801468
3,M4,1.321864554726886,12.03307337414176,6.034185041801468
4,M0,0.8317214022784977,0.0,6.034185041801468
4,M1,0.8317214022784977,2.1276603486621983,4.827348033441175
4,M2,0.8317214022784977,5.748710547762264,4.827348033441175
4,M3,0.8317214022784977,3.107871876250811,4.827348033441175
4,M3_fixed,0.8317214022784977,3.107871876250811,4.827348033441175
4,M4,0.8317214022784977,12.480102913384043,4.827348033441175
5,M0,1.0960980251113035,0.0,4.827348033441175
5,M1,1.0960980251113035,1.922089268850767,3.86187842675294
5,M2,1.0960980251113035,3.1453175544632925,3.86187842675294
5,M3,1.0960980251113035,4.0944036919390845,3.86187842675294
5,M3_fixed,1.0960980251113035,4.0944036919390845,3.86187842675294
5,M4,1.0960980251113035,13.724472200755317,3.86187842675294
6,M0,0.8930544306478776,0.0,3.86187842675294
6,M1,0.8930544306478776,0.8135256223101469,3.0895027414023524
6,M2,0.8930544306478776,2.9233693908466445,3.0895027414023524
6,M3,0.8930544306478776,3.0982839218561264,3.0895027414023524
6,M3_fixed,0.8930544306478776,3.0982839218561264,3.0895027414023524
6,M4,0.8930544306478776,10.581809755443999,3.0895027414023524
7,M0,0.8101023997277563,0.0,3.0895027414023524
7,M1,0.8101023997277563,1.1669768146075805,2.471602193121882
7,M2,0.8101023997277563,5.1429475571206185,2.471602193121882
7,M3,0.8101023997277563,2.1652313669521606,2.471602193121882
7,M3_fixed,0.8101023997277563,2.1652313669521606,2.471602193121882
7,M4,0.8101023997277563,10.589676995419106,2.471602193121882
8,M0,0.9046600811484753,0.0,2.471602193121882
8,M1,0.9046600811484753,2.2951638776415826,1.9772817544975057
8,M2,0.9046600811484753,2.2951638776415826,1.9772817544975057
8,M3,0.9046600811484753,2.2951638776415826,1.9772817544975057
8,M3_fixed,0.9046600811484753,2.2951638776415826,1.9772817544975057
8,M4,0.9046600811484753,10.941799324133498,1.9772817544975057
9,M0,1.253982217231811,0.0,1.9772817544975057
9,M1,1.253982217231811,1.4757377394857731,1.5818254035980046
9,M2,1.253982217231811,4.136639332375335,1.5818254035980046
9,M3,1.253982217231811,11.031692716293788,1.5818254035980046
9,M3_fixed,1.253982217231811,11.031692716293788,1.5818254035980046
9,M4,1.253982217231811,11.031692716293788,1.5818254035980046
10,M0,1.0803849812995494,0.0,1.5818254035980046
10,M1,1.0803849812995494,2.0619263122884557,1.2654603228784038
10,M2,1.0803849812995494,2.219182127437647,1.2654603228784038
10,M3,1.0803849812995494,3.3049510501770802,1.2654603228784038
10,M3_fixed,1.0803849812995494,3.3049510501770802,1.2654603228784038
10,M4,1.0803849812995494,11.076174307903043,1.2654603228784038
11,M0,2.712439526178446,0.0,1.2654603228784038
11,M1,2.712439526178446,1.3547918118088256,1.0123682583027231
11,M2,2.712439526178446,3.1413993471989476,1.0123682583027231
11,M3,2.712439526178446,4.252468615419049,1.0123682583027231
11,M3_fixed,2.712439526178446,4.252468615419049,1.0123682583027231
11,M4,2.712439526178446,10.842016590975877,1.0123682583027231
12,M0,2.0586760089239293,0.0,1.0123682583027231
12,M1,2.0586760089239293,2.751598778054245,0.8098946066421786
12,M2,2.0586760089239293,4.612188612092699,0.8098946066421786
12,M3,2.0586760089239293,4.469411120512227,0.8098946066421786
12,M3_fixed,2.0586760089239293,4.469411120512227,0.8098946066421786
12,M4,2.0586760089239293,10.123122125513447,0.8098946066421786
