background,family,magnitude,horizon,M0,M1,M2,M3,M3_fixed,M4
0,cancel_approx,1.0,2,0.15125220538742087,0.15106399825363506,0.14982729835541927,0.1501317930501995,0.1501317930501995,0.12522748786795457
0,cancel_approx,1.0,12,0.14247523942888654,0.14084439233221718,0.14007540873260432,0.14082525889017147,0.14082525889017147,0.1425255580385226
0,cancel_approx,3.0,2,0.18118179576943264,0.1803876031743987,0.17683402866595263,0.17781547792048288,0.17781547792048288,0.14289241293629562
0,cancel_approx,3.0,12,0.17333203894461235,0.17214771199554418,0.17139102082762184,0.1720703942308371,0.1720703942308371,0.1732387824783758
0,cancel_exact,1.0,2,0.14081512140534633,0.1433615672273262,0.13826263439929556,0.1397062365927929,0.1397062365927929,0.1094812435814352
0,cancel_exact,1.0,12,0.1386672619722588,0.13707829821427844,0.13551202318600722,0.13516902999109465,0.13516902999109465,0.1363893271314843
0,cancel_exact,3.0,2,0.18085865953524857,0.18278442328324274,0.17483247816378208,0.17760848058560852,0.17760848058560852,0.13289034680083026
0,cancel_exact,3.0,12,0.17763590044208338,0.17550759787809908,0.17389445327698083,0.17349009853089334,0.17349009853089334,0.17463977371216205
0,delayed,1.0,2,0.13529467886462732,0.13440967981555837,0.1340367465805483,0.13118427040306233,0.13118427040306233,0.12270623778230272
0,delayed,1.0,12,0.1313682522178925,0.12984101582974744,0.12850626614291863,0.12941267876691828,0.12941267876691828,0.13074844775858005
0,delayed,3.0,2,0.15102371309469517,0.1495052423048114,0.14977468088225668,0.1454612239638532,0.1454612239638532,0.13321353923881518
0,delayed,3.0,12,0.14448266426719578,0.14301197569670368,0.14218956168976274,0.14257307597741617,0.14257307597741617,0.14378909624693556
0,localized,1.0,2,0.17738130057688542,0.17564117510209612,0.176413596837109,0.16705053215226426,0.16705053215226426,0.15320875370277853
0,localized,1.0,12,0.18311262803487505,0.1824039822733385,0.18567974056875328,0.18260569104396682,0.18260569104396682,0.17691519997223223
0,localized,3.0,2,0.465668581283186,0.46493893016103394,0.45806344049412206,0.4385994177630902,0.4385994177630902,0.3516560854013744
0,localized,3.0,12,0.49114844001430785,0.48996853744490615,0.49213045963954016,0.48931949225037374,0.48931949225037374,0.4766983586542476
0,ramp,1.0,2,0.13919500496177786,0.14281100776651415,0.14514139344631774,0.13986461933335176,0.13986461933335176,0.12712325932227778
0,ramp,1.0,12,0.13903495839013544,0.14281264207450614,0.14583951348828778,0.14488334862807667,0.14488334862807667,0.14552374943741886
0,ramp,3.0,2,0.2582744328843014,0.25900126215616676,0.26005492376843514,0.2581648815182588,0.2581648815182588,0.21105338333570078
0,ramp,3.0,12,0.2763925748493842,0.2806937566716577,0.28202617957973225,0.2828557174929219,0.2828557174929219,0.28241797744514713
0,regional,1.0,2,0.13842232284758166,0.135980427060494,0.13353486953776766,0.13336301437389755,0.13336301437389755,0.12043813730949246
0,regional,1.0,12,0.13111238860903948,0.1277292439228096,0.12822987355610652,0.1278064124239791,0.1278064124239791,0.1270275625416989
0,regional,3.0,2,0.14459499179098184,0.13971414628860354,0.13621079309329973,0.13599924042356598,0.13599924042356598,0.12212085557722105
0,regional,3.0,12,0.13806972929118524,0.13358073186461175,0.13635414414321564,0.1357912802237018,0.1357912802237018,0.1359382072164855
0,sensor_fault,3.0,2,0.17174062287544403,0.16850574738375443,0.16695710068347983,0.18412109457582262,0.18412109457582262,0.2539632586997585
0,sensor_fault,3.0,12,0.15666865220403878,0.1542856533315003,0.15655472373965723,0.1555726808065018,0.1555726808065018,0.153267648091712
1,cancel_approx,1.0,2,0.1271808096793696,0.12413496974541044,0.11597212078650927,0.12169641203721114,0.12169641203721114,0.104092947014423
1,cancel_approx,1.0,12,0.1356395840062335,0.13137132536582724,0.13031867968697022,0.13086621042336893,0.13086621042336893,0.12864576541310405
1,cancel_approx,3.0,2,0.14947002615150576,0.14668714786809273,0.13591466171197109,0.14331736099291278,0.14331736099291278,0.11619462111636429
1,cancel_approx,3.0,12,0.1593186185070013,0.15488673823826585,0.15352479428464824,0.15434527420097735,0.15434527420097735,0.15221678189297305
1,cancel_exact,1.0,2,0.1287098942790215,0.12834553629187442,0.12582002567047576,0.12584680044354524,0.12584680044354524,0.11346008753876667
1,cancel_exact,1.0,12,0.13563495470686587,0.13413193622717848,0.13395694117059465,0.1327499262864927,0.1327499262864927,0.13280043990491122
1,cancel_exact,3.0,2,0.14492312878299254,0.14520199880755455,0.1424451564525819,0.14119553304240492,0.14119553304240492,0.12266430265703299
1,cancel_exact,3.0,12,0.15332805078867967,0.15217983969613785,0.15184482983213396,0.15067674070831913,0.15067674070831913,0.1505796888414384
1,delayed,1.0,2,0.12335679085753293,0.12302285028593705,0.11780825127488924,0.12172178740010674,0.12172178740010674,0.11075932626085043
1,delayed,1.0,12,0.13304855369499521,0.12851326882445618,0.1263892915215202,0.1276436422256786,0.1276436422256786,0.12731141830613088
1,delayed,3.0,2,0.12730657788892644,0.12718261897122507,0.12225613524678901,0.1254884172352105,0.1254884172352105,0.11334190328221738
1,delayed,3.0,12,0.13621902619421988,0.1318157222732771,0.1300797029252732,0.13033656099189941,0.13033656099189941,0.13076098159224692
1,localized,1.0,2,0.16026520993357077,0.16315616253308654,0.15927022877976083,0.15172496612222663,0.15172496612222663,0.12116078494971944
1,localized,1.0,12,0.22129871854365227,0.20187519226675527,0.18956325306801952,0.19155374058769345,0.19155374058769345,0.18318190270719548
1,localized,3.0,2,0.1773724861084156,0.18224828710689167,0.17805022380662627,0.16868547534238634,0.16868547534238634,0.13205030874893484
1,localized,3.0,12,0.24655103050894145,0.22677581687621873,0.21432764183309244,0.21623173379015867,0.21623173379015867,0.2077756924946574
1,ramp,1.0,2,0.11860264795737226,0.12028250891061228,0.11950682087897037,0.12117600830887316,0.12117600830887316,0.10616230308145679
1,ramp,1.0,12,0.13364968848391318,0.13325425697594756,0.13359839653524047,0.13397452285382153,0.13397452285382153,0.136025311592764
1,ramp,3.0,2,0.22020665044846452,0.21892256893758025,0.21256446224936423,0.21408875624329504,0.21408875624329504,0.17620456135970172
1,ramp,3.0,12,0.25585484444514006,0.2604086387213988,0.26008109598869644,0.262448284670051,0.262448284670051,0.26292034368790806
1,regional,1.0,2,0.10047876026286813,0.09756381347606329,0.09552085621693368,0.09426325288826048,0.09426325288826048,0.08574173808939056
1,regional,1.0,12,0.11152465045065757,0.10418995933715952,0.10178218405122536,0.10116301907303264,0.10116301907303264,0.0996484320072286
1,regional,3.0,2,0.11237660724824657,0.10754025587774611,0.1035824527614313,0.10307180255663854,0.10307180255663854,0.09205295808463769
1,regional,3.0,12,0.10855065088573249,0.10756879524493174,0.10758937850492613,0.10943644612927123,0.10943644612927123,0.11206997367674032
1,sensor_fault,3.0,2,0.05953798020969004,0.056090208323584835,0.07180038944849117,0.06438589111043531,0.06438589111043531,0.1326754469129857
