episode,step,horizon,method,current_region,current_signature,current_plus,current_minus,target_region,forecast_region,region_sd,target_plus,forecast_plus,target_minus,forecast_minus,active_group,plus_target_support,minus_target_support
b00_cancel_exact_3.0,0,2,M0,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,996.0520006736042,983.7893757315182,35.98536019599392,0.2050999989112218,0.2308165738072028,0.1750000005122274,0.22932195368551161,-1,30,32
b00_cancel_exact_3.0,0,12,M0,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,1462.7009991238592,1395.520469743046,93.63116062347191,0.6040501160396766,0.3332660116967423,0.1537655148745217,0.32891670666669676,-1,30,32
b00_cancel_exact_3.0,0,2,M1,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,996.0520006736042,970.9958632114505,35.30369551437315,0.2050999989112218,0.22451608093232242,0.1750000005122274,0.2222992239977956,-1,30,32
b00_cancel_exact_3.0,0,12,M1,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,1462.7009991238592,1372.3760021298044,91.2009002211425,0.6040501160396766,0.3282700702829158,0.1537655148745217,0.3271021693418876,-1,30,32
b00_cancel_exact_3.0,0,2,M2,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,996.0520006736042,977.524876514907,33.62908679148799,0.2050999989112218,0.2211574776940136,0.1750000005122274,0.23165766110772817,-1,30,32
b00_cancel_exact_3.0,0,12,M2,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,1462.7009991238592,1440.4087684123333,84.67671175328597,0.6040501160396766,0.34001566397223415,0.1537655148745217,0.35008481609154407,-1,30,32
b00_cancel_exact_3.0,0,2,M3,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,996.0520006736042,984.2808961832836,33.81638542159839,0.2050999989112218,0.22380026909396974,0.1750000005122274,0.22269879268047177,-1,30,32
b00_cancel_exact_3.0,0,12,M3,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,1462.7009991238592,1444.7906685839123,84.16870138829944,0.6040501160396766,0.3447676348489636,0.1537655148745217,0.3392181393405282,-1,30,32
b00_cancel_exact_3.0,0,2,M3_fixed,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,996.0520006736042,984.2808961832836,33.81638542159839,0.2050999989112218,0.22380026909396974,0.1750000005122274,0.22269879268047177,-1,30,32
b00_cancel_exact_3.0,0,12,M3_fixed,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,1462.7009991238592,1444.7906685839123,84.16870138829944,0.6040501160396766,0.3447676348489636,0.1537655148745217,0.3392181393405282,-1,30,32
b00_cancel_exact_3.0,0,2,M4,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,996.0520006736042,988.9606703809678,29.59386340552116,0.2050999989112218,0.22437782267880732,0.1750000005122274,0.2624136872924421,-1,30,32
b00_cancel_exact_3.0,0,12,M4,980.5109999957494,0.0,0.221200002109011,0.3158750039292499,1462.7009991238592,1455.9978018179052,75.13893832875006,0.6040501160396766,0.3531110450247377,0.1537655148745217,0.34218310991140644,-1,30,32
b00_cancel_exact_3.0,1,2,M0,991.0189997254638,0.0,0.1798000007246931,0.2156562524614855,999.051000233274,986.4873365082047,35.98598911550351,0.1947333317250013,0.2234146881641272,0.2078125033876858,0.22226928823358177,-1,30,32
b00_cancel_exact_3.0,1,12,M0,991.0189997254638,0.0,0.1798000007246931,0.2156562524614855,1579.1079992648447,1449.5135416792696,93.62703083232788,0.5922043087380321,0.3511912092591714,0.1744647058774421,0.33477439901094885,-1,30,32
b00_cancel_exact_3.0,1,2,M1,991.0189997254638,0.0,0.1798000007246931,0.2156562524614855,999.051000233274,982.77647488989,35.063139038885744,0.1947333317250013,0.21609476602448802,0.2078125033876858,0.2147373979426989,-1,30,32
b00_cancel_exact_3.0,1,12,M1,991.0189997254638,0.0,0.1798000007246931,0.2156562524614855,1579.1079992648447,1487.1459753569518,87.96970803649765,0.5922043087380321,0.35903940708994875,0.1744647058774421,0.3437043529476197,-1,30,32
b00_cancel_exact_3.0,1,2,M2,991.0189997254638,0.0,0.1798000007246931,0.2156562524614855,999.051000233274,991.0850874283342,32.964675094216375,0.1947333317250013,0.21699027210753366,0.2078125033876858,0.22011036670064804,-1,30,32
b00_cancel_exact_3.0,1,12,M2,991.0189997254638,0.0,0.1798000007246931,0.2156562524614855,1579.1079992648447,1517.8288303016675,81.48456129171173,0.5922043087380321,0.3655359735292297,0.1744647058774421,0.3544371847559198,-1,30,32
b00_cancel_exact_3.0,1,2,M3,991.0189997254638,0.0,0.1798000007246931,0.2156562524614855,999.051000233274,984.5273614416194,33.341440509300746,0.1947333317250013,0.2169195854229531,0.2078125033876858,0.21907736344038578,-1,30,32
b00_cancel_exact_3.0,1,12,M3,991.0189997254638,0.0,0.1798000007246931,0.2156562524614855,1579.1079992648447,1513.7661885651623,82.12328746913778,0.5922043087380321,0.3658077264976845,0.1744647058774421,0.3483853843612791,-1,30,32
