population,policy,active_groups,access_budget_cells,acquired_groups,acquired_households,active_state_dimension,coarse_setup_seconds,coarsen_seconds,complete_seconds,cuda_after_eviction_bytes,cuda_resident_bytes,factor_denominator,gpu_event_span_ms,gpu_peak_bytes,gpu_reserved_bytes,host_peak_rss_bytes,recomputed_group_factors,released_detail_bytes,representation_detail_bytes,representation_seconds,retained_bytes,reused_group_factors,separator_factorizations,source_access_rows,source_file_bytes,state_bytes,total_state_dimension,two_cached_rerefine_seconds,two_rerefine_seconds,update_seconds
1024,fixed,2,3072.0,2.0,128.0,3456.0,0.04052577121183275,4.682410508394241e-05,0.050278674811124746,34408448.0,36820992.0,17.0,9.530911922454834,45431296.0,67108864.0,1435865088.0,2.0,2412544.0,602624.0,0.005050740670412701,21600000.0,14.0,1.0,3035.5,81778.5,24012544.0,24960.0,0.0025029606185853,0.00893419282510875,0.00955591211095445
1024,fixed,4,6144.0,4.0,256.0,6528.0,0.04052577121183275,5.960417911410332e-05,0.05653680022805925,36818944.0,41644032.0,17.0,15.710464000701904,49021440.0,67108864.0,1435865088.0,4.0,4825088.0,602624.0,0.00485324300825595,21600000.0,12.0,1.0,6082.0,163676.5,26425088.0,24960.0,0.0025021256878972,0.008787944912910399,0.0157359163276851
1024,fixed,8,12288.0,8.0,512.0,12672.0,0.04052577121183275,8.80090519785881e-05,0.06832803599536416,42557440.0,52207616.0,17.0,27.559423446655273,56259072.0,69206016.0,1435865088.0,8.0,9650176.0,602624.0,0.004864427726715749,21600000.0,8.0,1.0,12148.5,326987.5,31250176.0,24960.0,0.002674039453268,0.00863790139555925,0.02758506173267955
1024,fixed_coarse,0,,0.0,,,0.04052577121183275,,0.04052577121183275,,,17.0,,,,,16.0,,,,21600000.0,0.0,1.0,0.0,,21600000.0,,,,0.04052577121183275
1024,random,2,3072.0,2.0,128.0,3456.0,0.04052577121183275,4.713423550128937e-05,0.050075322389602606,34408448.0,36820992.0,17.0,9.420000076293945,45431296.0,67108864.0,1435865088.0,2.0,2412544.0,602624.0,0.004870382603257849,21600000.0,14.0,1.0,3048.0,81800.0,24012544.0,24960.0,0.002511775586754,0.008948802947998,0.00944599788635965
1024,random,4,6144.0,4.0,256.0,6528.0,0.04052577121183275,6.112875416874886e-05,0.05649542529135935,36818944.0,41644032.0,17.0,15.576208114624023,49021440.0,67108864.0,1435865088.0,4.0,4825088.0,602624.0,0.0048572523519396,21600000.0,12.0,1.0,6072.0,163721.5,26425088.0,24960.0,0.0025077462196350002,0.008792635053396149,0.01560208341106765
1024,random,8,12288.0,8.0,512.0,12672.0,0.04052577121183275,8.89892689883709e-05,0.06854070862755174,42557440.0,52207616.0,17.0,27.71297550201416,56259072.0,69206016.0,1435865088.0,8.0,9650176.0,602624.0,0.00485974689945575,21600000.0,8.0,1.0,12132.0,326979.5,31250176.0,24960.0,0.0025145653635263,0.0086297714151442,0.027739385142922353
1024,uncertainty,2,3072.0,2.0,128.0,3456.0,0.04052577121183275,4.752958193421364e-05,0.05005946429446335,34408448.0,36820992.0,17.0,9.393072128295898,45431296.0,67108864.0,1435865088.0,2.0,2412544.0,602624.0,0.0048573981039226,21600000.0,14.0,1.0,3058.5,81230.0,24012544.0,24960.0,0.00250698626041405,0.0089297429658472,0.00942038372159
1024,uncertainty,4,6144.0,4.0,256.0,6528.0,0.04052577121183275,6.0914549976587296e-05,0.056646659038960906,36818944.0,41644032.0,17.0,15.762368202209473,49021440.0,67108864.0,1435865088.0,4.0,4825088.0,602624.0,0.00485254824161525,21600000.0,12.0,1.0,6080.0,163232.5,26425088.0,24960.0,0.0024988958612084,0.008803703822195499,0.015787996351718847
1024,uncertainty,8,12288.0,8.0,512.0,12672.0,0.04052577121183275,8.889380842447281e-05,0.0689218654297292,42557440.0,52207616.0,17.0,27.60539150238037,56259072.0,69206016.0,1435865088.0,8.0,9650176.0,602624.0,0.004852732643485,21600000.0,8.0,1.0,12104.5,327073.5,31250176.0,24960.0,0.0025114105083047502,0.0086420117877423,0.0276312762871384
1024,uniform_fine_stream,0,,16.0,,,0.0,,0.048418169375508954,,,17.0,,61671936.0,,,16.0,,,,21600000.0,0.0,1.0,24296.5,,21600000.0,,,,0.048418169375508954
