population,origin,policy,active_groups,separator_mean_error,separator_variance_trace,correct_variance_trace,representation_error,cycle_error,factor_error,separator_covariance_error,aggregation_mean_error,added_households,reused_group_factors,updated_separator,seconds,new_summary_bytes,provenance_rows,separator_change,retained_checkpoint_bytes
1024,3,random,4,1.4432899320127035e-15,,,0.0,0.0,0.0,6.938893903907228e-18,0.0,,,,,,,,
1024,3,random,8,1.2212453270876722e-15,,,0.0,0.0,0.0,3.686287386450715e-18,2.842170943040401e-14,,,,,,,,
1024,3,uncertainty,2,1.3322676295501878e-15,,,0.0,0.0,0.0,2.3201926491189795e-17,0.0,,,,,,,,
1024,3,uncertainty,4,1.1102230246251565e-15,,,0.0,0.0,0.0,8.673617379884035e-18,0.0,,,,,,,,
1024,3,uncertainty,8,1.3322676295501878e-15,,,0.0,0.0,0.0,4.445228907190568e-18,2.842170943040401e-14,,,,,,,,
1024,4,fixed,2,1.1657341758564144e-15,,,0.0,0.0,0.0,1.5395670849294163e-17,5.684341886080802e-14,,,,,,,,
1024,4,fixed,4,8.881784197001252e-16,,,0.0,0.0,0.0,7.37257477290143e-18,0.0,,,,,,,,
1024,4,fixed,8,9.992007221626409e-16,,,0.0,0.0,0.0,4.0115480381963664e-18,1.1368683772161603e-13,,,,,,,,
1024,4,random,2,1.0547118733938987e-15,,,0.0,0.0,0.0,1.8214596497756474e-17,0.0,,,,,,,,
1024,4,random,4,1.5543122344752192e-15,,,0.0,0.0,0.0,8.673617379884035e-18,5.684341886080802e-14,,,,,,,,
1024,4,random,8,3.552713678800501e-15,,,0.0,0.0,0.0,2.6020852139652106e-18,5.684341886080802e-14,,,,,,,,
1024,4,uncertainty,2,2.220446049250313e-15,,,0.0,0.0,0.0,2.190088388420719e-17,5.684341886080802e-14,,,,,,,,
1024,4,uncertainty,4,7.771561172376096e-16,,,0.0,0.0,0.0,9.324138683375338e-18,5.684341886080802e-14,,,,,,,,
1024,4,uncertainty,8,1.609823385706477e-15,,,0.0,0.0,0.0,4.553649124439119e-18,5.684341886080802e-14,,,,,,,,
1024,5,fixed,2,2.0261570199409107e-15,,,0.0,0.0,0.0,2.710505431213761e-17,0.0,,,,,,,,
1024,5,fixed,4,1.7763568394002505e-15,,,0.0,0.0,0.0,1.5612511283791264e-17,5.684341886080802e-14,,,,,,,,
1024,5,fixed,8,7.216449660063518e-16,,,0.0,0.0,0.0,2.927345865710862e-18,1.1368683772161603e-13,,,,,,,,
1024,5,random,2,2.6922908347160046e-15,,,0.0,0.0,0.0,3.382710778154774e-17,5.684341886080802e-14,,,,,,,,
1024,5,random,4,9.992007221626409e-16,,,0.0,0.0,0.0,9.540979117872439e-18,5.684341886080802e-14,,,,,,,,
1024,5,random,8,1.3322676295501878e-15,,,0.0,0.0,0.0,2.656295322589486e-18,0.0,,,,,,,,
1024,5,uncertainty,2,1.2212453270876722e-15,,,0.0,0.0,0.0,1.973247953923618e-17,5.684341886080802e-14,,,,,,,,
1024,5,uncertainty,4,6.661338147750939e-16,,,0.0,0.0,0.0,1.214306433183765e-17,1.1368683772161603e-13,,,,,,,,
1024,5,uncertainty,8,1.4432899320127035e-15,,,0.0,0.0,0.0,3.469446951953614e-18,5.684341886080802e-14,,,,,,,,
1024,6,fixed,2,1.3877787807814457e-15,,,0.0,0.0,0.0,3.924811864397526e-17,1.1368683772161603e-13,,,,,,,,
1024,6,fixed,4,1.2212453270876722e-15,,,0.0,0.0,0.0,1.0408340855860843e-17,5.684341886080802e-14,,,,,,,,
1024,6,fixed,8,6.661338147750939e-16,,,0.0,0.0,0.0,4.0115480381963664e-18,5.684341886080802e-14,,,,,,,,
1024,6,random,2,1.304512053934559e-15,,,0.0,0.0,0.0,2.0816681711721685e-17,5.684341886080802e-14,,,,,,,,
1024,6,random,4,1.7763568394002505e-15,,,0.0,0.0,0.0,1.0842021724855044e-17,0.0,,,,,,,,
1024,6,random,8,6.661338147750939e-16,,,0.0,0.0,0.0,4.0115480381963664e-18,5.684341886080802e-14,,,,,,,,
1024,6,uncertainty,2,1.7208456881689926e-15,,,0.0,0.0,0.0,2.0599841277224584e-17,4.440892098500626e-16,,,,,,,,
1024,6,uncertainty,4,9.43689570931383e-16,,,0.0,0.0,0.0,6.179952383167375e-18,1.1368683772161603e-13,,,,,,,,
1024,6,uncertainty,8,8.881784197001252e-16,,,0.0,0.0,0.0,3.7947076036992655e-18,5.684341886080802e-14,,,,,,,,
1024,7,fixed,2,2.220446049250313e-15,,,0.0,0.0,0.0,2.47198095326695e-17,8.881784197001252e-16,,,,,,,,
1024,7,fixed,4,1.0269562977782698e-15,,,0.0,0.0,0.0,1.214306433183765e-17,5.684341886080802e-14,,,,,,,,
1024,7,fixed,8,7.771561172376096e-16,,,0.0,0.0,0.0,3.686287386450715e-18,1.1368683772161603e-13,,,,,,,,
1024,7,random,2,8.881784197001252e-16,,,0.0,0.0,0.0,1.431146867680866e-17,5.684341886080802e-14,,,,,,,,
1024,7,random,4,7.216449660063518e-16,,,0.0,0.0,0.0,6.071532165918825e-18,5.684341886080802e-14,,,,,,,,
1024,7,random,8,6.661338147750939e-16,,,0.0,0.0,0.0,3.0357660829594124e-18,1.7763568394002505e-15,,,,,,,,
1024,7,uncertainty,2,4.135580766728708e-15,,,0.0,0.0,0.0,3.7947076036992655e-17,5.684341886080802e-14,,,,,,,,
1024,7,uncertainty,4,1.3877787807814457e-15,,,0.0,0.0,0.0,1.474514954580286e-17,5.684341886080802e-14,,,,,,,,
1024,7,uncertainty,8,4.718447854656915e-16,,,0.0,0.0,0.0,3.2526065174565133e-18,5.684341886080802e-14,,,,,,,,
1024,8,fixed,2,1.5681900222830336e-15,,,0.0,0.0,0.0,1.734723475976807e-17,8.881784197001252e-16,,,,,,,,
1024,8,fixed,4,1.2351231148954867e-15,,,0.0,0.0,0.0,8.456776945386935e-18,2.842170943040401e-14,,,,,,,,
1024,8,fixed,8,6.106226635438361e-16,,,0.0,0.0,0.0,3.0357660829594124e-18,8.881784197001252e-16,,,,,,,,
1024,8,random,2,9.020562075079397e-16,,,0.0,0.0,0.0,1.8431436932253575e-17,5.684341886080802e-14,,,,,,,,
1024,8,random,4,8.881784197001252e-16,,,0.0,0.0,0.0,9.540979117872439e-18,2.842170943040401e-14,,,,,,,,
1024,8,random,8,7.355227538141662e-16,,,0.0,0.0,0.0,3.686287386450715e-18,2.842170943040401e-14,,,,,,,,
1024,8,uncertainty,2,2.2343238370581275e-15,,,0.0,0.0,0.0,3.7947076036992655e-17,8.881784197001252e-16,,,,,,,,
1024,8,uncertainty,4,7.216449660063518e-16,,,0.0,0.0,0.0,9.107298248878237e-18,2.842170943040401e-14,,,,,,,,
1024,8,uncertainty,8,4.163336342344337e-16,,,0.0,0.0,0.0,3.2526065174565133e-18,2.842170943040401e-14,,,,,,,,
1024,9,fixed,2,8.049116928532385e-16,,,0.0,0.0,0.0,1.8648277366750676e-17,2.842170943040401e-14,,,,,,,,
1024,9,fixed,4,7.216449660063518e-16,,,0.0,0.0,0.0,7.697835424647081e-18,2.842170943040401e-14,,,,,,,,
1024,9,fixed,8,8.049116928532385e-16,,,0.0,0.0,0.0,3.144186300207963e-18,4.440892098500626e-16,,,,,,,,
1024,9,random,2,1.3322676295501878e-15,,,0.0,0.0,0.0,1.8431436932253575e-17,5.684341886080802e-14,,,,,,,,
1024,9,random,4,1.8318679906315083e-15,,,0.0,0.0,0.0,5.204170427930421e-18,5.684341886080802e-14,,,,,,,,
1024,9,random,8,1.7208456881689926e-15,,,0.0,0.0,0.0,4.0115480381963664e-18,2.842170943040401e-14,,,,,,,,
1024,9,uncertainty,2,2.3592239273284576e-15,,,0.0,0.0,0.0,4.5102810375396984e-17,0.0,,,,,,,,
1024,9,uncertainty,4,6.661338147750939e-16,,,0.0,0.0,0.0,1.214306433183765e-17,5.684341886080802e-14,,,,,,,,
1024,9,uncertainty,8,6.661338147750939e-16,,,0.0,0.0,0.0,3.0357660829594124e-18,2.842170943040401e-14,,,,,,,,
1024,10,fixed,2,8.881784197001252e-16,,,0.0,0.0,0.0,1.6263032587282567e-17,2.842170943040401e-14,,,,,,,,
1024,10,fixed,4,1.3322676295501878e-15,,,0.0,0.0,0.0,1.0191500421363742e-17,5.684341886080802e-14,,,,,,,,
1024,10,fixed,8,6.661338147750939e-16,,,0.0,0.0,0.0,2.3852447794681098e-18,2.842170943040401e-14,,,,,,,,
1024,10,random,2,1.0547118733938987e-15,,,0.0,0.0,0.0,1.235990476633475e-17,2.842170943040401e-14,,,,,,,,
1024,10,random,4,1.3322676295501878e-15,,,0.0,0.0,0.0,8.239936510889834e-18,2.842170943040401e-14,,,,,,,,
1024,10,random,8,9.992007221626409e-16,,,0.0,0.0,0.0,2.222614453595284e-18,4.440892098500626e-16,,,,,,,,
1024,10,uncertainty,2,2.0539125955565396e-15,,,0.0,0.0,0.0,2.3635607360183997e-17,2.842170943040401e-14,,,,,,,,
1024,10,uncertainty,4,1.3322676295501878e-15,,,0.0,0.0,0.0,1.0842021724855044e-17,5.684341886080802e-14,,,,,,,,
1024,10,uncertainty,8,8.326672684688674e-16,,,0.0,0.0,0.0,2.0599841277224584e-18,4.440892098500626e-16,,,,,,,,
1024,11,fixed,2,1.3322676295501878e-15,,,0.0,0.0,0.0,1.7780915628762273e-17,2.842170943040401e-14,,,,,,,,
1024,11,fixed,4,7.077671781985373e-16,,,0.0,0.0,0.0,6.938893903907228e-18,0.0,,,,,,,,
1024,11,fixed,8,8.326672684688674e-16,,,0.0,0.0,0.0,3.2526065174565133e-18,2.842170943040401e-14,,,,,,,,
1024,11,random,2,2.4980018054066022e-15,,,0.0,0.0,0.0,1.235990476633475e-17,2.842170943040401e-14,,,,,,,,
1024,11,random,4,1.8318679906315083e-15,,,0.0,0.0,0.0,9.324138683375338e-18,2.842170943040401e-14,,,,,,,,
1024,11,random,8,7.216449660063518e-16,,,0.0,0.0,0.0,4.553649124439119e-18,2.842170943040401e-14,,,,,,,,
1024,11,uncertainty,2,1.429412144204889e-15,,,0.0,0.0,0.0,3.5344990823027445e-17,2.842170943040401e-14,,,,,,,,
1024,11,uncertainty,4,5.551115123125783e-16,,,0.0,0.0,0.0,1.2793585635328952e-17,8.881784197001252e-16,,,,,,,,
1024,11,uncertainty,8,6.661338147750939e-16,,,0.0,0.0,0.0,3.7947076036992655e-18,1.4210854715202004e-14,,,,,,,,
1024,12,fixed,2,1.3600232051658168e-15,,,0.0,0.0,0.0,2.45029690981724e-17,5.684341886080802e-14,,,,,,,,
1024,12,fixed,4,6.938893903907228e-16,,,0.0,0.0,0.0,9.540979117872439e-18,5.684341886080802e-14,,,,,,,,
1024,12,fixed,8,7.216449660063518e-16,,,0.0,0.0,0.0,2.927345865710862e-18,4.440892098500626e-16,,,,,,,,
1024,12,random,2,2.220446049250313e-15,,,0.0,0.0,0.0,2.0599841277224584e-17,5.684341886080802e-14,,,,,,,,
1024,12,random,4,1.0547118733938987e-15,,,0.0,0.0,0.0,1.0408340855860843e-17,1.1368683772161603e-13,,,,,,,,
1024,12,random,8,5.273559366969494e-16,,,0.0,0.0,0.0,3.144186300207963e-18,5.684341886080802e-14,,,,,,,,
1024,12,uncertainty,2,2.248201624865942e-15,,,0.0,0.0,0.0,2.862293735361732e-17,0.0,,,,,,,,
1024,12,uncertainty,4,6.106226635438361e-16,,,0.0,0.0,0.0,9.75781955236954e-18,0.0,,,,,,,,
1024,12,uncertainty,8,4.579669976578771e-16,,,0.0,0.0,0.0,2.927345865710862e-18,4.440892098500626e-16,,,,,,,,
1024,13,fixed,2,6.106226635438361e-16,,,0.0,0.0,0.0,1.6696713456276768e-17,5.684341886080802e-14,,,,,,,,
1024,13,fixed,4,5.273559366969494e-16,,,0.0,0.0,0.0,8.023096076392733e-18,1.1368683772161603e-13,,,,,,,,
1024,13,fixed,8,7.494005416219807e-16,,,0.0,0.0,0.0,2.710505431213761e-18,1.1368683772161603e-13,,,,,,,,
1024,13,random,2,1.4988010832439613e-15,,,0.0,0.0,0.0,2.3852447794681098e-17,5.684341886080802e-14,,,,,,,,
1024,13,random,4,8.326672684688674e-16,,,0.0,0.0,0.0,8.023096076392733e-18,0.0,,,,,,,,
1024,13,random,8,9.43689570931383e-16,,,0.0,0.0,0.0,2.8189256484623115e-18,5.684341886080802e-14,,,,,,,,
1024,13,uncertainty,2,1.6653345369377348e-15,,,0.0,0.0,0.0,2.3852447794681098e-17,5.684341886080802e-14,,,,,,,,
1024,13,uncertainty,4,7.771561172376096e-16,,,0.0,0.0,0.0,7.806255641895632e-18,5.684341886080802e-14,,,,,,,,
1024,13,uncertainty,8,6.661338147750939e-16,,,0.0,0.0,0.0,3.903127820947816e-18,0.0,,,,,,,,
1024,14,fixed,2,1.887379141862766e-15,,,0.0,0.0,0.0,1.691355389077387e-17,4.440892098500626e-16,,,,,,,,
1024,14,fixed,4,1.1657341758564144e-15,,,0.0,0.0,0.0,4.7704895589362195e-18,5.684341886080802e-14,,,,,,,,
1024,14,fixed,8,1.1657341758564144e-15,,,0.0,0.0,0.0,2.927345865710862e-18,8.881784197001252e-16,,,,,,,,
1024,14,random,2,2.1649348980190553e-15,,,0.0,0.0,0.0,2.3635607360183997e-17,5.684341886080802e-14,,,,,,,,
1024,14,random,4,7.632783294297951e-16,,,0.0,0.0,0.0,7.589415207398531e-18,1.1368683772161603e-13,,,,,,,,
1024,14,random,8,1.4988010832439613e-15,,,0.0,0.0,0.0,3.469446951953614e-18,5.684341886080802e-14,,,,,,,,
1024,14,uncertainty,2,1.8041124150158794e-15,,,0.0,0.0,0.0,3.0574501264091225e-17,1.1368683772161603e-13,,,,,,,,
1024,14,uncertainty,4,1.8318679906315083e-15,,,0.0,0.0,0.0,8.673617379884035e-18,5.684341886080802e-14,,,,,,,,
1024,14,uncertainty,8,6.106226635438361e-16,,,0.0,0.0,0.0,4.0115480381963664e-18,0.0,,,,,,,,
1024,15,fixed,2,1.2212453270876722e-15,,,0.0,0.0,0.0,1.235990476633475e-17,5.684341886080802e-14,,,,,,,,
1024,15,fixed,4,1.0547118733938987e-15,,,0.0,0.0,0.0,6.5052130349130266e-18,0.0,,,,,,,,
1024,15,fixed,8,7.494005416219807e-16,,,0.0,0.0,0.0,3.3610267347050637e-18,5.684341886080802e-14,,,,,,,,
1024,15,random,2,1.4988010832439613e-15,,,0.0,0.0,0.0,2.2985086056692694e-17,1.1368683772161603e-13,,,,,,,,
1024,15,random,4,8.326672684688674e-16,,,0.0,0.0,0.0,5.637851296924623e-18,5.684341886080802e-14,,,,,,,,
1024,15,random,8,6.38378239159465e-16,,,0.0,0.0,0.0,2.3852447794681098e-18,5.684341886080802e-14,,,,,,,,
1024,15,uncertainty,2,1.2490009027033011e-15,,,0.0,0.0,0.0,3.209238430557093e-17,1.1368683772161603e-13,,,,,,,,
1024,15,uncertainty,4,9.71445146547012e-16,,,0.0,0.0,0.0,1.3227266504323154e-17,5.684341886080802e-14,,,,,,,,
1024,15,uncertainty,8,5.828670879282072e-16,,,0.0,0.0,0.0,3.0357660829594124e-18,5.684341886080802e-14,,,,,,,,
1024,16,fixed,2,1.1102230246251565e-15,,,0.0,0.0,0.0,1.3010426069826053e-17,2.842170943040401e-14,,,,,,,,
1024,16,fixed,4,9.43689570931383e-16,,,0.0,0.0,0.0,5.204170427930421e-18,0.0,,,,,,,,
1024,16,fixed,8,6.661338147750939e-16,,,0.0,0.0,0.0,3.2526065174565133e-18,2.842170943040401e-14,,,,,,,,
1024,16,random,2,9.992007221626409e-16,,,0.0,0.0,0.0,1.8648277366750676e-17,5.684341886080802e-14,,,,,,,,
1024,16,random,4,8.881784197001252e-16,,,0.0,0.0,0.0,6.938893903907228e-18,2.842170943040401e-14,,,,,,,,
1024,16,random,8,4.996003610813204e-16,,,0.0,0.0,0.0,3.577867169202165e-18,2.842170943040401e-14,,,,,,,,
1024,16,uncertainty,2,8.881784197001252e-16,,,0.0,0.0,0.0,8.565197162635485e-18,0.0,,,,,,,,
1024,16,uncertainty,4,5.828670879282072e-16,,,0.0,0.0,0.0,4.119968255444917e-18,1.1368683772161603e-13,,,,,,,,
1024,16,uncertainty,8,6.661338147750939e-16,,,0.0,0.0,0.0,4.336808689942018e-18,5.684341886080802e-14,,,,,,,,
1024,17,fixed,2,1.4432899320127035e-15,,,0.0,0.0,0.0,1.496198998029996e-17,5.684341886080802e-14,,,,,,,,
1024,17,fixed,4,9.43689570931383e-16,,,0.0,0.0,0.0,5.095750210681871e-18,2.842170943040401e-14,,,,,,,,
1024,17,fixed,8,8.881784197001252e-16,,,0.0,0.0,0.0,4.0115480381963664e-18,0.0,,,,,,,,
1024,17,random,2,1.942890293094024e-15,,,0.0,0.0,0.0,1.0842021724855044e-17,2.842170943040401e-14,,,,,,,,
1024,17,random,4,1.4432899320127035e-15,,,0.0,0.0,0.0,4.9873299934333204e-18,2.842170943040401e-14,,,,,,,,
1024,17,random,8,1.1657341758564144e-15,,,0.0,0.0,0.0,3.0357660829594124e-18,8.881784197001252e-16,,,,,,,,
1024,17,uncertainty,2,1.2490009027033011e-15,,,0.0,0.0,0.0,1.5612511283791264e-17,2.842170943040401e-14,,,,,,,,
1024,17,uncertainty,4,7.216449660063518e-16,,,0.0,0.0,0.0,8.023096076392733e-18,0.0,,,,,,,,
1024,17,uncertainty,8,1.942890293094024e-15,,,0.0,0.0,0.0,4.336808689942018e-18,2.842170943040401e-14,,,,,,,,
1024,18,fixed,2,8.326672684688674e-16,,,0.0,0.0,0.0,1.1709383462843448e-17,2.842170943040401e-14,,,,,,,,
1024,18,fixed,4,7.771561172376096e-16,,,0.0,0.0,0.0,7.806255641895632e-18,2.842170943040401e-14,,,,,,,,
1024,18,fixed,8,8.881784197001252e-16,,,0.0,0.0,0.0,4.0115480381963664e-18,2.842170943040401e-14,,,,,,,,
1024,18,random,2,1.4432899320127035e-15,,,0.0,0.0,0.0,1.214306433183765e-17,2.842170943040401e-14,,,,,,,,
1024,18,random,4,1.304512053934559e-15,,,0.0,0.0,0.0,7.48099499014998e-18,2.842170943040401e-14,,,,,,,,
1024,18,random,8,9.159339953157541e-16,,,0.0,0.0,0.0,2.6020852139652106e-18,4.440892098500626e-16,,,,,,,,
1024,18,uncertainty,2,1.2212453270876722e-15,,,0.0,0.0,0.0,1.214306433183765e-17,4.440892098500626e-16,,,,,,,,
1024,18,uncertainty,4,1.887379141862766e-15,,,0.0,0.0,0.0,5.637851296924623e-18,2.842170943040401e-14,,,,,,,,
1024,18,uncertainty,8,1.8318679906315083e-15,,,0.0,0.0,0.0,3.0357660829594124e-18,8.881784197001252e-16,,,,,,,,
1024,19,fixed,2,1.7763568394002505e-15,,,0.0,0.0,0.0,1.8214596497756474e-17,2.842170943040401e-14,,,,,,,,
1024,19,fixed,4,2.0539125955565396e-15,,,0.0,0.0,0.0,9.540979117872439e-18,2.842170943040401e-14,,,,,,,,
1024,19,fixed,8,9.43689570931383e-16,,,0.0,0.0,0.0,3.0357660829594124e-18,2.842170943040401e-14,,,,,,,,
1024,19,random,2,2.886579864025407e-15,,,0.0,0.0,0.0,1.0625181290357943e-17,2.842170943040401e-14,,,,,,,,
1024,19,random,4,2.220446049250313e-15,,,0.0,0.0,0.0,5.421010862427522e-18,2.842170943040401e-14,,,,,,,,
1024,19,random,8,9.992007221626409e-16,,,0.0,0.0,0.0,3.144186300207963e-18,2.842170943040401e-14,,,,,,,,
1024,19,uncertainty,2,9.992007221626409e-16,,,0.0,0.0,0.0,1.1275702593849246e-17,0.0,,,,,,,,
1024,19,uncertainty,4,1.9984014443252818e-15,,,0.0,0.0,0.0,7.37257477290143e-18,2.842170943040401e-14,,,,,,,,
1024,19,uncertainty,8,1.3322676295501878e-15,,,0.0,0.0,0.0,2.8189256484623115e-18,2.842170943040401e-14,,,,,,,,
1024,20,fixed,2,1.7763568394002505e-15,,,0.0,0.0,0.0,2.862293735361732e-17,5.684341886080802e-14,,,,,,,,
1024,20,fixed,4,1.4432899320127035e-15,,,0.0,0.0,0.0,8.890457814381136e-18,5.684341886080802e-14,,,,,,,,
1024,20,fixed,8,9.43689570931383e-16,,,0.0,0.0,0.0,4.2825985813177425e-18,5.684341886080802e-14,,,,,,,,
1024,20,random,2,1.0824674490095276e-15,,,0.0,0.0,0.0,1.6046192152785466e-17,5.684341886080802e-14,,,,,,,,
1024,20,random,4,1.8318679906315083e-15,,,0.0,0.0,0.0,5.7462715141731735e-18,1.1368683772161603e-13,,,,,,,,
1024,20,random,8,1.2212453270876722e-15,,,0.0,0.0,0.0,3.144186300207963e-18,1.7763568394002505e-15,,,,,,,,
1024,20,uncertainty,2,2.3869795029440866e-15,,,0.0,0.0,0.0,1.5829351718288365e-17,5.684341886080802e-14,,,,,,,,
1024,20,uncertainty,4,3.9968028886505635e-15,,,0.0,0.0,0.0,1.0625181290357943e-17,0.0,,,,,,,,
1024,20,uncertainty,8,1.887379141862766e-15,,,0.0,0.0,0.0,3.144186300207963e-18,5.684341886080802e-14,,,,,,,,
1024,21,fixed,2,1.6930901125533637e-15,,,0.0,0.0,0.0,2.5587171270657905e-17,5.684341886080802e-14,,,,,,,,
1024,21,fixed,4,1.3322676295501878e-15,,,0.0,0.0,0.0,7.589415207398531e-18,5.684341886080802e-14,,,,,,,,
1024,21,fixed,8,9.43689570931383e-16,,,0.0,0.0,0.0,4.119968255444917e-18,5.684341886080802e-14,,,,,,,,
1024,21,random,2,2.609024107869118e-15,,,0.0,0.0,0.0,1.1275702593849246e-17,5.684341886080802e-14,,,,,,,,
1024,21,random,4,1.1102230246251565e-15,,,0.0,0.0,0.0,7.15573433840433e-18,5.684341886080802e-14,,,,,,,,
1024,21,random,8,7.632783294297951e-16,,,0.0,0.0,0.0,3.577867169202165e-18,5.684341886080802e-14,,,,,,,,
1024,21,uncertainty,2,1.3877787807814457e-15,,,0.0,0.0,0.0,1.3444106938820255e-17,5.684341886080802e-14,,,,,,,,
1024,21,uncertainty,4,1.2212453270876722e-15,,,0.0,0.0,0.0,7.806255641895632e-18,5.684341886080802e-14,,,,,,,,
1024,21,uncertainty,8,2.9976021664879227e-15,,,0.0,0.0,0.0,3.903127820947816e-18,5.684341886080802e-14,,,,,,,,
1024,22,fixed,2,2.942091015256665e-15,,,0.0,0.0,0.0,2.211772431870429e-17,5.684341886080802e-14,,,,,,,,
1024,22,fixed,4,1.1657341758564144e-15,,,0.0,0.0,0.0,8.456776945386935e-18,5.684341886080802e-14,,,,,,,,
1024,22,fixed,8,1.4432899320127035e-15,,,0.0,0.0,0.0,2.8731357570865868e-18,5.684341886080802e-14,,,,,,,,
1024,22,random,2,2.4424906541753444e-15,,,0.0,0.0,0.0,1.929879867024198e-17,5.684341886080802e-14,,,,,,,,
1024,22,random,4,1.1102230246251565e-15,,,0.0,0.0,0.0,7.26415455565288e-18,5.684341886080802e-14,,,,,,,,
1024,22,random,8,1.1102230246251565e-15,,,0.0,0.0,0.0,3.3610267347050637e-18,5.684341886080802e-14,,,,,,,,
1024,22,uncertainty,2,1.6653345369377348e-15,,,0.0,0.0,0.0,1.3444106938820255e-17,5.684341886080802e-14,,,,,,,,
1024,22,uncertainty,4,1.5543122344752192e-15,,,0.0,0.0,0.0,7.806255641895632e-18,0.0,,,,,,,,
