population,origin,policy,active_groups,separator_mean_error,separator_variance_trace,correct_variance_trace,representation_error,cycle_error,factor_error,separator_covariance_error,aggregation_mean_error,added_households,reused_group_factors,updated_separator,seconds,new_summary_bytes,provenance_rows,separator_change,retained_checkpoint_bytes
1024,0,double_count_negative_control,2,0.013128473442673023,0.45795440160701406,0.4615882790343629,,,,,,,,,,,,,
1024,0,fixed,2,1.0824674490095276e-15,,,0.0,0.0,0.0,2.0816681711721685e-17,2.842170943040401e-14,,,,,,,,
1024,0,fixed,4,6.661338147750939e-16,,,0.0,0.0,0.0,4.87890977618477e-18,5.684341886080802e-14,,,,,,,,
1024,0,fixed,8,7.771561172376096e-16,,,0.0,0.0,0.0,3.2526065174565133e-18,2.842170943040401e-14,,,,,,,,
1024,0,random,2,2.6367796834847468e-15,,,0.0,0.0,0.0,2.3201926491189795e-17,5.684341886080802e-14,,,,,,,,
1024,0,random,4,1.9984014443252818e-15,,,0.0,0.0,0.0,1.1492543028346347e-17,5.684341886080802e-14,,,,,,,,
1024,0,random,8,7.771561172376096e-16,,,0.0,0.0,0.0,3.903127820947816e-18,2.842170943040401e-14,,,,,,,,
1024,0,uncertainty,2,2.55351295663786e-15,,,0.0,0.0,0.0,3.7513395167998453e-17,2.842170943040401e-14,,,,,,,,
1024,0,uncertainty,4,1.915134717478395e-15,,,0.0,0.0,0.0,1.1926223897340549e-17,2.842170943040401e-14,,,,,,,,
1024,0,uncertainty,8,6.661338147750939e-16,,,0.0,0.0,0.0,4.553649124439119e-18,2.842170943040401e-14,,,,,,,,
1024,0,added_coverage,0,,,,,,,,,64.0,15.0,True,0.0034186560660600662,2269.0,1512.0,0.010436681077281532,
1024,1,fixed,2,1.0269562977782698e-15,,,0.0,0.0,0.0,1.6263032587282567e-17,2.842170943040401e-14,,,,,,,,
1024,1,fixed,4,7.216449660063518e-16,,,0.0,0.0,0.0,4.553649124439119e-18,2.842170943040401e-14,,,,,,,,
1024,1,fixed,8,9.43689570931383e-16,,,0.0,0.0,0.0,3.0899761915836876e-18,0.0,,,,,,,,
1024,1,random,2,2.3869795029440866e-15,,,0.0,0.0,0.0,1.8648277366750676e-17,2.842170943040401e-14,,,,,,,,
1024,1,random,4,8.604228440844963e-16,,,0.0,0.0,0.0,7.589415207398531e-18,5.684341886080802e-14,,,,,,,,
1024,1,random,8,7.771561172376096e-16,,,0.0,0.0,0.0,2.3852447794681098e-18,1.7763568394002505e-15,,,,,,,,
1024,1,uncertainty,2,1.970645868709653e-15,,,0.0,0.0,0.0,3.469446951953614e-17,2.842170943040401e-14,,,,,,,,
1024,1,uncertainty,4,1.27675647831893e-15,,,0.0,0.0,0.0,9.75781955236954e-18,5.684341886080802e-14,,,,,,,,
1024,1,uncertainty,8,7.771561172376096e-16,,,0.0,0.0,0.0,3.903127820947816e-18,2.842170943040401e-14,,,,,,,,
1024,2,fixed,2,1.9984014443252818e-15,,,0.0,0.0,0.0,1.496198998029996e-17,0.0,,,,,,,,
1024,2,fixed,4,6.661338147750939e-16,,,0.0,0.0,0.0,6.288372600415926e-18,2.842170943040401e-14,,,,,,,,
1024,2,fixed,8,5.551115123125783e-16,,,0.0,0.0,0.0,3.7947076036992655e-18,2.842170943040401e-14,,,,,,,,
1024,2,random,2,6.245004513516506e-16,,,0.0,0.0,0.0,1.6696713456276768e-17,5.684341886080802e-14,,,,,,,,
1024,2,random,4,8.881784197001252e-16,,,0.0,0.0,0.0,1.1709383462843448e-17,2.842170943040401e-14,,,,,,,,
1024,2,random,8,9.43689570931383e-16,,,0.0,0.0,0.0,2.710505431213761e-18,2.842170943040401e-14,,,,,,,,
1024,2,uncertainty,2,1.6653345369377348e-15,,,0.0,0.0,0.0,2.3418766925686896e-17,4.440892098500626e-16,,,,,,,,
1024,2,uncertainty,4,1.9984014443252818e-15,,,0.0,0.0,0.0,1.2576745200831851e-17,2.842170943040401e-14,,,,,,,,
1024,2,uncertainty,8,8.881784197001252e-16,,,0.0,0.0,0.0,4.119968255444917e-18,2.842170943040401e-14,,,,,,,,
1024,3,fixed,2,2.0539125955565396e-15,,,0.0,0.0,0.0,1.7997756063259374e-17,2.842170943040401e-14,,,,,,,,
1024,3,fixed,4,1.5543122344752192e-15,,,0.0,0.0,0.0,7.15573433840433e-18,2.842170943040401e-14,,,,,,,,
1024,3,fixed,8,5.551115123125783e-16,,,0.0,0.0,0.0,2.6020852139652106e-18,2.842170943040401e-14,,,,,,,,
1024,3,random,2,1.4432899320127035e-15,,,0.0,0.0,0.0,8.890457814381136e-18,0.0,,,,,,,,
