policy,active_groups,week,mae
fixed,2,0,42.7127377537217
fixed,2,1,49.17637710038137
fixed,2,2,34.102401084042086
fixed,2,3,44.13837018051717
fixed,4,0,45.40359283531909
fixed,4,1,51.11961038931328
fixed,4,2,31.658423181238277
fixed,4,3,39.08916915076286
fixed,8,0,42.92438667732341
fixed,8,1,47.83068607270384
fixed,8,2,28.78797906534271
fixed,8,3,34.42602886805973
fixed_coarse,0,0,43.33759833449315
fixed_coarse,0,1,49.988683875414495
fixed_coarse,0,2,28.36209989942111
fixed_coarse,0,3,36.8282621031027
random,2,0,39.65635219927019
random,2,1,38.853145224032204
random,2,2,26.889878322333132
random,2,3,35.238215027677086
random,4,0,39.54173749650515
random,4,1,39.210811950025104
random,4,2,30.12293626613163
random,4,3,33.70412161766008
random,8,0,41.0343191218474
random,8,1,42.94409795442871
random,8,2,33.259056235370295
random,8,3,33.15744129067507
uncertainty,2,0,41.931646287665316
uncertainty,2,1,46.2107808944933
uncertainty,2,2,32.00420436553405
uncertainty,2,3,31.279466116741588
uncertainty,4,0,41.60262780733379
uncertainty,4,1,41.93316956571661
uncertainty,4,2,28.95905223161745
uncertainty,4,3,35.862371075742146
uncertainty,8,0,42.80854099334172
uncertainty,8,1,47.36379596703961
uncertainty,8,2,29.100316241584068
uncertainty,8,3,37.05443562426339
uniform_fine_stream,16,0,41.23050715861267
uniform_fine_stream,16,1,45.942264769605785
uniform_fine_stream,16,2,30.916799832147035
uniform_fine_stream,16,3,33.93882766912104
