method,contract,bytes_per_query,score
Exact public-calendar support,cached,3154.7567545572915,1.3914845418525699
Sketch k=512,per query,19526.620035807293,1.4233606837478654
Sketch k=512,cached,4361.703206380208,1.4233606837478654
Sketch k=2048,per query,68686.6200358073,1.3718993029359343
Sketch k=2048,cached,8017.703206380208,1.3718993029359343
