building,common_days,k,queries,fit_seconds,projection_seconds,projection_reuse_allocations,operator_seconds,sketch_query_seconds,protocol_seconds,solver_seconds,complete_cold_seconds,exact_setup_seconds,exact_query_seconds,sketch_bytes_per_query,sketch_fp32_bytes_per_query,exact_support_once_bytes,exact_cached_operator_once_bytes,exact_cross_blocks_once_bytes,cached_sketch_operator_once_bytes,common_header_bytes_per_query,exact_amortized_bytes_per_query,sketch_amortized_bytes_per_query,max_relative_gram_error,max_fp32_relative_gram_error,max_relative_solver_gap
Bear_assembly_Beatrice,0,512,256,0.08327503688633442,0.14675426855683327,3,0.007623676210641861,0.0012478772550821304,0.8304955204948783,0.01204069796949625,1.0814370773732662,0.003332963213324547,0.011797121725976467,19529.8984375,11337.8984375,1087,557675,8288,312087,3145.8984375,3150.14453125,4364.98828125,0.19841411291975528,1.1975012532434103e-06,1.1220062246332304e-16
Bear_assembly_Beatrice,0,2048,256,0.08327503688633442,0.25897497590631247,3,0.017747835256159306,0.004701247438788414,2.775134125724435,0.013730659149587154,3.1535638803616166,0.003332963213324547,0.011797121725976467,68689.8984375,35921.8984375,1087,557675,8288,1245975,3153.8984375,3158.14453125,8020.98828125,0.07946920569148457,2.025621869461208e-06,9.784993574764957e-17
Bear_assembly_Beatrice,21,512,256,0.07815569080412388,0.14675426855683327,3,0.0037622489035129547,0.0015026340261101723,0.8303970815613866,0.011923938058316708,1.0724958619102836,0.003371942788362503,0.011192317120730877,19529.953125,11337.953125,1102,564604,30296,312087,3145.953125,3150.2578125,4365.04296875,0.15382797742598847,1.4367242392830552e-06,6.16499393819152e-17
Bear_assembly_Beatrice,21,2048,256,0.07815569080412388,0.25897497590631247,3,0.01450975053012371,0.004507711157202721,2.7841082476079464,0.01321211364120245,3.1534684896469116,0.003371942788362503,0.011192317120730877,68689.953125,35921.953125,1102,564604,30296,1245975,3153.953125,3158.2578125,8021.04296875,0.08046001829443909,2.5727347093267544e-06,4.4261620590750915e-17
Bear_assembly_Beatrice,38,512,256,0.08022561855614185,0.14675426855683327,3,0.0038691284134984016,0.0010978076606988907,0.8428389951586723,0.01272405032068491,1.0875098686665297,0.0036581801250576973,0.012115067802369595,19534.3515625,11342.3515625,1103,565138,30198,312091,3150.3515625,3154.66015625,4369.45703125,0.17484579946852027,1.2398819161573347e-06,6.507801727269863e-17
Bear_assembly_Beatrice,38,2048,256,0.08022561855614185,0.25897497590631247,3,0.015112324617803097,0.004692268557846546,2.914285427890718,0.014305963180959225,3.287596578709781,0.0036581801250576973,0.012115067802369595,68694.3515625,35926.3515625,1103,565138,30198,1245979,3158.3515625,3162.66015625,8025.45703125,0.06769477103372629,2.2681105198547647e-06,1.423310387659289e-16
Bobcat_assembly_Adam,0,512,256,0.07941951788961887,0.1557047301903367,3,0.0036082398146390915,0.000928330235183239,0.8801993438974023,0.013139075599610806,1.132999237626791,0.0031277965754270554,0.011672722175717354,19525.03125,11333.03125,1090,556155,8278,312085,3141.03125,3145.2890625,4360.11328125,0.1740770610007289,1.2983230577977805e-06,4.508080675562663e-16
Bobcat_assembly_Adam,0,2048,256,0.07941951788961887,0.2803133614361286,3,0.013552600517868996,0.004171624779701233,2.880607096478343,0.014151815325021744,3.2722160164266825,0.0031277965754270554,0.011672722175717354,68685.03125,35917.03125,1090,556155,8278,1245973,3149.03125,3153.2890625,8016.11328125,0.10359552080923314,2.222073699023119e-06,4.722381599644454e-16
Bobcat_assembly_Adam,21,512,256,0.082364565692842,0.1557047301903367,3,0.004124404862523079,0.0011558374390006065,0.8568723909556866,0.013453291729092598,1.1136752208694816,0.0034964801743626595,0.011861919425427914,19525.6015625,11333.6015625,1102,557665,29671,312086,3141.6015625,3145.90625,4360.6875,0.20673775333847186,1.290351723261843e-06,3.652790186478009e-16
Bobcat_assembly_Adam,21,2048,256,0.082364565692842,0.2803133614361286,3,0.014003315940499306,0.0032539451494812965,2.982513438910246,0.014535440132021904,3.376984067261219,0.0034964801743626595,0.011861919425427914,68685.6015625,35917.6015625,1102,557665,29671,1245974,3149.6015625,3153.90625,8016.6875,0.10256063992346437,1.8852074495409622e-06,5.292724344805245e-16
Bobcat_assembly_Adam,38,512,256,0.08277506195008755,0.1557047301903367,3,0.0043325116857886314,0.0011774180456995964,0.8986454205587506,0.012093487195670605,1.1547286296263337,0.0037150895223021507,0.011792079545557499,19525.69921875,11333.69921875,1095,565768,30213,312089,3141.69921875,3145.9765625,4360.796875,0.17016038986474227,9.673440206419771e-07,5.3030267860558414e-17
Bobcat_assembly_Adam,38,2048,256,0.08277506195008755,0.2803133614361286,3,0.014685198664665222,0.0049301860854029655,2.846286994405091,0.013624750077724457,3.2426155526190996,0.0037150895223021507,0.011792079545557499,68685.69921875,35917.69921875,1095,565768,30213,1245977,3149.69921875,3153.9765625,8016.796875,0.09654966635684128,2.5568508861690326e-06,5.386902830349532e-17
Bull_assembly_Amalia,0,512,256,0.08259373344480991,0.14925941079854965,3,0.004098865203559399,0.001531863585114479,0.84546631667763,0.013016627170145512,1.095966816879809,0.0030564069747924805,0.01183358021080494,19517.90234375,11325.90234375,1093,555491,8281,312084,3133.90234375,3138.171875,4352.98046875,0.15805850084770154,9.740428777390772e-07,6.232688205001762e-16
Bull_assembly_Amalia,0,2048,256,0.08259373344480991,0.28228985983878374,3,0.0155367786064744,0.004326161928474903,2.9259585700929165,0.014690528623759747,3.325395632535219,0.0030564069747924805,0.01183358021080494,68677.90234375,35909.90234375,1093,555491,8281,1245972,3141.90234375,3146.171875,8008.98046875,0.08938861064883952,2.4220859100313512e-06,3.065264022773428e-16
Bull_assembly_Amalia,21,512,256,0.07894281297922134,0.14925941079854965,3,0.0039612362161278725,0.0012326370924711227,0.8434421680867672,0.013006286695599556,1.0898445518687367,0.0033749332651495934,0.012141896411776543,19525.6875,11333.6875,1096,556281,29708,312086,3141.6875,3145.96875,4360.7734375,0.20105475650395244,1.228386551190521e-06,6.715370987676457e-16
