episode,ever_affected_households,uniform_one_set_miss_probability,caveat
b00_regional_1.0,4170,0.0,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_regional_3.0,4170,0.0,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_localized_1.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_localized_3.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_cancel_exact_1.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_cancel_exact_3.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_cancel_approx_1.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_cancel_approx_3.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_delayed_1.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_delayed_3.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_ramp_1.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_ramp_3.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_none_0.0,0,1.0,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b00_sensor_fault_3.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_regional_1.0,4162,0.0,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_regional_3.0,4162,0.0,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_localized_1.0,30,0.7439750010969834,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_localized_3.0,30,0.7439750010969834,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_cancel_exact_1.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_cancel_exact_3.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_cancel_approx_1.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_cancel_approx_3.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_delayed_1.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_delayed_3.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_ramp_1.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_ramp_3.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_none_0.0,0,1.0,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b01_sensor_fault_3.0,31,0.7366495988287374,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_regional_1.0,4153,1.2073973922528682e-99,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_regional_3.0,4153,1.2073973922528682e-99,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_localized_1.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_localized_3.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_cancel_exact_1.0,62,0.5414083355138737,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_cancel_exact_3.0,62,0.5414083355138737,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_cancel_approx_1.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_cancel_approx_3.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_delayed_1.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_delayed_3.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_ramp_1.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_ramp_3.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_none_0.0,0,1.0,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b02_sensor_fault_3.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_regional_1.0,4142,7.2931304683766e-89,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_regional_3.0,4142,7.2931304683766e-89,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_localized_1.0,31,0.7366495988287374,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_localized_3.0,31,0.7366495988287374,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_cancel_exact_1.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_cancel_exact_3.0,60,0.5523106857633769,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_cancel_approx_1.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_cancel_approx_3.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_delayed_1.0,56,0.5747617264374902,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_delayed_3.0,56,0.5747617264374902,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_ramp_1.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_ramp_3.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_none_0.0,0,1.0,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b03_sensor_fault_3.0,32,0.729394582361772,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b04_regional_1.0,4129,4.7978414537678406e-82,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b04_regional_3.0,4129,4.7978414537678406e-82,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b04_localized_1.0,31,0.7366495988287374,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b04_localized_3.0,31,0.7366495988287374,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b04_cancel_exact_1.0,62,0.5414083355138737,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b04_cancel_exact_3.0,62,0.5414083355138737,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b04_cancel_approx_1.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
b04_cancel_approx_3.0,64,0.5307160447780657,Event-wide K reference only; native/current availability varies. No independent-step multiplication.
