episode,best_group_changed_steps,best_group_changed_during_event,changed_toward_affected_steps
b00_cancel_approx_1.0,0,0,0
b00_cancel_approx_3.0,0,0,0
b00_cancel_exact_1.0,0,0,0
b00_cancel_exact_3.0,0,0,0
b00_delayed_1.0,0,0,0
b00_delayed_3.0,0,0,0
b00_localized_1.0,0,0,0
b00_localized_3.0,5,4,4
b00_ramp_1.0,0,0,0
b00_ramp_3.0,0,0,0
b00_regional_1.0,0,0,0
b00_regional_3.0,3,3,3
b01_cancel_approx_1.0,0,0,0
b01_cancel_approx_3.0,5,5,5
b01_cancel_exact_1.0,0,0,0
b01_cancel_exact_3.0,0,0,0
b01_delayed_1.0,0,0,0
b01_delayed_3.0,0,0,0
b01_localized_1.0,0,0,0
b01_localized_3.0,0,0,0
b01_ramp_1.0,0,0,0
b01_ramp_3.0,4,4,4
b01_regional_1.0,0,0,0
b01_regional_3.0,0,0,0
b02_cancel_approx_1.0,0,0,0
b02_cancel_approx_3.0,0,0,0
b02_cancel_exact_1.0,0,0,0
b02_cancel_exact_3.0,0,0,0
b02_delayed_1.0,0,0,0
b02_delayed_3.0,1,1,1
b02_localized_1.0,0,0,0
b02_localized_3.0,1,1,0
b02_ramp_1.0,0,0,0
b02_ramp_3.0,0,0,0
b02_regional_1.0,0,0,0
b02_regional_3.0,6,6,6
b03_cancel_approx_1.0,0,0,0
b03_cancel_approx_3.0,0,0,0
b03_cancel_exact_1.0,2,2,2
b03_cancel_exact_3.0,4,4,4
b03_delayed_1.0,0,0,0
b03_delayed_3.0,0,0,0
b03_localized_1.0,0,0,0
b03_localized_3.0,0,0,0
b03_ramp_1.0,0,0,0
b03_ramp_3.0,6,6,0
b03_regional_1.0,0,0,0
b03_regional_3.0,2,0,0
b04_cancel_approx_1.0,0,0,0
b04_cancel_approx_3.0,2,2,2
b04_cancel_exact_1.0,0,0,0
b04_cancel_exact_3.0,0,0,0
b04_delayed_1.0,0,0,0
b04_delayed_3.0,0,0,0
b04_localized_1.0,0,0,0
b04_localized_3.0,0,0,0
b04_ramp_1.0,0,0,0
b04_ramp_3.0,0,0,0
b04_regional_1.0,0,0,0
b04_regional_3.0,0,0,0
b05_cancel_approx_1.0,0,0,0
b05_cancel_approx_3.0,0,0,0
b05_cancel_exact_1.0,0,0,0
b05_cancel_exact_3.0,0,0,0
b05_delayed_1.0,0,0,0
b05_delayed_3.0,0,0,0
b05_localized_1.0,0,0,0
b05_localized_3.0,0,0,0
b05_ramp_1.0,0,0,0
b05_ramp_3.0,3,0,0
b05_regional_1.0,0,0,0
b05_regional_3.0,2,1,1
b06_cancel_approx_1.0,0,0,0
b06_cancel_approx_3.0,0,0,0
b06_cancel_exact_1.0,4,4,4
b06_cancel_exact_3.0,4,4,4
b06_delayed_1.0,0,0,0
b06_delayed_3.0,0,0,0
b06_localized_1.0,3,0,0
b06_localized_3.0,8,3,3
b06_ramp_1.0,0,0,0
b06_ramp_3.0,0,0,0
b06_regional_1.0,0,0,0
b06_regional_3.0,4,4,4
b07_cancel_approx_1.0,0,0,0
b07_cancel_approx_3.0,0,0,0
b07_cancel_exact_1.0,0,0,0
b07_cancel_exact_3.0,0,0,0
b07_delayed_1.0,0,0,0
b07_delayed_3.0,2,2,0
b07_localized_1.0,0,0,0
b07_localized_3.0,0,0,0
b07_ramp_1.0,0,0,0
b07_ramp_3.0,0,0,0
b07_regional_1.0,2,0,0
b07_regional_3.0,2,0,0
