cohort,background,method,demand_episodes,detected,localized,misses,miss_inclusive_delay_hours,control_alarms,control_updates,detected_minus_random,localized_minus_random,misses_minus_random,miss_inclusive_delay_hours_minus_random,control_alarms_minus_random
B,5,M2,12,1,1,11,3.2083333333333335,3,48,0,0,0,0.0,0
B,5,M3,12,1,1,11,3.2083333333333335,2,48,0,0,0,0.0,-1
B,5,M3_fixed,12,1,1,11,3.2083333333333335,2,48,0,0,0,0.0,-1
B,5,M4,12,1,1,11,3.2083333333333335,3,48,0,0,0,0.0,0
B,6,M0,12,8,7,4,1.8333333333333333,6,48,0,5,0,-0.5416666666666667,1
B,6,M1,12,8,2,4,2.375,4,48,0,0,0,0.0,-1
B,6,M2,12,8,2,4,2.375,5,48,0,0,0,0.0,0
B,6,M3,12,8,3,4,2.0416666666666665,5,48,0,1,0,-0.3333333333333335,0
B,6,M3_fixed,12,8,3,4,2.0416666666666665,5,48,0,1,0,-0.3333333333333335,0
B,6,M4,12,12,3,0,0.875,14,48,4,1,-4,-1.5,9
B,7,M0,12,1,1,11,3.2083333333333335,4,48,0,0,0,0.0,1
B,7,M1,12,1,1,11,3.2083333333333335,2,48,0,0,0,0.0,-1
B,7,M2,12,1,1,11,3.2083333333333335,3,48,0,0,0,0.0,0
B,7,M3,12,1,1,11,3.2083333333333335,8,48,0,0,0,0.0,5
B,7,M3_fixed,12,1,1,11,3.2083333333333335,8,48,0,0,0,0.0,5
B,7,M4,12,1,1,11,3.2083333333333335,2,48,0,0,0,0.0,-1
C,0,M0,3,3,1,0,1.5,6,48,0,1,0,-0.8333333333333335,3
C,0,M2,3,3,0,0,2.3333333333333335,3,48,0,0,0,0.0,0
C,0,M3,3,0,0,3,3.5,3,48,-3,0,3,1.1666666666666665,0
C,0,M3b,3,0,0,3,3.5,3,48,-3,0,3,1.1666666666666665,0
C,0,M3b_fixed,3,0,0,3,3.5,3,48,-3,0,3,1.1666666666666665,0
C,0,M4,3,3,1,0,0.3333333333333333,11,48,0,1,0,-2.0,8
C,2,M0,3,1,1,2,2.5,3,48,1,1,-1,-1.0,1
C,2,M2,3,0,0,3,3.5,2,48,0,0,0,0.0,0
C,2,M3,3,0,0,3,3.5,2,48,0,0,0,0.0,0
C,2,M3b,3,0,0,3,3.5,2,48,0,0,0,0.0,0
C,2,M3b_fixed,3,0,0,3,3.5,2,48,0,0,0,0.0,0
C,2,M4,3,0,0,3,3.5,2,48,0,0,0,0.0,0
C,4,M0,3,3,2,0,0.6666666666666666,4,48,1,1,-1,-1.0,0
C,4,M2,3,2,1,1,1.6666666666666667,4,48,0,0,0,0.0,0
C,4,M3,3,3,1,0,1.0,5,48,1,0,-1,-0.6666666666666667,1
C,4,M3b,3,1,1,2,2.6666666666666665,4,48,-1,0,1,0.9999999999999998,0
C,4,M3b_fixed,3,1,1,2,2.6666666666666665,4,48,-1,0,1,0.9999999999999998,0
C,4,M4,3,3,1,0,1.0,4,48,1,0,-1,-0.6666666666666667,0
C,6,M0,3,3,1,0,0.8333333333333334,6,48,0,0,0,-0.33333333333333337,1
C,6,M2,3,3,1,0,1.1666666666666667,5,48,0,0,0,0.0,0
C,6,M3,3,3,1,0,1.1666666666666667,5,48,0,0,0,0.0,0
C,6,M3b,3,3,1,0,1.1666666666666667,5,48,0,0,0,0.0,0
C,6,M3b_fixed,3,3,1,0,1.1666666666666667,5,48,0,0,0,0.0,0
C,6,M4,3,3,1,0,0.5,14,48,0,0,0,-0.6666666666666667,9
