episode,background,family,step,lag,in_detection_window,in_event,ordered_change,set_change,extra_ids,extra_event_affected_ids,fine_max_z,effective_fine_alarm_threshold,fine_alarm_possible,correct_group_alarms
fresh_b00_localized_3.0,0,localized,0,-8,False,False,False,False,0,0,11.584100528450453,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,1,-7,False,False,False,False,0,0,10.539963090038423,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,2,-6,False,False,False,False,0,0,6.689242147950164,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,3,-5,False,False,False,False,0,0,10.093477575958175,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,4,-4,False,False,False,False,0,0,5.250378904515694,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,5,-3,False,False,False,False,0,0,7.470343002750996,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,6,-2,False,False,False,False,0,0,6.422559698678191,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,7,-1,False,False,False,False,0,0,5.763733610245006,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,8,0,True,True,False,False,0,0,5.675942986948446,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,9,1,True,True,False,False,0,0,6.799091658703191,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,10,2,True,True,False,False,0,0,6.155229248831865,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,11,3,True,True,False,False,0,0,7.8116112167280125,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,12,4,True,True,False,False,0,0,6.754752350475358,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,13,5,True,True,False,False,0,0,6.3313450915122536,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,14,6,True,True,False,False,0,0,10.699921362848798,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,15,7,False,True,False,False,0,0,7.679806591368272,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,16,8,False,True,False,False,0,0,10.252157777218214,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,17,9,False,True,False,False,0,0,6.119432831317178,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,18,10,False,True,False,False,0,0,7.027510365290585,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,19,11,False,True,False,False,0,0,6.257832229351723,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,20,12,False,True,False,False,0,0,6.576954766302521,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,21,13,False,True,False,False,0,0,7.5113160825894365,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,22,14,False,True,False,False,0,0,12.409032531048553,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,23,15,False,True,False,False,0,0,4.101979690798417,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,24,16,False,True,False,False,0,0,11.910942591446885,20.586358374667945,False,1
fresh_b00_localized_3.0,0,localized,25,17,False,True,False,False,0,0,11.273750469935807,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,26,18,False,True,False,False,0,0,10.316961208789651,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,27,19,False,True,False,False,0,0,5.42895584548668,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,28,20,False,False,False,False,0,0,3.6584537860296114,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,29,21,False,False,False,False,0,0,3.741648037283091,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,30,22,False,False,False,False,0,0,3.985344460218552,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,31,23,False,False,False,False,0,0,3.899841791344096,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,32,24,False,False,False,False,0,0,4.116780781557768,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,33,25,False,False,False,False,0,0,3.5438196428028856,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,34,26,False,False,False,False,0,0,1.9707848392667613,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,35,27,False,False,False,False,0,0,3.17937113343536,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,36,28,False,False,False,False,0,0,5.979813612440874,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,37,29,False,False,False,False,0,0,5.493300980330467,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,38,30,False,False,False,False,0,0,25.607714985921252,20.586358374667945,True,0
fresh_b00_localized_3.0,0,localized,39,31,False,False,False,False,0,0,5.405179050365766,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,40,32,False,False,False,False,0,0,7.14794318832864,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,41,33,False,False,False,False,0,0,8.179724518634384,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,42,34,False,False,False,False,0,0,4.388774155019755,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,43,35,False,False,False,False,0,0,7.657263912032305,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,44,36,False,False,False,False,0,0,8.50324445746582,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,45,37,False,False,False,False,0,0,7.775667982356683,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,46,38,False,False,False,False,0,0,5.482344430668088,20.586358374667945,False,0
fresh_b00_localized_3.0,0,localized,47,39,False,False,False,False,0,0,4.287577987392579,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,0,-10,False,False,False,False,0,0,11.584100528450453,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,1,-9,False,False,False,False,0,0,10.539963090038423,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,2,-8,False,False,False,False,0,0,6.689242147950164,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,3,-7,False,False,False,False,0,0,10.093477575958175,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,4,-6,False,False,False,False,0,0,5.250378904515694,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,5,-5,False,False,False,False,0,0,7.470343002750996,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,6,-4,False,False,False,False,0,0,6.422559698678191,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,7,-3,False,False,False,False,0,0,5.763733610245006,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,8,-2,False,False,False,False,0,0,5.675942986948446,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,9,-1,False,False,False,False,0,0,6.784216070410567,20.586358374667945,False,0
fresh_b00_cancel_exact_3.0,0,cancel_exact,10,0,True,True,False,False,0,0,6.101273116693865,20.586358374667945,False,0
