episode,max_group_signature,first_nonzero_group_signature,nonnegative_min_reading,nonnegative_min_target,median_realized_peak_in_training_sd
b00_regional_1.0,6.421924159915875,8.0,0.0,0.0,0.15
b00_regional_3.0,19.26577247974762,8.0,0.0,0.0,0.44999999999999996
b00_localized_1.0,5.119971618231151,10.0,0.0,0.0,1.0
b00_localized_3.0,15.359914854693452,10.0,0.0,0.0,3.0
b00_cancel_exact_1.0,2.255140518769849e-16,,0.0,0.0,0.8801001667031758
b00_cancel_exact_3.0,1.1102230246251565e-16,,0.0,0.0,2.2683497008145226
b00_cancel_approx_1.0,0.6037567020920984,7.0,0.0,0.0,0.8
b00_cancel_approx_3.0,1.339057865076706,7.0,0.0,0.0,1.8085232744349404
b00_delayed_1.0,1.804154257276392,11.0,0.0,0.0,0.7363440423630204
b00_delayed_3.0,3.13372917306364,11.0,0.0,0.0,0.9408504083072757
b00_ramp_1.0,5.052302665523902,12.0,0.0,0.0,1.0
b00_ramp_3.0,15.156907996571704,12.0,0.0,0.0,3.0
b00_none_0.0,0.0,,0.0,0.0,0.0
b00_sensor_fault_3.0,16.048053719479295,8.0,0.0,0.0,3.0
b01_regional_1.0,6.421924159915875,11.0,0.0,0.0,0.15
b01_regional_3.0,19.26577247974762,11.0,0.0,0.0,0.44999999999999996
b01_localized_1.0,3.5189954500121354,9.0,0.0,0.0,1.0
b01_localized_3.0,6.936114460317671,9.0,0.0,0.0,1.6141645556068682
b01_cancel_exact_1.0,1.3877787807814457e-16,,0.0,0.0,0.9607472413839946
b01_cancel_exact_3.0,1.1102230246251565e-16,,0.0,0.0,1.8635210050188349
b01_cancel_approx_1.0,0.5758899764417643,9.0,0.0,0.0,0.7938507038045962
b01_cancel_approx_3.0,1.1667545277178233,9.0,0.0,0.0,1.6962848025814308
b01_delayed_1.0,1.2243152305116587,12.0,0.0,0.0,0.34747494781800087
b01_delayed_3.0,1.575400394761021,12.0,0.0,0.0,0.3667621952225376
b01_ramp_1.0,4.77767976991005,9.0,0.0,0.0,1.0
b01_ramp_3.0,14.333039309730154,9.0,0.0,0.0,3.0
b01_none_0.0,0.0,,0.0,0.0,0.0
b01_sensor_fault_3.0,12.414349025250837,9.0,0.0,0.0,3.0
b02_regional_1.0,6.401982260966458,8.0,0.0,0.0,0.15
b02_regional_3.0,19.20594678289937,8.0,0.0,0.0,0.44999999999999996
b02_localized_1.0,5.492888081369863,7.0,0.0,0.0,1.0
b02_localized_3.0,16.478664244109588,7.0,0.0,0.0,3.0
b02_cancel_exact_1.0,1.1102230246251565e-16,,0.0,0.0,0.9916643671190042
b02_cancel_exact_3.0,2.220446049250313e-16,,0.0,0.0,2.317596236077721
b02_cancel_approx_1.0,0.5695044477989012,11.0,0.0,0.0,0.7475432685681503
b02_cancel_approx_3.0,1.1551965145412497,11.0,0.0,0.0,1.6637899847198547
b02_delayed_1.0,1.8749204325688422,12.0,0.0,0.0,0.5896446948257874
b02_delayed_3.0,3.682282323666075,12.0,0.0,0.0,1.005514752030144
b02_ramp_1.0,4.291854838479432,9.0,0.0,0.0,1.0
b02_ramp_3.0,12.8755645154383,9.0,0.0,0.0,3.0
b02_none_0.0,0.0,,0.0,0.0,0.0
b02_sensor_fault_3.0,13.479953974159189,8.0,0.0,0.0,3.0
b03_regional_1.0,6.401982260966458,10.0,0.0,0.0,0.15
b03_regional_3.0,19.20594678289937,10.0,0.0,0.0,0.44999999999999996
b03_localized_1.0,3.4460888919662307,10.0,0.0,0.0,1.0
b03_localized_3.0,5.047890365045056,10.0,0.0,0.0,1.145524071524149
b03_cancel_exact_1.0,8.326672684688674e-17,,0.0,0.0,0.8919377826341945
b03_cancel_exact_3.0,5.551115123125783e-17,,0.0,0.0,1.994277404413797
b03_cancel_approx_1.0,0.5308578490008717,7.0,0.0,0.0,0.8
b03_cancel_approx_3.0,0.9606614982795944,7.0,0.0,0.0,1.8914613468086947
b03_delayed_1.0,1.3166466851834877,12.0,0.0,0.0,0.3953181285642587
b03_delayed_3.0,1.8391453846230883,12.0,0.0,0.0,0.40213056436696604
b03_ramp_1.0,6.096654002811276,9.0,0.0,0.0,1.0
b03_ramp_3.0,18.28996200843383,9.0,0.0,0.0,3.0
b03_none_0.0,0.0,,0.0,0.0,0.0
b03_sensor_fault_3.0,14.058793357331584,8.0,0.0,0.0,3.0
b04_regional_1.0,6.37912787319727,7.0,0.0,0.0,0.15
b04_regional_3.0,19.137383619591805,7.0,0.0,0.0,0.44999999999999996
b04_localized_1.0,5.788668903365665,10.0,0.0,0.0,1.0
b04_localized_3.0,17.366006710096997,10.0,0.0,0.0,3.0
b04_cancel_exact_1.0,2.498001805406602e-16,,0.0,0.0,0.9761746065183622
b04_cancel_exact_3.0,3.885780586188048e-16,,0.0,0.0,2.1897907129704506
b04_cancel_approx_1.0,0.573877404795965,10.0,0.0,0.0,0.7887245548277957
b04_cancel_approx_3.0,1.3967250711796173,10.0,0.0,0.0,1.8326258136374993
b04_delayed_1.0,1.6371928278581918,12.0,0.0,0.0,0.5925692382239303
b04_delayed_3.0,2.7423166140165183,12.0,0.0,0.0,0.760993681882174
b04_ramp_1.0,5.242018145555238,12.0,0.0,0.0,1.0
b04_ramp_3.0,15.726054436665718,12.0,0.0,0.0,3.0
b04_none_0.0,0.0,,0.0,0.0,0.0
b04_sensor_fault_3.0,13.967962464364955,7.0,0.0,0.0,3.0
b05_regional_1.0,6.345466944010852,10.0,0.0,0.0,0.15
b05_regional_3.0,19.036400832032555,10.0,0.0,0.0,0.44999999999999996
b05_localized_1.0,2.8372334768455207,9.0,0.0,0.0,1.0
b05_localized_3.0,4.716235389680646,9.0,0.0,0.0,2.1149733318412194
b05_cancel_exact_1.0,1.1102230246251565e-16,,0.0,0.0,0.97810906351429
b05_cancel_exact_3.0,1.6653345369377348e-16,,0.0,0.0,1.9438379509115493
b05_cancel_approx_1.0,0.5076702922905001,8.0,0.0,0.0,0.8
b05_cancel_approx_3.0,0.9658102330860288,8.0,0.0,0.0,1.8517633571803436
b05_delayed_1.0,1.360414247473071,8.0,0.0,0.0,0.4248389659019316
b05_delayed_3.0,1.6089070874032743,8.0,0.0,0.0,0.4388858577104886
b05_ramp_1.0,5.574893846954899,12.0,0.0,0.0,1.0
b05_ramp_3.0,16.724681540864694,12.0,0.0,0.0,3.0
b05_none_0.0,0.0,,0.0,0.0,0.0
b05_sensor_fault_3.0,15.523125833281354,8.0,0.0,0.0,3.0
b06_regional_1.0,6.309797030287469,11.0,0.0,0.0,0.15
b06_regional_3.0,18.92939109086241,11.0,0.0,0.0,0.44999999999999996
b06_localized_1.0,5.065949470350677,9.0,0.0,0.0,1.0
b06_localized_3.0,15.197848411052028,9.0,0.0,0.0,3.0
b06_cancel_exact_1.0,2.636779683484747e-16,,0.0,0.0,0.9247514084456774
b06_cancel_exact_3.0,7.216449660063518e-16,,0.0,0.0,2.1188447683557143
b06_cancel_approx_1.0,0.5893049793361387,7.0,0.0,0.0,0.8
b06_cancel_approx_3.0,1.364801720453504,7.0,0.0,0.0,2.184734938474295
b06_delayed_1.0,1.7696889707788424,10.0,0.0,0.0,0.6864290892947778
b06_delayed_3.0,3.319719111325805,10.0,0.0,0.0,0.9294202294479681
b06_ramp_1.0,4.7209215228962185,12.0,0.0,0.0,1.0
b06_ramp_3.0,14.162764568688647,12.0,0.0,0.0,3.0
b06_none_0.0,0.0,,0.0,0.0,0.0
b06_sensor_fault_3.0,14.853933221406356,9.0,0.0,0.0,3.0
b07_regional_1.0,6.309797030287469,7.0,0.0,0.0,0.15
b07_regional_3.0,18.92939109086241,7.0,0.0,0.0,0.44999999999999996
b07_localized_1.0,3.924209309429512,10.0,0.0,0.0,1.0
b07_localized_3.0,6.458058363768938,10.0,0.0,0.0,2.133373623244105
b07_cancel_exact_1.0,1.249000902703301e-16,,0.0,0.0,0.9751430949739222
b07_cancel_exact_3.0,2.220446049250313e-16,,0.0,0.0,1.755662035275102
b07_cancel_approx_1.0,0.48758891710007873,8.0,0.0,0.0,0.7284740541133786
b07_cancel_approx_3.0,0.8750791586311704,8.0,0.0,0.0,1.7833875740896246
b07_delayed_1.0,1.3454398638663312,8.0,0.0,0.0,0.36768379490479264
b07_delayed_3.0,2.405069131012453,8.0,0.0,0.0,0.46007308645034817
b07_ramp_1.0,4.498289857415397,8.0,0.0,0.0,1.0
b07_ramp_3.0,13.494869572246191,8.0,0.0,0.0,3.0
b07_none_0.0,0.0,,0.0,0.0,0.0
b07_sensor_fault_3.0,16.824330728577618,10.0,0.0,0.0,3.0
