k,horizon,measured_dynamic_header_bytes,measured_exact_setup_bytes,estimated_sketch_setup_bytes,estimated_exact_bytes_per_query,estimated_cached_sketch_bytes_per_query,measured_uncached_sketch_bytes_per_query,caveat
512,1,3142.6200358072915,1059.0,312085.2916666667,4201.620035807291,315227.911702474,19526.620035807293,Common dynamic header charged to both; one model refresh; cached sketch setup not an implemented wire codec; horizon 8760 is arithmetic only
512,256,3142.6200358072915,1059.0,312085.2916666667,3146.7567545572915,4361.703206380208,19526.620035807293,Common dynamic header charged to both; one model refresh; cached sketch setup not an implemented wire codec; horizon 8760 is arithmetic only
512,8760,3142.6200358072915,1059.0,312085.2916666667,3142.7409262182505,3178.2462106550847,19526.620035807293,Common dynamic header charged to both; one model refresh; cached sketch setup not an implemented wire codec; horizon 8760 is arithmetic only
2048,1,3150.6200358072915,1059.0,1245973.2916666667,4209.620035807291,1249123.911702474,68686.6200358073,Common dynamic header charged to both; one model refresh; cached sketch setup not an implemented wire codec; horizon 8760 is arithmetic only
2048,256,3150.6200358072915,1059.0,1245973.2916666667,3154.7567545572915,8017.703206380209,68686.6200358073,Common dynamic header charged to both; one model refresh; cached sketch setup not an implemented wire codec; horizon 8760 is arithmetic only
2048,8760,3150.6200358072915,1059.0,1245973.2916666667,3150.7409262182505,3292.8544298331667,68686.6200358073,Common dynamic header charged to both; one model refresh; cached sketch setup not an implemented wire codec; horizon 8760 is arithmetic only
