episode,background,family,same_acquisition_ID_trace_as_unmodified,active_steps,affected_group_selected_during_local_event
b00_regional_1.0,0,regional,True,7,
b00_regional_3.0,0,regional,True,7,
b00_localized_1.0,0,localized,True,7,0.0
b00_localized_3.0,0,localized,True,7,0.0
b00_cancel_exact_1.0,0,cancel_exact,True,7,0.0
b00_cancel_exact_3.0,0,cancel_exact,True,7,0.0
b00_cancel_approx_1.0,0,cancel_approx,True,7,0.0
b00_cancel_approx_3.0,0,cancel_approx,True,7,0.0
b00_delayed_1.0,0,delayed,True,7,0.0
b00_delayed_3.0,0,delayed,True,7,0.0
b00_ramp_1.0,0,ramp,True,7,0.0
b00_ramp_3.0,0,ramp,True,7,0.0
b00_none_0.0,0,none,True,7,
b00_sensor_fault_3.0,0,sensor_fault,True,7,
b01_regional_1.0,1,regional,True,0,
b01_regional_3.0,1,regional,True,0,
b01_localized_1.0,1,localized,True,0,0.0
b01_localized_3.0,1,localized,True,0,0.0
b01_cancel_exact_1.0,1,cancel_exact,True,0,0.0
b01_cancel_exact_3.0,1,cancel_exact,True,0,0.0
b01_cancel_approx_1.0,1,cancel_approx,True,0,0.0
b01_cancel_approx_3.0,1,cancel_approx,True,0,0.0
b01_delayed_1.0,1,delayed,True,0,0.0
b01_delayed_3.0,1,delayed,True,0,0.0
b01_ramp_1.0,1,ramp,True,0,0.0
b01_ramp_3.0,1,ramp,True,0,0.0
b01_none_0.0,1,none,True,0,
b01_sensor_fault_3.0,1,sensor_fault,True,0,
b02_regional_1.0,2,regional,True,0,
b02_regional_3.0,2,regional,True,0,
b02_localized_1.0,2,localized,True,0,0.0
b02_localized_3.0,2,localized,True,0,0.0
b02_cancel_exact_1.0,2,cancel_exact,True,0,0.0
b02_cancel_exact_3.0,2,cancel_exact,True,0,0.0
b02_cancel_approx_1.0,2,cancel_approx,True,0,0.0
b02_cancel_approx_3.0,2,cancel_approx,True,0,0.0
b02_delayed_1.0,2,delayed,True,0,0.0
b02_delayed_3.0,2,delayed,True,0,0.0
b02_ramp_1.0,2,ramp,True,0,0.0
b02_ramp_3.0,2,ramp,True,0,0.0
b02_none_0.0,2,none,True,0,
b02_sensor_fault_3.0,2,sensor_fault,True,0,
b03_regional_1.0,3,regional,True,0,
b03_regional_3.0,3,regional,True,0,
b03_localized_1.0,3,localized,True,0,0.0
b03_localized_3.0,3,localized,True,0,0.0
b03_cancel_exact_1.0,3,cancel_exact,True,0,0.0
b03_cancel_exact_3.0,3,cancel_exact,True,0,0.0
b03_cancel_approx_1.0,3,cancel_approx,True,0,0.0
b03_cancel_approx_3.0,3,cancel_approx,True,0,0.0
b03_delayed_1.0,3,delayed,True,0,0.0
b03_delayed_3.0,3,delayed,True,0,0.0
b03_ramp_1.0,3,ramp,True,0,0.0
b03_ramp_3.0,3,ramp,True,0,0.0
b03_none_0.0,3,none,True,0,
b03_sensor_fault_3.0,3,sensor_fault,True,0,
b04_regional_1.0,4,regional,True,0,
b04_regional_3.0,4,regional,True,0,
b04_localized_1.0,4,localized,True,0,0.0
b04_localized_3.0,4,localized,True,0,0.0
b04_cancel_exact_1.0,4,cancel_exact,True,0,0.0
b04_cancel_exact_3.0,4,cancel_exact,True,0,0.0
b04_cancel_approx_1.0,4,cancel_approx,True,0,0.0
b04_cancel_approx_3.0,4,cancel_approx,True,0,0.0
b04_delayed_1.0,4,delayed,True,0,0.0
b04_delayed_3.0,4,delayed,True,0,0.0
b04_ramp_1.0,4,ramp,True,0,0.0
b04_ramp_3.0,4,ramp,True,0,0.0
b04_none_0.0,4,none,True,0,
b04_sensor_fault_3.0,4,sensor_fault,True,0,
b05_regional_1.0,5,regional,True,0,
b05_regional_3.0,5,regional,True,0,
b05_localized_1.0,5,localized,True,0,0.0
b05_localized_3.0,5,localized,True,0,0.0
b05_cancel_exact_1.0,5,cancel_exact,True,0,0.0
b05_cancel_exact_3.0,5,cancel_exact,True,0,0.0
b05_cancel_approx_1.0,5,cancel_approx,True,0,0.0
b05_cancel_approx_3.0,5,cancel_approx,True,0,0.0
b05_delayed_1.0,5,delayed,True,0,0.0
b05_delayed_3.0,5,delayed,True,0,0.0
b05_ramp_1.0,5,ramp,True,0,0.0
b05_ramp_3.0,5,ramp,True,0,0.0
b05_none_0.0,5,none,True,0,
b05_sensor_fault_3.0,5,sensor_fault,True,0,
b06_regional_1.0,6,regional,True,5,
b06_regional_3.0,6,regional,True,5,
b06_localized_1.0,6,localized,True,5,0.0
b06_localized_3.0,6,localized,True,5,0.0
b06_cancel_exact_1.0,6,cancel_exact,True,5,0.0
b06_cancel_exact_3.0,6,cancel_exact,True,5,0.0
b06_cancel_approx_1.0,6,cancel_approx,True,5,0.0
b06_cancel_approx_3.0,6,cancel_approx,True,5,0.0
b06_delayed_1.0,6,delayed,True,5,0.0
b06_delayed_3.0,6,delayed,True,5,0.0
b06_ramp_1.0,6,ramp,True,5,0.0
b06_ramp_3.0,6,ramp,True,5,0.0
b06_none_0.0,6,none,True,5,
b06_sensor_fault_3.0,6,sensor_fault,True,5,
b07_regional_1.0,7,regional,True,7,
b07_regional_3.0,7,regional,True,7,
b07_localized_1.0,7,localized,True,7,0.0
b07_localized_3.0,7,localized,True,7,0.0
b07_cancel_exact_1.0,7,cancel_exact,True,7,0.0
b07_cancel_exact_3.0,7,cancel_exact,True,7,0.0
b07_cancel_approx_1.0,7,cancel_approx,True,7,0.0
b07_cancel_approx_3.0,7,cancel_approx,True,7,0.0
b07_delayed_1.0,7,delayed,True,7,0.0
b07_delayed_3.0,7,delayed,True,7,0.0
b07_ramp_1.0,7,ramp,True,7,0.0
b07_ramp_3.0,7,ramp,True,7,0.0
b07_none_0.0,7,none,True,7,
b07_sensor_fault_3.0,7,sensor_fault,True,7,
