method,updates,fine_attempts,fine_valid,fine_bytes,summary_bytes,median_update_seconds,p95_update_seconds,mean_fine_per_step,median_state_bytes,median_after_eviction_bytes,median_detail_bytes,peak_gpu_bytes,peak_host_bytes,payload_transfer_bytes,expired_fine_cells,groups_rebuilt
M0,5376,0,0,0,3854592,0.0720023969188332,0.08189794817008073,0.0,2365440.0,2365440.0,0.0,182486528,1731706880,5495422464,0,86016
M1,5376,220416,217056,3870720,3854592,0.0721269212663173,0.08216154109686605,41.0,2365440.0,2365440.0,0.0,182486528,1731706880,5495422464,108920,86016
M2,5376,1123584,1105174,18665472,3854592,0.0722750681452453,0.0821941180620342,209.0,2365440.0,2365440.0,0.0,182486528,1731706880,5495422464,552566,86016
M3,5376,1123584,1106434,18665472,3854592,0.07233510306105015,0.08209038688801226,209.0,2365440.0,2365440.0,0.0,182486528,1731706880,5495422464,553560,86016
M3_fixed,5376,1123584,1106434,18665472,3854592,0.07202082453295586,0.08185521955601868,209.0,41017344.0,2365440.0,38651904.0,182486528,1731706880,5495422464,553560,86016
M4,5376,22546944,22204000,361095168,3854592,0.0724026816897094,0.0824008709751069,4194.0,2365440.0,2365440.0,0.0,182486528,1731706880,5495422464,11102812,86016
