family,magnitude,method,backgrounds,detection_rate,correct_group_rate,mean_delay_including_misses,matched_background_detection_rate,detection_excess_over_background,localization_excess_over_background,missed_fraction,house_recall,false_house_instances,false_group_instances,median_peak_detection_score,negative_alarm_rate,any_negative_alarm
localized,3.0,M3,8,0.375,0.375,4.375,0.25,0.125,0.375,0.625,0.0,0.625,1.0,0.7510538548464936,0.08482142857142856,1.0
localized,3.0,M3_fixed,8,0.375,0.375,4.375,0.25,0.125,0.375,0.625,0.0,0.625,1.0,0.7510538548464936,0.08482142857142856,1.0
localized,3.0,M4,8,0.375,0.375,4.375,0.375,0.0,0.375,0.625,0.0,0.625,1.0,0.7858987474146945,0.12896825396825395,1.0
none,0.0,M0,8,0.375,0.0,5.75,0.375,0.0,0.0,0.625,,0.0,0.0,0.6180134497249765,0.09375,1.0
none,0.0,M1,8,0.125,0.0,6.75,0.125,0.0,0.0,0.875,,0.0,0.0,0.6358205825483441,0.0390625,0.875
none,0.0,M2,8,0.375,0.0,5.875,0.375,0.0,0.0,0.625,,0.0,0.0,0.5316685824897687,0.06510416666666667,1.0
none,0.0,M3,8,0.25,0.0,6.25,0.25,0.0,0.0,0.75,,0.0,0.0,0.7556840055513849,0.078125,1.0
none,0.0,M3_fixed,8,0.25,0.0,6.25,0.25,0.0,0.0,0.75,,0.0,0.0,0.7556840055513849,0.078125,1.0
none,0.0,M4,8,0.375,0.0,5.25,0.375,0.0,0.0,0.625,,0.0,0.0,0.6452816157351401,0.10677083333333333,1.0
ramp,1.0,M0,8,0.375,0.125,5.0,0.375,0.0,0.125,0.625,0.0,0.0,3.625,0.7023219068767464,0.109375,1.0
ramp,1.0,M1,8,0.125,0.0,6.5,0.125,0.0,0.0,0.875,0.0,0.125,0.5,0.49700927329208755,0.05208333333333333,0.875
ramp,1.0,M2,8,0.375,0.0,5.125,0.375,0.0,0.0,0.625,0.0,0.125,1.25,0.5655832668889824,0.078125,1.0
ramp,1.0,M3,8,0.25,0.0,5.75,0.25,0.0,0.0,0.75,0.0,0.625,1.75,0.6303679807651096,0.08333333333333333,1.0
ramp,1.0,M3_fixed,8,0.25,0.0,5.75,0.25,0.0,0.0,0.75,0.0,0.625,1.75,0.6303679807651096,0.08333333333333333,1.0
ramp,1.0,M4,8,0.375,0.0,5.0,0.375,0.0,0.0,0.625,0.0,0.625,1.75,0.6862509350263184,0.140625,1.0
ramp,3.0,M0,8,0.375,0.125,5.0,0.375,0.0,0.125,0.625,0.0,0.0,3.5,0.7021701630163879,0.11979166666666666,1.0
ramp,3.0,M1,8,0.125,0.0,6.5,0.125,0.0,0.0,0.875,0.0,0.125,0.5,0.49690188933463886,0.05208333333333333,0.875
ramp,3.0,M2,8,0.375,0.0,5.125,0.375,0.0,0.0,0.625,0.0,0.125,1.25,0.5654610668160078,0.078125,1.0
ramp,3.0,M3,8,0.25,0.0,5.75,0.25,0.0,0.0,0.75,0.0,0.625,1.875,0.6281386855796185,0.08854166666666666,1.0
ramp,3.0,M3_fixed,8,0.25,0.0,5.75,0.25,0.0,0.0,0.75,0.0,0.625,1.875,0.6281386855796185,0.08854166666666666,1.0
ramp,3.0,M4,8,0.375,0.0,5.0,0.375,0.0,0.0,0.625,0.0,0.625,1.875,0.6840190264120072,0.14583333333333334,1.0
regional,1.0,M0,8,0.5,0.5,4.125,0.375,0.125,0.125,0.5,0.0,0.0,0.0,1.0636567639228214,0.09523809523809523,1.0
regional,1.0,M1,8,0.125,0.125,6.5,0.125,0.0,0.0,0.875,0.0,0.0,0.0,0.7527136347211645,0.04365079365079365,0.875
regional,1.0,M2,8,0.5,0.5,5.125,0.375,0.125,0.125,0.5,2.997601918465228e-05,0.0,0.0,0.8801462468049348,0.06200396825396825,1.0
regional,1.0,M3,8,0.5,0.5,4.125,0.25,0.25,0.25,0.5,3.057729941291585e-05,0.0,0.0,0.8955094615715601,0.08829365079365079,1.0
regional,1.0,M3_fixed,8,0.5,0.5,4.125,0.25,0.25,0.25,0.5,3.057729941291585e-05,0.0,0.0,0.8955094615715601,0.08829365079365079,1.0
regional,1.0,M4,8,0.5,0.5,4.125,0.375,0.125,0.125,0.5,6.052342876431992e-05,0.0,0.0,0.921238346856851,0.11408730158730158,1.0
regional,3.0,M0,8,1.0,1.0,0.0,0.375,0.625,0.625,0.0,0.0,0.0,0.0,1.8519864703373994,0.12003968253968253,1.0
regional,3.0,M1,8,1.0,1.0,0.0,0.125,0.875,0.875,0.0,0.0,0.0,0.0,1.3105876959789948,0.07093253968253968,1.0
