episode,background,week,family,magnitude,method,event_duration,detected,correct_group_detected,delay_steps,missed,negative_steps,negative_alarms,matched_background_detected,matched_background_group_detected,detection_minus_matched_background,localization_minus_matched_background,peak_score_in_detection_window,median_negative_score,negative_alarm_rate,any_negative_alarm,event_alarm_steps,correct_house_instances,false_house_instances,correct_house_unique,false_house_unique,affected_households,house_localization_recall,false_group_instances,first_informative_read_step,first_macro_alarm_step,local_detection_step,zero_effect
b00_regional_1.0,0,0,regional,1.0,M0,20,True,True,0,False,28,3,True,True,0,0,1.2104077744795283,0.5028226523866014,0.10714285714285714,True,3,0,0,0,0,4170,0.0,0,,0.0,0.0,False
b00_regional_1.0,0,0,regional,1.0,M1,20,False,False,7,True,28,1,False,False,0,0,0.8565643225574879,0.3622696245966145,0.03571428571428571,True,1,0,0,0,0,4170,0.0,0,0.0,16.0,,False
b00_regional_1.0,0,0,regional,1.0,M2,20,True,True,5,False,28,1,True,True,0,0,1.1217087168529964,0.40492554143338955,0.03571428571428571,True,2,1,0,1,0,4170,0.00023980815347721823,0,0.0,16.0,5.0,False
b00_regional_1.0,0,0,regional,1.0,M3,20,True,True,0,False,28,2,False,False,1,1,1.019061459646622,0.49782552219185416,0.07142857142857142,True,2,0,0,0,0,4170,0.0,0,0.0,0.0,0.0,False
b00_regional_1.0,0,0,regional,1.0,M3_fixed,20,True,True,0,False,28,2,False,False,1,1,1.019061459646622,0.49782552219185416,0.07142857142857142,True,2,0,0,0,0,4170,0.0,0,0.0,0.0,0.0,False
b00_regional_1.0,0,0,regional,1.0,M4,20,True,True,0,False,28,8,True,True,0,0,1.0845720816363629,0.5581882594253192,0.2857142857142857,True,3,2,0,1,0,4170,0.00023980815347721823,0,0.0,0.0,0.0,False
b00_regional_3.0,0,0,regional,3.0,M0,20,True,True,0,False,28,4,True,True,0,0,2.2363853778357994,0.5022505081027269,0.14285714285714285,True,3,0,0,0,0,4170,0.0,0,,0.0,0.0,False
b00_regional_3.0,0,0,regional,3.0,M1,20,True,True,0,False,28,2,False,False,1,1,1.582613699723714,0.36336589026788685,0.07142857142857142,True,2,0,0,0,0,4170,0.0,0,0.0,0.0,0.0,False
b00_regional_3.0,0,0,regional,3.0,M2,20,True,True,0,False,28,2,True,True,0,0,1.800972083647533,0.40785350122662795,0.07142857142857142,True,3,1,0,1,0,4170,0.00023980815347721823,0,0.0,0.0,0.0,False
b00_regional_3.0,0,0,regional,3.0,M3,20,True,True,0,False,28,3,False,False,1,1,1.8828482396766504,0.49782552219185416,0.10714285714285714,True,2,0,0,0,0,4170,0.0,0,0.0,0.0,0.0,False
b00_regional_3.0,0,0,regional,3.0,M3_fixed,20,True,True,0,False,28,3,False,False,1,1,1.8828482396766504,0.49782552219185416,0.10714285714285714,True,2,0,0,0,0,4170,0.0,0,0.0,0.0,0.0,False
b00_regional_3.0,0,0,regional,3.0,M4,20,True,True,0,False,28,9,True,True,0,0,1.885055524689979,0.6403831816272312,0.32142857142857145,True,3,2,0,1,0,4170,0.00023980815347721823,0,0.0,0.0,0.0,False
b00_localized_1.0,0,0,localized,1.0,M0,20,True,False,3,False,28,3,True,False,0,0,1.154064852851456,0.5305712346317741,0.10714285714285714,True,3,0,0,0,0,32,0.0,3,,3.0,,False
b00_localized_1.0,0,0,localized,1.0,M1,20,False,False,7,True,28,1,False,False,0,0,0.8166923574951256,0.37651949506778926,0.03571428571428571,True,1,0,0,0,0,32,0.0,0,1.0,14.0,,False
b00_localized_1.0,0,0,localized,1.0,M2,20,True,False,3,False,28,1,True,False,0,0,1.1210112819953009,0.4272716104426205,0.03571428571428571,True,2,0,1,0,1,32,0.0,1,0.0,14.0,,False
b00_localized_1.0,0,0,localized,1.0,M3,20,False,False,7,True,28,2,False,False,0,0,0.971625462319401,0.5155004733500855,0.07142857142857142,True,1,0,0,0,0,32,0.0,0,0.0,14.0,,False
b00_localized_1.0,0,0,localized,1.0,M3_fixed,20,False,False,7,True,28,2,False,False,0,0,0.971625462319401,0.5155004733500855,0.07142857142857142,True,1,0,0,0,0,32,0.0,0,0.0,14.0,,False
b00_localized_1.0,0,0,localized,1.0,M4,20,True,False,2,False,28,9,True,False,0,0,1.0714455146960429,0.6397538023912102,0.32142857142857145,True,2,0,1,0,1,32,0.0,1,0.0,14.0,,False
b00_localized_3.0,0,0,localized,3.0,M0,20,True,True,0,False,28,3,True,False,0,1,1.487509758262294,0.5494005481522064,0.10714285714285714,True,4,0,0,0,0,32,0.0,3,,0.0,0.0,False
b00_localized_3.0,0,0,localized,3.0,M1,20,True,True,0,False,28,1,False,False,1,1,1.052659950842991,0.3887920403874326,0.03571428571428571,True,2,0,0,0,0,32,0.0,0,1.0,0.0,0.0,False
b00_localized_3.0,0,0,localized,3.0,M2,20,True,True,0,False,28,1,True,False,0,1,1.197898884214748,0.4424349487208211,0.03571428571428571,True,3,0,1,0,1,32,0.0,1,0.0,0.0,0.0,False
b00_localized_3.0,0,0,localized,3.0,M3,20,True,True,0,False,28,2,False,False,1,1,1.2523580048427765,0.5227240882689712,0.07142857142857142,True,2,0,0,0,0,32,0.0,0,0.0,0.0,0.0,False
b00_localized_3.0,0,0,localized,3.0,M3_fixed,20,True,True,0,False,28,2,False,False,1,1,1.2523580048427765,0.5227240882689712,0.07142857142857142,True,2,0,0,0,0,32,0.0,0,0.0,0.0,0.0,False
b00_localized_3.0,0,0,localized,3.0,M4,20,True,True,0,False,28,9,True,False,0,1,1.2538261587795407,0.7301115658417983,0.32142857142857145,True,3,0,1,0,1,32,0.0,1,0.0,0.0,0.0,False
b00_cancel_exact_1.0,0,0,cancel_exact,1.0,M0,24,True,False,2,False,24,3,True,False,0,0,1.155961782521853,0.5737486118708028,0.125,True,3,0,0,0,0,60,0.0,3,,2.0,,False
b00_cancel_exact_1.0,0,0,cancel_exact,1.0,M1,24,False,False,7,True,24,1,False,False,0,0,0.8180347499617978,0.40602233512316654,0.041666666666666664,True,1,0,0,0,0,60,0.0,1,0.0,13.0,,False
b00_cancel_exact_1.0,0,0,cancel_exact,1.0,M2,24,True,False,2,False,24,1,True,False,0,0,1.1215104802891482,0.46204256352757594,0.041666666666666664,True,2,0,1,0,1,60,0.0,2,0.0,13.0,,False
b00_cancel_exact_1.0,0,0,cancel_exact,1.0,M3,24,False,False,7,True,24,2,False,False,0,0,0.973222517427208,0.5264826133825922,0.08333333333333333,True,1,0,0,0,0,60,0.0,1,0.0,13.0,,False
b00_cancel_exact_1.0,0,0,cancel_exact,1.0,M3_fixed,24,False,False,7,True,24,2,False,False,0,0,0.973222517427208,0.5264826133825922,0.08333333333333333,True,1,0,0,0,0,60,0.0,1,0.0,13.0,,False
