episode,background,family,magnitude,onset,duration,probe_hits_steps,first_probe_hits,fine_hits_steps,first_fine_hits,affected_probe_winners_steps,first_affected_probe_winners,affected_top_group_steps,first_affected_top_group,affected_active_steps,first_affected_active,trigger_steps,first_trigger,ranking_changed_steps,first_ranking_changed,trigger_changed_steps,first_trigger_changed,action_changed_steps,first_action_changed,read_identity_changed_steps,first_read_identity_changed,first_exposed_value_difference,max_exposed_value_difference,first_exposed_probe_difference,max_exposed_probe_difference,first_innovation_difference,max_innovation_difference,first_score_difference,max_score_difference,first_assimilation_value_difference,max_assimilation_value_difference,max_affected_probe_z,max_score,score_reproduction_max,budget_block_steps,requested,read,assimilated
b00_none_0.0,0,none,0.0,9,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,3.552713678800501e-15,0,10032,9965,9965
b00_cancel_approx_1.0,0,cancel_approx,1.0,7,24,11,8.0,22,7.0,6,8.0,2,22.0,0,,0,,11,13.0,0,,0,,0,,7.0,0.34554113808872555,8.0,0.21414498715688435,8.0,0.9748481985401117,8.0,0.6581376126593383,7.0,0.34554113808872555,2.381024772917539,10.041774545763616,6.217248937900877e-15,0,10032,9965,9965
b00_cancel_approx_3.0,0,cancel_approx,3.0,7,24,11,8.0,22,7.0,7,8.0,2,22.0,0,,0,,18,13.0,0,,0,,0,,7.0,0.807040023803711,8.0,0.6424349614706529,8.0,2.727322252441816,8.0,1.1800495067747465,7.0,0.807040023803711,2.856143363892354,10.031842707551387,5.329070518200751e-15,0,10032,9965,9965
b00_cancel_exact_1.0,0,cancel_exact,1.0,11,24,9,11.0,24,11.0,6,11.0,2,22.0,0,,0,,0,,0,,0,,0,,11.0,0.23947264997636464,11.0,0.1611389473299416,11.0,0.99237424861054,30.0,0.0916799105718602,11.0,0.23947264997636464,2.3044556282629727,10.053724908750342,7.105427357601002e-15,0,10032,9965,9965
b00_cancel_exact_3.0,0,cancel_exact,3.0,11,24,9,11.0,24,11.0,7,11.0,2,22.0,0,,0,,22,11.0,0,,0,,0,,11.0,0.509600043296814,11.0,0.4026762193633866,11.0,2.9612010905434882,11.0,1.5698292801635125,11.0,0.509600043296814,3.4410965522121333,10.053724908750347,4.884981308350689e-15,0,10032,9965,9965
b00_delayed_1.0,0,delayed,1.0,10,24,10,12.0,23,10.0,4,13.0,6,27.0,0,,0,,3,15.0,0,,0,,0,,10.0,0.15610377985220347,12.0,0.15610377985220347,12.0,0.8480568405376585,12.0,0.5791052303396862,10.0,0.15610377985220347,6.527519290076208,10.083323055704732,7.549516567451064e-15,0,10032,9965,9965
b00_delayed_3.0,0,delayed,3.0,10,24,10,12.0,23,10.0,4,13.0,6,27.0,0,,0,,18,13.0,0,,0,,0,,10.0,0.34256977734374994,12.0,0.34256977734374994,12.0,1.8672585709037455,12.0,1.1254983649083532,10.0,0.34256977734374994,6.553394917952136,10.105135466470385,8.881784197001252e-15,0,10032,9965,9965
b00_localized_1.0,0,localized,1.0,10,20,5,11.0,15,10.0,4,11.0,0,,0,,0,,10,12.0,0,,0,,0,,10.0,0.3771667312886311,11.0,0.28352817830750565,11.0,0.9621715933702928,11.0,1.6283603918754286,10.0,0.3771667312886311,3.8574117167616833,9.839181311333588,7.105427357601002e-15,0,10032,9965,9965
b00_localized_3.0,0,localized,3.0,10,20,5,11.0,15,10.0,5,11.0,4,14.0,0,,0,,19,11.0,0,,0,,0,,10.0,1.131500193865893,11.0,0.8505845349225167,11.0,2.79040166303895,11.0,4.885081175626288,10.0,1.131500193865893,5.625918280225104,9.45551824667702,5.329070518200751e-15,0,10032,9965,9965
b00_ramp_1.0,0,ramp,1.0,11,24,9,13.0,21,12.0,4,18.0,0,,0,,0,,11,17.0,0,,0,,0,,12.0,0.2033483381995585,13.0,0.1588186558259479,13.0,0.5853575048392213,13.0,0.12254153889179453,12.0,0.2033483381995585,1.5446837311521964,9.936231244268692,8.43769498715119e-15,0,10032,9965,9965
b00_ramp_3.0,0,ramp,3.0,11,24,9,13.0,21,12.0,6,18.0,0,,0,,0,,16,17.0,0,,0,,0,,12.0,0.6100450145986756,13.0,0.4764559674778437,13.0,1.6538506143024674,13.0,0.36762461667536245,12.0,0.6100450145986756,1.9367592431285174,9.711586025635992,1.2434497875801753e-14,0,10032,9965,9965
b00_regional_1.0,0,regional,1.0,8,20,20,8.0,20,8.0,20,8.0,20,8.0,0,,0,,20,8.0,0,,0,,0,,8.0,0.13802946327247098,8.0,0.12561691523506902,8.0,0.6097122150869695,8.0,0.265992468825087,8.0,0.13802946327247098,11.177036795723055,9.930132761979477,7.105427357601002e-15,0,10032,9965,9965
b00_regional_3.0,0,regional,3.0,8,20,20,8.0,20,8.0,20,8.0,20,8.0,0,,0,,20,8.0,0,,0,,0,,8.0,0.41408838981741297,8.0,0.37685074570520705,8.0,1.8291366452608644,8.0,0.7981252909604457,8.0,0.41408838981741297,10.840475770458461,9.743219601589812,1.0658141036401503e-14,0,10032,9965,9965
b00_sensor_fault_3.0,0,sensor_fault,3.0,8,12,2,10.0,11,8.0,2,10.0,0,,0,,0,,10,10.0,0,,0,,0,,8.0,1.2733455967612763,10.0,0.34927507390505375,9.0,2.6648165970815847,9.0,0.9098700573184992,8.0,1.2733455967612763,2.782712134077099,5.2605489791042235,9.325873406851315e-15,0,10032,9965,9965
b01_none_0.0,1,none,0.0,9,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,8.881784197001252e-15,0,10032,9950,9950
b01_cancel_approx_1.0,1,cancel_approx,1.0,9,24,9,10.0,22,9.0,6,10.0,0,,0,,0,,8,21.0,0,,0,,0,,9.0,0.2109978245023153,10.0,0.11058604027442176,10.0,0.9784598280766899,10.0,0.7489717070306634,9.0,0.2109978245023153,2.7489717070306634,10.334992245161004,9.769962616701378e-15,0,10032,9950,9950
b01_cancel_approx_3.0,1,cancel_approx,3.0,9,24,9,10.0,22,9.0,7,10.0,5,25.0,0,,0,,10,21.0,0,,0,,0,,9.0,0.6329934735069458,10.0,0.18880000710487366,10.0,2.9452054830293415,10.0,2.715717361983315,9.0,0.6329934735069458,4.715717361983315,10.34086538111192,7.105427357601002e-15,0,10032,9950,9950
b01_cancel_exact_1.0,1,cancel_exact,1.0,10,24,8,12.0,24,10.0,5,12.0,0,,0,,0,,0,,0,,0,,0,,10.0,0.2561627820549437,12.0,0.1632000058889389,12.0,0.9835888179839802,,3.552713678800501e-15,10.0,0.2561627820549437,1.8360162553266244,10.323594889888003,8.881784197001252e-15,0,10032,9950,9950
