episode,background,family,magnitude,onset,duration,probe_hits_steps,first_probe_hits,fine_hits_steps,first_fine_hits,affected_probe_winners_steps,first_affected_probe_winners,affected_top_group_steps,first_affected_top_group,affected_active_steps,first_affected_active,trigger_steps,first_trigger,ranking_changed_steps,first_ranking_changed,trigger_changed_steps,first_trigger_changed,action_changed_steps,first_action_changed,read_identity_changed_steps,first_read_identity_changed,first_exposed_value_difference,max_exposed_value_difference,first_exposed_probe_difference,max_exposed_probe_difference,first_innovation_difference,max_innovation_difference,first_score_difference,max_score_difference,first_assimilation_value_difference,max_assimilation_value_difference,max_affected_probe_z,max_score,score_reproduction_max,budget_block_steps,requested,read,assimilated
b01_cancel_exact_3.0,1,cancel_exact,3.0,10,24,8,12.0,24,10.0,6,12.0,0,,0,,0,,14,19.0,0,,0,,0,,10.0,0.7297084467080968,12.0,0.1632000058889389,12.0,2.8774783882204913,19.0,1.7299058255631357,10.0,0.7297084467080968,3.7299058255631357,10.323594889888003,7.993605777301127e-15,0,10032,9950,9950
b01_delayed_1.0,1,delayed,1.0,11,24,13,11.0,22,11.0,5,14.0,2,11.0,0,,0,,2,21.0,0,,0,,0,,11.0,0.12094695984374998,11.0,0.12094695984374998,11.0,0.7056467038990488,13.0,0.12730683758299532,11.0,0.12094695984374998,3.050875048946155,10.355761005671955,7.105427357601002e-15,0,10032,9950,9950
b01_delayed_3.0,1,delayed,3.0,11,24,13,11.0,22,11.0,5,14.0,2,11.0,0,,0,,3,21.0,0,,0,,0,,11.0,0.17867167424003172,11.0,0.17867167424003172,11.0,1.1631812636332979,13.0,0.1225117830956024,11.0,0.17867167424003172,3.0505447202347544,10.364984974925811,6.217248937900877e-15,0,10032,9950,9950
b01_localized_1.0,1,localized,1.0,9,12,0,,9,9.0,0,,0,,0,,0,,0,,0,,0,,0,,9.0,0.36640000343322754,,0.0,10.0,0.20325870496581788,10.0,0.06704430482487833,9.0,0.36640000343322754,0.0,5.686667750733885,7.993605777301127e-15,0,10032,9950,9950
b01_localized_3.0,1,localized,3.0,9,12,0,,9,9.0,0,,0,,0,,0,,0,,0,,0,,0,,9.0,0.5688000321388245,,0.0,10.0,0.2785575490982245,10.0,0.12466636260631514,9.0,0.5688000321388245,0.0,5.684470351632864,9.769962616701378e-15,0,10032,9950,9950
b01_ramp_1.0,1,ramp,1.0,8,24,6,9.0,20,9.0,4,9.0,0,,0,,0,,21,9.0,0,,0,,0,,9.0,0.41885579480102986,9.0,0.1305177382967412,9.0,0.8440823225154366,9.0,0.28092871111666695,9.0,0.41885579480102986,2.369848103285214,10.316123596809314,6.217248937900877e-15,0,10032,9950,9950
b01_ramp_3.0,1,ramp,3.0,8,24,6,9.0,20,9.0,6,9.0,4,27.0,0,,0,,23,9.0,0,,0,,0,,9.0,1.2565673844030896,9.0,0.39155321489022366,9.0,2.5322469675463095,9.0,2.084846815028274,9.0,1.2565673844030896,4.0539956246396995,10.301181010651936,9.769962616701378e-15,0,10032,9950,9950
b01_regional_1.0,1,regional,1.0,11,12,12,11.0,12,11.0,12,11.0,12,11.0,0,,0,,7,16.0,0,,0,,0,,11.0,0.12561691523506902,11.0,0.12561691523506902,11.0,0.6028621096799374,11.0,0.31833377334882396,11.0,0.12561691523506902,12.26992864979464,10.403760476005724,9.769962616701378e-15,0,10032,9950,9950
b01_regional_3.0,1,regional,3.0,11,12,12,11.0,12,11.0,12,11.0,12,11.0,0,,0,,9,14.0,0,,0,,0,,11.0,0.37685074570520705,11.0,0.37685074570520705,11.0,1.8085863290398054,11.0,0.987053557323678,11.0,0.37685074570520705,12.48718377377251,10.691639085567575,1.199040866595169e-14,0,10032,9950,9950
b01_sensor_fault_3.0,1,sensor_fault,3.0,9,12,3,11.0,11,9.0,3,11.0,0,,0,,0,,10,11.0,0,,0,,0,,9.0,0.7951506090166681,11.0,0.23585473023054881,10.0,2.6663737934766507,10.0,1.149959680819668,9.0,0.7951506090166681,2.695883083136656,5.657875584092363,6.217248937900877e-15,0,10032,9950,9950
b02_none_0.0,2,none,0.0,9,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,3.552713678800501e-15,0,10032,9919,9919
b02_cancel_approx_1.0,2,cancel_approx,1.0,11,24,7,12.0,23,11.0,3,12.0,0,,0,,0,,5,30.0,0,,0,,0,,11.0,0.2315366760357761,12.0,0.1560167369485245,12.0,0.8892195072064062,12.0,0.029990325385919725,11.0,0.2315366760357761,1.2114199510778394,11.225340666674045,7.105427357601002e-15,0,10032,9919,9919
b02_cancel_approx_3.0,2,cancel_approx,3.0,11,24,7,12.0,23,11.0,3,12.0,0,,0,,0,,10,19.0,0,,0,,0,,11.0,0.35359999537467957,12.0,0.24384000301361086,12.0,1.0947375601812748,12.0,0.054608707926744104,11.0,0.35359999537467957,1.600027808279726,11.215722776864915,8.881784197001252e-15,0,10032,9919,9919
b02_cancel_exact_1.0,2,cancel_exact,1.0,8,24,9,9.0,21,8.0,7,9.0,0,,0,,0,,6,16.0,0,,0,,0,,8.0,0.20799998939037323,9.0,0.19285221151965382,9.0,0.983646977541171,16.0,0.6530276016559893,8.0,0.20799998939037323,4.067512246168405,11.23635154711308,7.105427357601002e-15,0,10032,9919,9919
b02_cancel_exact_3.0,2,cancel_exact,3.0,8,24,9,9.0,21,8.0,8,9.0,0,,0,,0,,23,9.0,0,,0,,0,,8.0,0.5785566345589613,9.0,0.5785566345589613,9.0,2.950940932623512,9.0,1.6673868913286147,8.0,0.5785566345589613,3.3909145051925296,11.236351547113081,5.329070518200751e-15,0,10032,9919,9919
b02_delayed_1.0,2,delayed,1.0,11,24,9,11.0,23,11.0,6,11.0,0,,0,,0,,7,19.0,0,,0,,0,,11.0,0.20031301863971773,11.0,0.07440000027418137,11.0,0.6063563150898367,13.0,0.04920041798010999,11.0,0.20031301863971773,1.7469514832537683,11.23538695866788,5.329070518200751e-15,0,10032,9919,9919
b02_delayed_3.0,2,delayed,3.0,11,24,9,11.0,23,11.0,5,11.0,1,13.0,0,,0,,24,11.0,0,,0,,0,,11.0,0.3157925409171775,11.0,0.14080695078504857,11.0,1.2836661984630968,11.0,0.4712848448981246,11.0,0.3157925409171775,2.4712848448981246,11.234457126998123,8.881784197001252e-15,0,10032,9919,9919
b02_localized_1.0,2,localized,1.0,7,12,2,14.0,10,7.0,0,,2,14.0,0,,0,,0,,0,,0,,0,,7.0,0.3844789332175369,14.0,0.13667402142676524,8.0,0.822181311544113,8.0,0.28877013723370837,7.0,0.3844789332175369,1.2188134837373756,10.241272036541293,5.329070518200751e-15,0,10032,9919,9919
b02_localized_3.0,2,localized,3.0,7,12,2,14.0,10,7.0,0,,2,14.0,0,,0,,8,11.0,0,,0,,0,,7.0,1.1534367996526107,14.0,0.41002206428029575,8.0,1.8012688704006523,8.0,0.8663104117011287,7.0,1.1534367996526107,2.293458279291731,9.663731762073873,1.2434497875801753e-14,0,10032,9919,9919
b02_ramp_1.0,2,ramp,1.0,8,24,3,15.0,18,9.0,0,,0,,0,,0,,9,19.0,0,,0,,0,,9.0,0.16648836895653552,15.0,0.11969586739464039,10.0,0.41899026493265545,10.0,0.16653223007982332,9.0,0.16648836895653552,0.3426010962956735,11.307868741245635,3.552713678800501e-15,0,10032,9919,9919
b02_ramp_3.0,2,ramp,3.0,8,24,3,15.0,18,9.0,0,,0,,0,,0,,11,16.0,0,,0,,0,,9.0,0.4994651068696063,15.0,0.35908760218392116,10.0,1.3238690388540393,10.0,0.4995966902394743,9.0,0.4994651068696063,1.6199347888210605,11.45090312951075,5.329070518200751e-15,0,10032,9919,9919
b02_regional_1.0,2,regional,1.0,8,20,20,8.0,20,8.0,20,8.0,20,8.0,0,,0,,18,8.0,0,,0,,0,,8.0,0.13802946327247098,8.0,0.12561691523506902,8.0,0.6018202094877423,8.0,0.3716371319131535,8.0,0.13802946327247098,12.945116214486328,11.075717948460293,8.881784197001252e-15,0,10032,9919,9919
b02_regional_3.0,2,regional,3.0,8,20,20,8.0,20,8.0,20,8.0,20,8.0,0,,0,,20,8.0,0,,0,,0,,8.0,0.41408838981741297,8.0,0.37685074570520705,8.0,1.4605705339858948,8.0,1.1350177733967435,8.0,0.41408838981741297,12.606087657004275,10.78585670043957,1.4210854715202004e-14,0,10032,9919,9919
b02_sensor_fault_3.0,2,sensor_fault,3.0,8,12,8,10.0,11,9.0,7,10.0,0,,0,,0,,10,10.0,0,,0,,0,,9.0,0.9734541602232374,10.0,0.9734541602232374,9.0,2.880403236102815,9.0,1.3781242383551637,9.0,0.9734541602232374,3.451190664903886,10.115817258169656,6.661338147750939e-15,0,10032,9919,9919
b03_none_0.0,3,none,0.0,9,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,3.552713678800501e-15,0,10032,9904,9904
b03_cancel_approx_1.0,3,cancel_approx,1.0,7,24,12,7.0,23,7.0,7,7.0,0,,0,,0,,4,19.0,0,,0,,0,,7.0,0.1695999950170517,7.0,0.10396695663141761,7.0,0.7979794391693806,9.0,0.7979794391693806,7.0,0.1695999950170517,2.3745604848956394,8.51163925445416,3.552713678800501e-15,0,10032,9904,9904
b03_cancel_approx_3.0,3,cancel_approx,3.0,7,24,12,7.0,23,7.0,8,7.0,0,,0,,0,,4,19.0,0,,0,,0,,7.0,0.3119008698942528,7.0,0.24952069591540227,7.0,2.389669505054063,9.0,1.17253992406502,7.0,0.3119008698942528,1.6029054591776093,8.510483121176676,4.440892098500626e-15,0,10032,9904,9904
b03_cancel_exact_1.0,3,cancel_exact,1.0,7,24,9,7.0,23,7.0,8,7.0,2,22.0,0,,0,,3,22.0,0,,0,,0,,7.0,0.19312867066830985,7.0,0.15360000729560852,7.0,0.9877654930822252,19.0,0.3146429009724425,7.0,0.19312867066830985,5.441281415732721,8.514005684311474,3.552713678800501e-15,0,10032,9904,9904
b03_cancel_exact_3.0,3,cancel_exact,3.0,7,24,9,7.0,23,7.0,8,7.0,4,19.0,0,,0,,5,19.0,0,,0,,0,,7.0,0.39565400084502655,7.0,0.2280000001192093,7.0,1.7213085988598438,19.0,0.8927310221995848,7.0,0.39565400084502655,6.019369536959863,8.682272415702352,3.1086244689504383e-15,0,10032,9904,9904
b03_delayed_1.0,3,delayed,1.0,11,24,10,12.0,23,11.0,5,12.0,0,,0,,0,,9,19.0,0,,0,,0,,11.0,0.2548752907428058,12.0,0.053199998289346684,12.0,0.3583364916851961,14.0,0.05212318982390185,11.0,0.2548752907428058,1.1720981516765772,8.514586023468244,5.329070518200751e-15,0,10032,9904,9904
b03_delayed_3.0,3,delayed,3.0,11,24,10,12.0,23,11.0,5,12.0,0,,0,,0,,9,19.0,0,,0,,0,,11.0,0.29777381618655974,12.0,0.0834960041940212,12.0,0.642612112093474,14.0,0.0728077813700656,11.0,0.29777381618655974,1.1760740324828014,8.514816325536415,3.1086244689504383e-15,0,10032,9904,9904
b03_localized_1.0,3,localized,1.0,10,12,4,10.0,7,10.0,3,18.0,0,,0,,0,,1,21.0,0,,0,,0,,10.0,0.4863087074196941,10.0,0.23010705811721344,10.0,0.9930254557069844,11.0,0.08528682095073714,10.0,0.4863087074196941,1.4121855828113734,3.6743220900905316,4.884981308350689e-15,0,10032,9904,9904
b03_localized_3.0,3,localized,3.0,10,12,4,10.0,7,10.0,3,18.0,0,,0,,0,,5,17.0,0,,0,,0,,10.0,1.458926122259082,10.0,0.5343999862670898,10.0,0.7206088108849374,11.0,0.12377880119837359,10.0,1.458926122259082,1.3930363709349258,3.6813710807082494,8.881784197001252e-15,0,10032,9904,9904
b03_ramp_1.0,3,ramp,1.0,8,24,8,9.0,15,9.0,3,9.0,0,,0,,0,,7,23.0,0,,0,,0,,9.0,0.1939109719865807,9.0,0.1939109719865807,9.0,0.9882113338483738,10.0,0.19505025309512902,9.0,0.1939109719865807,1.8675264249565044,8.5334203621281,3.9968028886505635e-15,0,10032,9904,9904
b03_ramp_3.0,3,ramp,3.0,8,24,8,9.0,15,9.0,7,9.0,0,,0,,0,,11,20.0,0,,0,,0,,9.0,0.5817329159597422,9.0,0.5817329159597422,9.0,2.5823112849747107,10.0,2.480740229094946,9.0,0.5817329159597422,3.5446138452518188,8.572249717761355,3.552713678800501e-15,0,10032,9904,9904
b03_regional_1.0,3,regional,1.0,10,12,12,10.0,12,10.0,12,10.0,12,10.0,0,,0,,12,10.0,0,,0,,0,,10.0,0.12561691523506902,10.0,0.12561691523506902,10.0,0.587661160771232,10.0,0.27871176495466443,10.0,0.12561691523506902,5.751524523799564,3.7515245237995636,3.552713678800501e-15,0,10032,9904,9904
b03_regional_3.0,3,regional,3.0,10,12,12,10.0,12,10.0,12,10.0,12,10.0,0,,0,,12,10.0,0,,0,,0,,10.0,0.37685074570520705,10.0,0.37685074570520705,10.0,1.382499841544612,10.0,1.1637388880611002,10.0,0.37685074570520705,5.938652980437031,3.9854756221282415,3.9968028886505635e-15,0,10032,9904,9904
b03_sensor_fault_3.0,3,sensor_fault,3.0,8,12,3,11.0,9,9.0,3,11.0,2,17.0,0,,0,,10,10.0,0,,0,,0,,9.0,1.0325954522938003,11.0,0.6874732955283349,9.0,2.820312118657098,9.0,4.243377519562435,9.0,1.0325954522938003,5.312440588140169,5.444405767392833,3.9968028886505635e-15,0,10032,9904,9904
b04_none_0.0,4,none,0.0,9,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,3.552713678800501e-15,0,10032,9868,9868
b04_cancel_approx_1.0,4,cancel_approx,1.0,10,24,11,10.0,24,10.0,8,10.0,0,,0,,0,,2,15.0,0,,0,,0,,10.0,0.19367434877573564,10.0,0.15116494462450764,10.0,0.8266899434682994,11.0,0.21207297535719505,10.0,0.19367434877573564,2.3300042693403538,11.52009228229348,1.7763568394002505e-15,0,10032,9868,9868
b04_cancel_approx_3.0,4,cancel_approx,3.0,10,24,11,10.0,24,10.0,7,14.0,2,29.0,0,,0,,8,15.0,0,,0,,0,,10.0,0.5591999888420105,10.0,0.4266084291895065,10.0,2.7862243808342786,11.0,0.643208629343393,10.0,0.5591999888420105,2.8622695683964228,11.519538760595642,2.6645352591003757e-15,0,10032,9868,9868
b04_cancel_exact_1.0,4,cancel_exact,1.0,9,24,12,9.0,21,9.0,5,12.0,0,,0,,0,,21,12.0,0,,0,,0,,9.0,0.2549089704535418,9.0,0.10160000622272491,9.0,0.9836578198186342,12.0,1.1543952457388658,9.0,0.2549089704535418,3.5894522894136105,11.52061412871651,5.329070518200751e-15,0,10032,9868,9868
b04_cancel_exact_3.0,4,cancel_exact,3.0,9,24,12,9.0,21,9.0,9,9.0,0,,0,,0,,21,12.0,0,,0,,0,,9.0,0.4955257934251403,9.0,0.19920000433921814,9.0,2.847104334468909,12.0,3.3172175944322335,9.0,0.4955257934251403,5.487521845726216,11.52061412871651,3.552713678800501e-15,0,10032,9868,9868
b04_delayed_1.0,4,delayed,1.0,11,24,10,12.0,24,11.0,4,13.0,4,31.0,0,,0,,2,15.0,0,,0,,0,,11.0,0.21853668920814528,12.0,0.07520256271362302,12.0,0.34817058556373875,13.0,0.12140868297816221,11.0,0.21853668920814528,2.564873818382653,11.52061412871651,7.105427357601002e-15,0,10032,9868,9868
b04_delayed_3.0,4,delayed,3.0,11,24,10,12.0,24,11.0,4,13.0,4,31.0,0,,0,,2,15.0,0,,0,,0,,11.0,0.44620797157287595,12.0,0.07520256271362302,12.0,0.3432267721044225,13.0,0.13143613681890853,11.0,0.44620797157287595,2.5749012722233995,11.52061412871651,3.552713678800501e-15,0,10032,9868,9868
b04_localized_1.0,4,localized,1.0,10,12,1,13.0,7,11.0,0,,0,,0,,0,,3,14.0,0,,0,,0,,11.0,0.4182242151357237,13.0,0.1907746892993959,11.0,0.8601608128159426,11.0,0.20632712952723065,11.0,0.4182242151357237,1.9655858222383327,11.517163717276535,8.881784197001252e-15,0,10032,9868,9868
b04_localized_3.0,4,localized,3.0,10,12,1,13.0,7,11.0,0,,0,,0,,0,,8,14.0,0,,0,,0,,11.0,1.254672645407171,13.0,0.5723240678981878,11.0,2.5804824384478264,11.0,0.6128934754305053,11.0,1.254672645407171,3.6859074478702167,11.510262894396588,2.6645352591003757e-15,0,10032,9868,9868
b04_ramp_1.0,4,ramp,1.0,11,24,3,21.0,18,12.0,1,21.0,0,,0,,0,,9,19.0,0,,0,,0,,12.0,0.19632222308597677,21.0,0.19632222308597677,13.0,0.5021949097792469,13.0,0.1518769102204498,12.0,0.19632222308597677,1.1665291029793496,11.52061412871651,3.552713678800501e-15,0,10032,9868,9868
b04_ramp_3.0,4,ramp,3.0,11,24,3,21.0,18,12.0,3,21.0,0,,0,,0,,19,16.0,0,,0,,0,,12.0,0.5889666692579303,21.0,0.5889666692579303,13.0,1.6004009702576667,13.0,0.45563073066134585,12.0,0.5889666692579303,2.170918922537842,11.52061412871651,5.329070518200751e-15,0,10032,9868,9868
b04_regional_1.0,4,regional,1.0,7,20,20,7.0,20,7.0,20,7.0,20,7.0,0,,0,,17,7.0,0,,0,,0,,7.0,0.13802946327247098,7.0,0.12561691523506902,7.0,0.5967807409686456,7.0,0.37269892250414377,7.0,0.13802946327247098,13.634322659094709,11.634322659094709,5.329070518200751e-15,0,10032,9868,9868
b04_regional_3.0,4,regional,3.0,7,20,20,7.0,20,7.0,20,7.0,20,7.0,0,,0,,20,7.0,0,,0,,0,,7.0,0.41408838981741297,7.0,0.37685074570520705,7.0,1.790342222905926,7.0,0.9030390487053541,7.0,0.41408838981741297,13.861739719851107,11.861739719851107,1.0658141036401503e-14,0,10032,9868,9868
b04_sensor_fault_3.0,4,sensor_fault,3.0,7,12,4,7.0,10,7.0,4,7.0,0,,0,,0,,10,7.0,0,,0,,0,,7.0,1.126856145675104,7.0,0.7714593760337887,7.0,2.8327023093810073,7.0,1.6371314580624998,7.0,1.126856145675104,3.1064386323961033,11.475843314591254,2.6645352591003757e-15,0,10032,9868,9868
b05_none_0.0,5,none,0.0,9,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,8.43769498715119e-15,0,10032,9853,9853
b05_cancel_approx_1.0,5,cancel_approx,1.0,8,24,13,8.0,21,8.0,7,11.0,0,,0,,0,,1,16.0,0,,0,,0,,8.0,0.1963815418176751,8.0,0.09679999947547913,8.0,0.9854296597719105,9.0,0.03443496862582052,8.0,0.1963815418176751,1.0543198533509386,11.044651233941646,7.105427357601002e-15,0,10032,9853,9853
b05_cancel_approx_3.0,5,cancel_approx,3.0,8,24,13,8.0,21,8.0,6,11.0,0,,0,,0,,5,16.0,0,,0,,0,,8.0,0.5608000159263611,8.0,0.22067448479037555,8.0,2.294109298757644,9.0,0.4925480740640037,8.0,0.5608000159263611,2.4882988467259524,11.045022275918791,5.329070518200751e-15,0,10032,9853,9853
b05_cancel_exact_1.0,5,cancel_exact,1.0,7,24,9,7.0,21,7.0,3,15.0,1,8.0,0,,0,,0,,0,,0,,0,,7.0,0.1899982774616481,7.0,0.1500506685381907,7.0,0.9915821778730616,,5.773159728050814e-15,7.0,0.1899982774616481,1.0253354822238245,11.045026700578306,7.993605777301127e-15,0,10032,9853,9853
b05_cancel_exact_3.0,5,cancel_exact,3.0,7,24,9,7.0,21,7.0,4,15.0,1,8.0,0,,0,,6,25.0,0,,0,,0,,7.0,0.3950786112912945,7.0,0.26022039933619334,7.0,2.632963407374625,25.0,0.8025211410050721,7.0,0.3950786112912945,2.8025211410050717,11.045026700578305,7.993605777301127e-15,0,10032,9853,9853
b05_delayed_1.0,5,delayed,1.0,7,24,11,8.0,24,7.0,5,8.0,1,26.0,0,,0,,11,19.0,0,,0,,0,,7.0,0.2514124786376953,8.0,0.04927999973297119,8.0,0.48755463304706487,9.0,0.052316440233196815,7.0,0.2514124786376953,7.980190531117149,11.042101121874596,1.0658141036401503e-14,0,10032,9853,9853
b05_delayed_3.0,5,delayed,3.0,7,24,11,8.0,24,7.0,5,8.0,1,26.0,0,,0,,11,19.0,0,,0,,0,,7.0,0.2514124786376953,8.0,0.04927999973297119,8.0,0.5812624664356647,9.0,0.06187254480408466,7.0,0.2514124786376953,7.979993760971619,11.041566736585793,3.9968028886505635e-15,0,10032,9853,9853
b05_localized_1.0,5,localized,1.0,9,12,6,10.0,11,9.0,3,10.0,0,,0,,0,,6,14.0,0,,0,,0,,9.0,0.42725169618958053,10.0,0.18203369901707034,10.0,0.9664535469121851,10.0,0.11553769004726216,9.0,0.42725169618958053,1.2435131869412899,10.214060151481645,6.661338147750939e-15,0,10032,9853,9853
b05_localized_3.0,5,localized,3.0,9,12,6,10.0,11,9.0,4,10.0,0,,0,,0,,6,14.0,0,,0,,0,,9.0,0.704800009727478,10.0,0.5461010970512112,10.0,1.517144003220805,10.0,0.17422918266877246,9.0,0.704800009727478,1.801250375075695,10.214060151481645,4.440892098500626e-15,0,10032,9853,9853
