population,origin,policy,active_groups,horizon_steps,level,queries,mae,mse,coverage90,width90,interval_score90,seasonal_mae,missing_queries,observed_households
1024,0,fixed_coarse,0,2,regional,1,10.48959532043611,110.03160998651512,1.0,34.92948309430939,34.92948309430939,40.14834571211907,0,1020
1024,0,fixed_coarse,0,2,group,16,1.7745336981157318,4.63408900155461,0.6875,4.814706148223643,9.581197662826426,2.8885637799731594,0,1020
1024,0,fixed_coarse,0,2,household,16,0.2017935810173318,0.10373984156137724,0.8125,0.5548596266512079,1.6534349315018322,0.1831167369646462,0,1020
1024,0,fixed_coarse,0,12,regional,1,50.134512416446114,2513.4693352347895,0.0,80.02721858043121,282.4452811050414,57.65045493760755,0,1020
1024,0,fixed_coarse,0,12,group,16,3.2023465458340006,12.944879508165997,0.5625,6.904781466352298,18.99422177688902,3.6031537912283422,0,1020
1024,0,fixed_coarse,0,12,household,16,0.1705399997200468,0.10859412597743516,0.875,0.5722844986889092,1.8596155729496988,0.16679659761958457,0,1020
1024,0,uniform_fine_stream,16,2,regional,1,9.846089617123084,96.945480748419,1.0,29.506777232463676,29.506777232463676,40.14834571211907,0,1020
1024,0,uniform_fine_stream,16,2,group,16,1.79109949625622,4.627753687484772,0.75,4.5558236856567005,9.351755074978886,2.8885637799731594,0,1020
1024,0,uniform_fine_stream,16,2,household,16,0.16642043200933893,0.08046836579018726,0.875,0.4730237827838102,1.7272275736367777,0.1831167369646462,0,1020
1024,0,uniform_fine_stream,16,12,regional,1,15.541110934448511,241.52612907683508,1.0,64.17909879671073,64.17909879671073,57.65045493760755,0,1020
1024,0,uniform_fine_stream,16,12,group,16,1.7228693986378116,4.569241215624526,0.875,6.162749966297039,9.128874643535086,3.6031537912283422,0,1020
1024,0,uniform_fine_stream,16,12,household,16,0.17421367178031755,0.10193226371028169,0.875,0.560014245264024,1.7496537839156199,0.16679659761958457,0,1020
1024,0,fixed,2,2,regional,1,2.630586823879213,6.9199870379669255,1.0,32.240321032296755,32.240321032296755,40.14834571211907,0,1020
1024,0,fixed,2,2,group,16,1.8318348397418405,4.752984733018366,0.6875,4.709608148658742,9.558045599628633,2.8885637799731594,0,1020
1024,0,fixed,2,2,household,16,0.20150977857007382,0.10240397193776088,0.75,0.5276834985515104,1.6965020610685322,0.1831167369646462,0,1020
1024,0,fixed,2,12,regional,1,4.032610496746315,16.261947418468562,1.0,71.03219335450389,71.03219335450389,57.65045493760755,0,1020
1024,0,fixed,2,12,group,16,1.5232686235964288,3.6363949733141956,0.9375,6.483551116982384,8.19980840915645,3.6031537912283422,0,1020
1024,0,fixed,2,12,household,16,0.174262575966188,0.1043701125189908,0.875,0.5663061639835815,1.756371997070592,0.16679659761958457,0,1020
1024,0,random,2,2,regional,1,17.869866932927494,319.3321442005355,0.0,32.201789290155055,67.58123504715437,40.14834571211907,0,1020
1024,0,random,2,2,group,16,1.8065804503508662,5.170501782599986,0.6875,4.707389909555272,11.472629948873571,2.8885637799731594,0,1020
1024,0,random,2,2,household,16,0.2353694213177096,0.1393693418883078,0.6875,0.5315016151945908,1.8790186903475496,0.1831167369646462,0,1020
1024,0,random,2,12,regional,1,76.43825875968406,5842.807402212417,0.0,68.62347370493113,911.153911849301,57.65045493760755,0,1020
1024,0,random,2,12,group,16,4.7773915301081225,26.7140238718696,0.3125,6.379479886057339,43.68731780303939,3.6031537912283422,0,1020
1024,0,random,2,12,household,16,0.18613479936167976,0.11085743262801766,0.8125,0.5644030308129133,1.8931150060277835,0.16679659761958457,0,1020
1024,0,uncertainty,2,2,regional,1,5.445071150619498,29.64879983530874,1.0,32.658102245377655,32.658102245377655,40.14834571211907,0,1020
1024,0,uncertainty,2,2,group,16,1.7242061312037968,4.318765199771187,0.75,4.720264844653229,8.786990110510299,2.8885637799731594,0,1020
1024,0,uncertainty,2,2,household,16,0.22252828571108682,0.11302175475354087,0.75,0.53768895244744,1.783927894054038,0.1831167369646462,0,1020
1024,0,uncertainty,2,12,regional,1,6.352092226805212,40.349075657839194,1.0,70.63202472860011,70.63202472860011,57.65045493760755,0,1020
1024,0,uncertainty,2,12,group,16,1.5819794687947253,3.8965031416462272,0.875,6.465487529688969,8.334322587056317,3.6031537912283422,0,1020
1024,0,uncertainty,2,12,household,16,0.17085963625194395,0.10139167573245575,0.875,0.5660390729229041,1.7439845391232456,0.16679659761958457,0,1020
