background,family,M0,M2,M3,M3b,M3b_fixed,M4
0,cancel_exact,0.19684544185338235,0.18844968531912495,0.1899491098069075,0.18636146192421912,0.18636146192421912,0.14513483935979504
0,delayed,0.1372605723880888,0.13683315333101323,0.13169134314462902,0.13412737534599486,0.13412737534599486,0.12303496316403008
0,localized,0.46408793655960273,0.44566248034653516,0.4431428142957608,0.447990414924553,0.447990414924553,0.325892200483824
2,cancel_exact,0.20104961749129535,0.19023317278284924,0.19081981407452653,0.1955112896293323,0.1955112896293323,0.1448680533305878
2,delayed,0.15801295491414227,0.15863671249303596,0.15814517058258618,0.1619786314865774,0.1619786314865774,0.13409710547971837
2,localized,0.44330155553279266,0.4356801605461411,0.45266721920493774,0.4394910151333901,0.4394910151333901,0.35547667682550177
4,cancel_exact,0.23559199010372298,0.21873757686956397,0.21177253045865585,0.19902039579112552,0.19902039579112552,0.16696494046468727
4,delayed,0.12874917101369032,0.12322348878872086,0.12148584508861177,0.12323520428471733,0.12323520428471733,0.10603092057200604
4,localized,0.4151141585613473,0.4024335170634729,0.3914099946347452,0.40909371234319725,0.40909371234319725,0.3130091670531933
6,cancel_exact,0.21357453952300656,0.20652408929041563,0.20525109172909375,0.20793375104596465,0.20793375104596465,0.1570664067224273
6,delayed,0.19031772738684205,0.17877551853959808,0.18056576274538408,0.18269605554038684,0.18269605554038684,0.1488697329453224
6,localized,0.5181112409986252,0.5149752533167335,0.46862227608042284,0.504853759308077,0.504853759308077,0.34287253339948254
