episode,phase,background,family,method,horizon,level,forecast_phase,mae,mse,coverage,width,adjusted_coverage,adjusted_width
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,affected,after,0.11755378525454786,0.050442395855299874,0.9254032258064516,0.5663532863980824,0.9223790322580645,0.5404562831322748
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,affected,before,0.13781161698597186,0.07886308090798351,0.9254032258064516,0.5663523088591115,0.9193548387096775,0.5404553502921351
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,affected,during,0.19684544185338235,0.10182523520265975,0.730510752688172,0.5663470444184434,0.711021505376344,0.5404503265726571
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,group,after,4.511817954317813,32.925169726215884,0.71875,11.594379378929824,0.8359375,15.221713656800897
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,group,before,3.1147253692379975,15.854874550576122,0.8515625,11.59365236571281,0.9296875,15.220759195449201
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,group,during,3.579024005520145,23.944342604765893,0.7864583333333334,11.595134747426231,0.8619791666666666,15.22270534446109
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,household,after,0.11295345447628409,0.046882377492815916,0.923366354333962,0.5343657320326946,0.9161378718411489,0.5099313878875464
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,household,before,0.13993232594509564,0.06310988397806327,0.8983141724729875,0.5346726473424781,0.8897328855386557,0.5102242692242417
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,household,during,0.11798894454411875,0.05554856201119409,0.9065678256008236,0.5345634371517848,0.8982078005167199,0.5101200527657875
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,regional,after,60.11375433620265,5765.766262022589,0.625,118.41340374204033,0.75,159.93943104057
fresh_b00_cancel_exact_3.0,fresh,0,cancel_exact,M0,2,regional,before,22.48368715553437,682.3715366727896,1.0,118.36441296146086,1.0,159.87325983592174
