matched_background_detected,matched_background_localized,detection_excess,localization_excess,episode,phase,background,family,method,detected,localized,delay_steps,missed,negative_alarms,negative_steps,negative_alarm_rate,event_peak_score,false_house_alarms,false_group_alarms,correct_house_instances,fine_exposed,probe_exposed,first_fine_exposure,first_probe_exposure,changed_schedule_steps,changed_schedule,affected_reads,additional_affected_vs_control,requested,read,fine_bytes,median_seconds,p95_seconds,peak_gpu_bytes,peak_host_bytes,retained_bytes,state_bytes,recomputed_groups
False,False,0,0,fresh_b00_none_0.0,fresh,0,none,M0,False,False,7,True,6,48,0.125,,0,0,0,False,False,,,0,False,0,0,0,0,0,0.07051808526739475,0.07311815218999979,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b00_none_0.0,fresh,0,none,M2,False,False,7,True,3,48,0.0625,,0,0,0,False,False,,,0,False,0,0,10032,9958,166656,0.06996103003621096,0.07249516611918806,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b00_none_0.0,fresh,0,none,M3,False,False,7,True,3,48,0.0625,,0,0,0,False,False,,,0,False,0,0,10032,9965,166656,0.07015763875097035,0.07342328191734844,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b00_none_0.0,fresh,0,none,M3b,False,False,7,True,3,48,0.0625,,0,0,0,False,False,,,0,False,0,0,10032,9955,166656,0.07086850563064209,0.07374968631193037,181445120,1423794176,2365440.0,4780032.0,768
False,False,0,0,fresh_b00_none_0.0,fresh,0,none,M3b_fixed,False,False,7,True,3,48,0.0625,,0,0,0,False,False,,,0,False,0,0,10032,9955,166656,0.0704261567443609,0.07288113324902945,181445120,1423794176,2365440.0,41017344.0,768
False,False,0,0,fresh_b00_none_0.0,fresh,0,none,M4,False,False,7,True,11,48,0.22916666666666666,,0,0,0,False,False,,,0,False,0,0,201312,200020,3224064,0.07065791962668294,0.073355088988319,181445120,1423794176,2365440.0,2365440.0,768
False,False,1,1,fresh_b02_localized_3.0,fresh,2,localized,M0,True,True,1,False,4,36,0.1111111111111111,1.1351977251644385,0,0,0,False,False,,,0,False,0,0,0,0,0,0.0699003250338137,0.07264985628426071,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b02_localized_3.0,fresh,2,localized,M2,False,False,7,True,3,36,0.08333333333333333,0.9141802806901764,0,0,0,True,True,7.0,9.0,0,False,27,0,10032,9910,166656,0.07016177708283061,0.07334909318014976,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b02_localized_3.0,fresh,2,localized,M3,False,False,7,True,3,36,0.08333333333333333,0.9557409289534954,0,0,0,True,True,7.0,9.0,0,False,20,0,10032,9919,166656,0.0700678545981645,0.07264391933567815,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b02_localized_3.0,fresh,2,localized,M3b,False,False,7,True,3,36,0.08333333333333333,0.9096924334402968,0,0,0,True,True,7.0,9.0,1,True,32,0,10032,9926,166656,0.0703027420677244,0.07147621712647374,181445120,1423794176,2365440.0,4780032.0,768
False,False,0,0,fresh_b02_localized_3.0,fresh,2,localized,M3b_fixed,False,False,7,True,3,36,0.08333333333333333,0.9096924334402968,0,0,0,True,True,7.0,9.0,1,True,32,0,10032,9926,166656,0.06960122007876635,0.07057287478819486,181445120,1423794176,2365440.0,41017344.0,768
False,False,0,0,fresh_b02_localized_3.0,fresh,2,localized,M4,False,False,7,True,3,36,0.08333333333333333,0.9568613552229358,0,0,0,True,False,7.0,,0,False,384,0,201312,199213,3224064,0.07005032571032635,0.07138778907246882,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b02_cancel_exact_3.0,fresh,2,cancel_exact,M0,False,False,7,True,1,24,0.041666666666666664,0.9507675931084404,0,4,0,False,False,,,0,False,0,0,0,0,0,0.06999457534402606,0.07438450912013644,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b02_cancel_exact_3.0,fresh,2,cancel_exact,M2,False,False,7,True,1,24,0.041666666666666664,0.7656577932387013,0,1,0,True,True,11.0,12.0,0,False,55,0,10032,9910,166656,0.07056833524256939,0.07364485310390587,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b02_cancel_exact_3.0,fresh,2,cancel_exact,M3,False,False,7,True,1,24,0.041666666666666664,0.9387181073957054,0,1,0,True,True,11.0,12.0,0,False,68,0,10032,9919,166656,0.0707024619914591,0.07400506353005763,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b02_cancel_exact_3.0,fresh,2,cancel_exact,M3b,False,False,7,True,1,24,0.041666666666666664,0.7697566818266555,0,1,0,True,True,12.0,12.0,0,False,26,0,10032,9928,166656,0.07073280820623035,0.07420939672738312,181445120,1423794176,2365440.0,4780032.0,768
False,False,0,0,fresh_b02_cancel_exact_3.0,fresh,2,cancel_exact,M3b_fixed,False,False,7,True,1,24,0.041666666666666664,0.7697566818266555,0,1,0,True,True,12.0,12.0,0,False,26,0,10032,9928,166656,0.0703818802721798,0.07396357934921977,181445120,1423794176,2365440.0,41017344.0,768
False,False,0,0,fresh_b02_cancel_exact_3.0,fresh,2,cancel_exact,M4,False,False,7,True,1,24,0.041666666666666664,0.8014046782132244,0,1,0,True,False,11.0,,0,False,1386,0,201312,199213,3224064,0.07002320000901815,0.07424572915770106,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b02_delayed_3.0,fresh,2,delayed,M0,False,False,7,True,1,24,0.041666666666666664,0.8091577785866039,0,3,0,False,False,,,0,False,0,0,0,0,0,0.07160974852740759,0.07513962923549108,181445120,1423794176,2365440.0,2365440.0,768
False,False,0,0,fresh_b02_delayed_3.0,fresh,2,delayed,M2,False,False,7,True,1,24,0.041666666666666664,0.6516187169453588,0,1,0,True,True,8.0,11.0,0,False,50,0,10032,9910,166656,0.07130049169063565,0.07490620282478627,181445120,1423794176,2365440.0,2365440.0,768
