method,overlap,calibrated,coverage90,normalized_is90
ci,0.0,False,0.9844855216622458,1.7142461975420966
ci,0.0,True,0.8197920252915294,1.3941688989889953
ci,0.5,False,0.9380157677571471,1.7483556508332452
ci,0.5,True,0.798895943372113,1.4288360930647608
ci,0.9047619047619048,False,0.940147914824639,1.63932391005565
ci,0.9047619047619048,True,0.8428282041550584,1.4952435750125819
common_corrected,0.0,False,0.987690649867374,1.681381662679082
common_corrected,0.0,True,0.8275282525343521,1.3032262650683393
common_corrected,0.5,False,0.9593832891246684,1.6814378432595662
common_corrected,0.5,True,0.8219898313119686,1.4083607756055736
common_corrected,0.9047619047619048,False,0.9230585027998821,1.6621209230552016
common_corrected,0.9047619047619048,True,0.8546559335535425,1.483090782289279
exact_lineage,0.0,False,0.987690649867374,1.681381662679082
exact_lineage,0.0,True,0.8275282525343521,1.3032262650683393
exact_lineage,0.5,False,0.9609858532272325,1.6855907356003348
exact_lineage,0.5,True,0.8299119406491723,1.376497717076315
exact_lineage,0.9047619047619048,False,0.9342718464485705,1.6530193483205384
exact_lineage,0.9047619047619048,True,0.8465675203943747,1.4947296434130546
naive_independence,0.0,False,0.8097277483053346,1.219211310866923
naive_independence,0.0,True,0.8307333807394803,1.3514108995500589
naive_independence,0.5,False,0.7311698717948718,1.5242072080310043
naive_independence,0.5,True,0.814858925006534,1.4275238750246864
naive_independence,0.9047619047619048,False,0.6594313208659337,1.8077164956897935
naive_independence,0.9047619047619048,True,0.8557243096219186,1.482934523470433
shrinkage,0.0,False,0.5986636089006778,3.6355137787039786
shrinkage,0.0,True,0.8076877026230475,1.5853645589879912
shrinkage,0.5,False,0.6487640727656366,2.4054534505528875
shrinkage,0.5,True,0.8095124395953934,1.446671847316898
shrinkage,0.9047619047619048,False,0.5925629517043157,2.9060263258360215
shrinkage,0.9047619047619048,True,0.8529072236680402,1.51775294549798
sketch_2048,0.0,False,0.988224837901562,1.6877666661840902
sketch_2048,0.0,True,0.829241685851559,1.268112143128273
sketch_2048,0.5,False,0.9620542292956087,1.69141431004992
sketch_2048,0.5,True,0.8107237619654601,1.3523421906669484
sketch_2048,0.9047619047619048,False,0.940147914824639,1.63932391005565
sketch_2048,0.9047619047619048,True,0.8428282041550584,1.4952435750125819
