origin,method,seconds,queries,complete_seconds,amortized_complete_seconds
0,gpu_cholesky_kernel,0.07865812163800001,16,,
0,gpu_pcg_kernel,0.290684562176466,16,,
0,gpu_rjd_corrected_kernel,0.005080500617623329,16,,
0,gpu_cholesky_cached,0.0008179116994142532,16,0.22844068985432386,
0,cpu_cholesky,0.021863889880478382,16,0.2478551147505641,0.5614336784055922
0,cpu_banded,0.0028281621634960175,16,0.22881938703358173,0.5423979506886099
0,cpu_information_smoother,0.020605492405593395,16,0.2465967172756791,0.5601752809307072
0,cpu_pcg,0.0904277702793479,16,0.3164189951494336,0.6299975588044617
0,cpu_identity_corrected,0.21124355494976044,16,0.43723477981984615,0.7508133434748743
0,cpu_reference_eigen_corrected,0.1318329917266965,16,0.3578242165967822,0.6719300942204427
0,cpu_rjd_corrected,0.14494108594954014,16,0.37093231081962585,0.6888407027872745
0,gpu_cholesky,0.08035029377788305,16,0.30634151864796877,0.6611924522148911
0,gpu_pcg,0.32141515612602234,16,0.547406380996108,0.9022573145630304
0,gpu_rjd_corrected,0.11610188242048025,16,0.34209310729056597,0.7012738691701088
0,cpu_cholesky_cached,0.004446688108146191,16,0.2304379129782319,
1,gpu_cholesky_kernel,0.0021859686821699142,16,,
1,gpu_pcg_kernel,0.13636091817170382,16,,
1,gpu_rjd_corrected_kernel,0.023595132865011692,16,,
1,gpu_cholesky_cached,0.0005396045744419098,16,0.21672312170267105,
1,cpu_cholesky,0.014658498577773571,16,0.22929580137133598,0.5428743650263641
1,cpu_banded,0.002634693868458271,16,0.21727199666202068,0.5308505603170488
1,cpu_information_smoother,0.020832939073443413,16,0.23547024186700583,0.549048805522034
1,cpu_pcg,1.0872081043198705,16,1.3018454071134329,1.615423970768461
1,cpu_identity_corrected,1.2729022959247231,16,1.4875395987182856,1.8011181623733137
1,cpu_reference_eigen_corrected,0.4648460950702429,16,0.6794833978638053,0.9935892754874658
1,cpu_rjd_corrected,0.2963363276794553,16,0.5109736304730177,0.8288820224406663
1,gpu_cholesky,0.003743634559214115,16,0.21838093735277653,0.5732318709196988
1,gpu_pcg,0.17312188353389502,16,0.38775918632745743,0.7426101198943797
1,gpu_rjd_corrected,0.13977248407900333,16,0.35440978687256575,0.7135905487521086
