week,building,site,method,is90_sum,is90_count,coverage90_sum,coverage90_count,loss_sum,loss_count
2016-10-17/2016-10-23,Gator_assembly_Alexa,Gator,sketch_2048,53.135231001313315,32,18.333333333333332,32,9.731733400570668,32
2016-10-17/2016-10-23,Hog_assembly_Colette,Hog,ci,65.80497995607207,32,29.0,32,20.897999362229207,32
2016-10-17/2016-10-23,Hog_assembly_Colette,Hog,common_corrected,65.64560405003415,32,29.333333333333332,32,20.975328114400273,32
2016-10-17/2016-10-23,Hog_assembly_Colette,Hog,exact_lineage,64.81855038667281,32,29.333333333333332,32,21.02106462173508,32
2016-10-17/2016-10-23,Hog_assembly_Colette,Hog,seasonal_naive,48.10738719535715,32,32.0,32,20.56700320852583,32
2016-10-17/2016-10-23,Hog_assembly_Colette,Hog,shrinkage,61.51681519081099,32,29.333333333333332,32,20.04851026938033,32
2016-10-17/2016-10-23,Hog_assembly_Colette,Hog,sketch_2048,64.50047503009033,32,29.0,32,20.74440087677146,32
2016-10-17/2016-10-23,Lamb_assembly_Alden,Lamb,ci,48.20768636809024,32,30.0,32,4.885413948275974,32
2016-10-17/2016-10-23,Lamb_assembly_Alden,Lamb,common_corrected,46.86814393665545,32,29.333333333333332,32,4.531168006338698,32
2016-10-17/2016-10-23,Lamb_assembly_Alden,Lamb,exact_lineage,46.946610612478025,32,29.333333333333332,32,4.483302135267786,32
2016-10-17/2016-10-23,Lamb_assembly_Alden,Lamb,seasonal_naive,3.8449178597626252,32,31.0,32,1.7393676032259475,32
2016-10-17/2016-10-23,Lamb_assembly_Alden,Lamb,shrinkage,44.23819617751372,32,30.0,32,4.965601968177032,32
2016-10-17/2016-10-23,Lamb_assembly_Alden,Lamb,sketch_2048,46.63647896393697,32,30.333333333333332,32,4.4131221765002095,32
2016-10-17/2016-10-23,Moose_education_Abbie,Moose,ci,7.201141250973252,32,29.666666666666668,32,2.1414663178527866,32
2016-10-17/2016-10-23,Moose_education_Abbie,Moose,common_corrected,7.497364409745155,32,29.666666666666668,32,2.072376314244657,32
