method,calibrated,mae,rmse,bias,coverage90,coverage95,normalized_is90,width90,normalized_width90,normalized_reservation_loss
ci,False,29.580445130072004,37.93738303984372,5.8457703161765835,0.9542164014146772,0.9798604971018764,1.7006419194769973,175.5235693810311,1.6057905871484766,0.5378290117189213
ci,True,29.580445130072004,37.93738303984372,5.8457703161765835,0.820505390939567,0.8946852947185273,1.4394161890221127,152.86552060095624,0.9978240671572709,0.3876383644674438
ci_cleaned_mask,True,29.28161470835541,37.04390938427135,6.200109323343774,0.8210441840430153,0.8952240878219756,1.4382138620733411,152.86481037134376,0.9978228999516093,0.3856782076849957
common_corrected,False,30.063653116747957,38.0117704137708,7.929626783031418,0.9567108139306415,0.9796824344238138,1.67498014299795,174.01527185191418,1.589058012691317,0.5382949182355468
common_corrected,True,30.063653116747957,38.0117704137708,7.929626783031418,0.8347246724666211,0.9023649724182418,1.3982259409877307,155.4867263627796,0.9761910767654615,0.36574632000152
duplicate_aware_independence,False,30.80599124255561,38.68741075477411,9.033915496821125,0.7334429803220467,0.81634311855522,1.5170450048625737,88.65920877585809,0.8094114766945643,0.48726739084791104
duplicate_aware_independence,True,30.80599124255561,38.68741075477411,9.033915496821125,0.8337722051226443,0.9073102665124461,1.4206230993483928,158.05100563732503,0.9864702747175734,0.3666138375828098
equal_weight,False,30.834530558992174,38.71423844444818,9.0745423489918,0.9563546885745162,0.9803946851360644,1.6998967139654277,177.18368090439543,1.6179932374355783,0.5518998696130298
equal_weight,True,30.834530558992174,38.71423844444818,9.0745423489918,0.8339502678007069,0.9077218264758928,1.4208110937011935,158.07212153273406,0.9867623206696351,0.3666552788806065
exact_lineage,False,29.499631005885522,37.6116036978581,6.934871842518389,0.960982783181059,0.9837778760192554,1.673330582199985,175.0043878337406,1.5986245897808875,0.5341842256636299
exact_lineage,True,29.499631005885522,37.6116036978581,6.934871842518389,0.8346692378592997,0.898630695688682,1.3914845418525696,153.46298052999578,0.9673460417249531,0.36682282555182677
exact_lineage_cleaned_mask,True,29.204529207592827,36.72883273943307,7.28554850723548,0.835208030962748,0.8991694887921303,1.3904900652825642,153.4629356035391,0.9673459678919086,0.3648686161283024
exact_r0.5,False,32.03987665860752,42.53261635824721,16.917234215884122,0.9230032419687593,0.9742852932508105,1.0769805736851714,168.56899336650002,0.9353578616339508,0.38338511221474425
exact_r0.5,True,32.03987665860752,42.53261635824721,16.917234215884122,0.8717764515178308,0.9230769230769231,1.3003264890112285,323.28418775109975,0.9898103409134315,0.28369342276071186
exact_r1.0,False,31.51555813130149,42.644003838523936,15.80118977577233,0.9700117889773062,0.9913977306218686,1.2126357834608532,205.67747290643982,1.1431125612786934,0.4256055625609889
exact_r1.0,True,31.51555813130149,42.644003838523936,15.80118977577233,0.8696396993810787,0.9230585027998821,1.3058480768989114,322.9368202159492,1.009285405816159,0.28373580196128684
individual_0,False,34.68472056711404,42.722303574571065,11.230208751989517,0.936915532719046,0.9691736663719422,1.753039703321516,177.44698597138714,1.618202921312686,0.5684651314332064
individual_0,True,34.68472056711404,42.722303574571065,11.230208751989517,0.8475830672168715,0.9171266220198602,1.4806664906513314,165.4612467258087,1.079262728767906,0.37695343187140834
individual_1,False,32.08843587125493,40.14954726903969,9.39037907116562,0.9482000956464197,0.9789701837115631,1.7454604008978054,177.57751354784466,1.6225391589727765,0.584441986716928
individual_1,True,32.08843587125493,40.14954726903969,9.39037907116562,0.8345113332202629,0.9124522463006524,1.5116058888821748,159.0900078398498,1.0308526733831136,0.37787397600090983
individual_2,False,30.81624229497514,39.23206267190811,9.166328467933901,0.9492306464289223,0.9771895569309362,1.7105119329329526,177.1675342186561,1.6167563498900315,0.5516758406527291
individual_2,True,30.81624229497514,39.23206267190811,9.166328467933901,0.8431081494090149,0.8995552819487757,1.3805726033011765,160.81032131616703,1.0191691201576343,0.36740815438778157
