origin,profile,method,relative_residual,weighted_relative_error,euclidean_forward_error,relative_forward_error,backward_error,failed,output_error_1h_kwh,peak_agreement_1h,output_error_6h_kwh,peak_agreement_6h
0,0,cpu_cholesky,4.674434447853066e-16,0.0,0.0,0.0,1.3169582105863378e-17,False,0.0,True,0.0,True
0,0,cpu_banded,5.417663385440583e-16,5.276568741197766e-16,6.74959473363464e-16,4.946121775765294e-16,1.526352836314975e-17,False,6.460634531015582e-15,True,1.1393621903093757e-14,True
0,0,cpu_information_smoother,3.957506606276084e-16,3.01821399933456e-16,3.5488262164482486e-16,2.600589712462519e-16,1.1149735602728879e-17,False,5.859255477241511e-15,True,1.484263312774536e-14,True
0,0,cpu_pcg,8.439073282236181e-08,6.730080892546255e-08,8.181840190747878e-08,5.995675226488394e-08,2.3775939008365367e-09,False,4.35497343390391e-06,True,3.6678181630928032e-06,True
0,0,cpu_identity_corrected,8.621026058326512e-08,6.757059957064654e-08,8.10535706889182e-08,5.9396281822702235e-08,2.4288566176489265e-09,False,4.023530973774499e-06,True,3.953746737034963e-06,True
0,0,cpu_reference_eigen_corrected,4.8842249082412325e-09,4.759329163579187e-09,6.338690130886834e-09,4.64500974109967e-09,1.3760638120141752e-10,False,1.4972083432508463e-08,True,6.104239160107974e-07,True
0,0,cpu_rjd_corrected,2.777116921288189e-08,2.5619017925873452e-08,3.32902159724829e-08,2.4395162767462877e-08,7.82414847766292e-10,False,4.4838767889638384e-07,True,1.8885348394348289e-06,True
0,1,cpu_cholesky,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.0,True
0,1,cpu_banded,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.0,True
0,1,cpu_information_smoother,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.0,True
0,1,cpu_pcg,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.0,True
0,1,cpu_identity_corrected,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.0,True
0,1,cpu_reference_eigen_corrected,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.0,True
0,1,cpu_rjd_corrected,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.0,True
